pre_cut,post_cut,split_post,target_high_p4,target_low_p4,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.25,0.24,0.28,9.5,13.5,161,2.459627329192547,8.187941601655938,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.28,9.5,14.0,161,2.459627329192547,8.187941601655938,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.28,10.0,10.0,161,2.5217391304347827,7.968421472026141,13.043478260869565,106.06149068322982,97590.0,130,97.35230769230769,12.307692307692308
0.25,0.24,0.28,10.0,10.5,161,2.5093167701863353,8.006541227462575,13.043478260869565,106.06149068322982,97590.0,130,97.35230769230769,12.307692307692308
0.25,0.24,0.28,10.0,11.0,161,2.484472049689441,8.086306316539787,13.043478260869565,106.06149068322982,97590.0,130,97.35230769230769,12.307692307692308
0.25,0.24,0.28,10.0,11.5,161,2.472049689440994,8.119043237015937,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.28,10.0,12.0,161,2.4658385093167703,8.167014365809331,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.28,10.0,12.5,161,2.440993788819876,8.294393883122865,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.28,10.0,13.0,161,2.422360248447205,8.348542959003794,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.28,10.0,13.5,161,2.409937888198758,8.406338168847368,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.28,10.0,14.0,161,2.409937888198758,8.406338168847368,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.28,10.5,10.5,161,2.4472049689440993,8.167521169614378,13.043478260869565,109.19875776397515,148100.0,130,101.23769230769231,12.307692307692308
0.25,0.24,0.28,10.5,11.0,161,2.422360248447205,8.24728625869159,13.043478260869565,109.19875776397515,148100.0,130,101.23769230769231,12.307692307692308
0.25,0.24,0.28,10.5,11.5,161,2.409937888198758,8.280023179167742,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.28,10.5,12.0,161,2.4037267080745344,8.327994307961134,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.28,10.5,12.5,161,2.37888198757764,8.455373825274668,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.28,10.5,13.0,161,2.360248447204969,8.509522901155595,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.28,10.5,13.5,161,2.347826086956522,8.567318110999171,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
