combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,race_code,return,stake,train_pair_count
3-2-4,0.0019185524766677873,2026-08-03,0.08595115095471687,0,0.06905975202857695,3まくり差しv29,44.8,0.04491505560564387,202608031303,0,300,14
3-2-1,0.0017765100924252086,2026-08-03,0.09255617581535337,0,0.05938343360614677,3まくり差しv29,52.1,0.04158971441002831,202608031303,0,300,13
3-2-5,0.001736441481535034,2026-08-03,0.01979543288949939,0,0.27139270972633744,3まくり差しv29,11.4,0.040651671845094745,202608031303,0,300,11
3-2-6,0.0014755987962984216,2026-08-03,0.18961444532434718,0,0.024076862964048616,3まくり差しv29,128.5,0.034545107727507365,202608031303,0,300,11
3-4-2,0.001350548661833239,2026-08-03,0.13694563430989046,0,0.03051160641893735,3まくり差しv29,101.4,0.03161757052886264,202608031303,0,200,10
3-5-1,0.0010863137281989501,2026-08-03,0.11210757675013165,0,0.029979427237211698,3まくり差しv29,103.2,0.025431590795980532,202608031303,0,200,8
3-1-5,0.0153859799989231,2026-08-03,0.31695118797781585,0,0.1791374899108038,3まくり差しv29,20.6,0.20504043184964943,202608031709,0,900,65
3-1-4,0.012205664032188512,2026-08-03,0.5138584557551363,0,0.08765397368557146,3まくり差しv29,42.1,0.16265812280705114,202608031709,0,800,52
3-1-2,0.011224189384949262,2026-08-03,0.714980863821268,0,0.05793143315796794,3まくり差しv29,63.7,0.149578553905135,202608031709,0,700,48
3-1-6,0.007279940981978597,2026-08-03,0.14996678422875911,0,0.1791374899108038,3まくり差しv29,20.6,0.09701574049162476,202608031709,0,500,30
3-4-1,0.0035202458987010996,2026-08-03,0.5206443684178926,0,0.024950860663708982,3まくり差しv29,147.9,0.046912366929968106,202608031709,0,300,15
3-2-4,0.003272377461733963,2026-08-03,0.7467565367676904,0,0.016171044225076942,3まくり差しv29,228.2,0.04360916158580436,202608031709,0,300,14
3-2-1,0.003037439473709657,2026-08-03,0.7800144568486399,0,0.014370063443000616,3まくり差しv29,256.8,0.04047827317143211,202608031709,0,300,13
3-2-6,0.0026546121889314362,2026-08-03,0.16962971887271877,0,0.0577501141183499,3まくり差しv29,63.9,0.03537654602761357,202608031709,0,200,11
3-2-5,0.002577574117424434,2026-08-03,0.5882024135962558,0,0.016171044225076942,3まくり差しv29,228.2,0.0343499023265451,202608031709,0,200,11
3-4-2,0.0023345003183338976,2026-08-03,0.8632982177198754,0,0.009978994840893884,3まくり差しv29,369.8,0.03111059246520725,202608031709,0,200,10
3-5-1,0.001945329828862345,2026-08-03,0.1437598743529273,0,0.049935484332375615,3まくり差しv29,73.9,0.025924332946478404,202608031709,0,200,8
3-5-2,0.0018875689349406252,2026-08-03,0.37128480950282094,0,0.018760713229092823,3まくり差しv29,196.7,0.025154585511829444,202608031709,0,200,8
3-5-4,0.0018846102916517489,2026-08-03,0.405191212705126,0,0.01716387112633748,3まくり差しv29,215.0,0.025115157311761414,202608031709,0,200,8
3-4-2,0.0061466626978842675,2026-08-03,0.142602574590915,0,0.08838054888667159,3直まくりv29,23.2,0.07878184186163238,202608031907,0,1100,26
3-4-6,0.0057983038168497964,2026-08-03,0.4916961636688627,0,0.024179584129372416,3直まくりv29,84.8,0.07431692233933625,202608031907,0,1100,25
3-4-1,0.0055181820298055425,2026-08-03,0.04580091084738601,0,0.24703960652660006,3直まくりv29,8.3,0.07072659838410857,202608031907,0,1000,22
3-2-4,0.005348514490523126,2026-08-03,0.3669080940498864,0,0.029889631693451615,3直まくりv29,68.6,0.06855196770958,202608031907,0,1000,23
3-2-1,0.004406374336507082,2026-08-03,0.49659838772434817,0,0.01819368885688359,3直まくりv29,112.7,0.05647654722966098,202608031907,0,800,19
3-4-2,0.006652978996031493,2026-08-03,0.8622260778856814,0,0.02069054276414467,3直まくりv29,129.6,0.07718443758735445,202608032103,0,700,26
3-4-6,0.006369619913501242,2026-08-03,2.6739664396878213,0,0.006387552030093256,3直まくりv29,419.8,0.07389705137534143,202608032103,0,600,25
3-1-5,0.006123393082514161,2026-08-03,0.06307094874989586,0,0.2603392565274902,3直まくりv29,10.3,0.0710404544313272,202608032103,0,600,22
3-2-4,0.005907513738092297,2026-08-03,0.5423097611568728,0,0.029210178019968946,3直まくりv29,91.8,0.06853593340460104,202608032103,0,600,23
