phase,method,grade,ev_threshold,odds_races,bet_races,bet_race_pct,tickets,avg_tickets_bet,hits,hit_rate_bet_pct,roi_pct,avg_selected_model_ev,fixed7_hits,fixed7_hit_pct,fixed7_roi_pct,point_hist,selected
DEV,ISOTONIC,S,1.25,449,431,95.99109131403118,2119,4.916473317865429,53,12.296983758700696,68.16422840962719,1.8139842609118215,224,49.88864142538976,81.94082087177856,0:18;1:41;2:47;3:60;4:60;5:57;6:50;7:44;8:29;9:19;10:8;11:7;12:6;13:3,0
DEV,ISOTONIC,S,1.3,449,421,93.76391982182628,1927,4.577197149643705,50,11.876484560570072,71.58277114686041,1.867566838535603,224,49.88864142538976,81.94082087177856,0:28;1:46;2:54;3:71;4:56;5:57;6:42;7:41;8:19;9:11;10:11;11:7;12:4;13:2,0
DEV,ISOTONIC,S,1.4,449,404,89.97772828507794,1619,4.007425742574258,43,10.643564356435643,70.12353304508956,1.9666858264366238,224,49.88864142538976,81.94082087177856,0:45;1:62;2:64;3:70;4:62;5:44;6:38;7:34;8:10;9:5;10:9;11:2;12:4,0
DEV,ISOTONIC,S,1.5,449,378,84.18708240534521,1320,3.492063492063492,33,8.73015873015873,76.67424242424242,2.0846645463049924,224,49.88864142538976,81.94082087177856,0:71;1:79;2:80;3:61;4:50;5:33;6:38;7:19;8:4;9:6;10:4;11:2;12:2,0
DEV,ISOTONIC,S,1.75,449,298,66.36971046770601,814,2.7315436241610738,19,6.375838926174497,97.93611793611794,2.3747749672449556,224,49.88864142538976,81.94082087177856,0:151;1:90;2:83;3:44;4:37;5:16;6:14;7:7;8:1;9:3;10:3,0
DEV,ISOTONIC,S,2.0,449,227,50.55679287305122,513,2.2599118942731278,13,5.726872246696035,117.50487329434698,2.674197592622058,224,49.88864142538976,81.94082087177856,0:222;1:98;2:59;3:30;4:19;5:8;6:6;7:4;8:1;9:1;10:1,1
HOLDOUT,PLATT,A,1.0,1696,1685,99.35141509433963,13336,7.914540059347181,455,27.002967359050444,81.78089382123575,1.5136703792536694,826,48.70283018867924,80.60141509433963,0:11;1:19;2:39;3:77;4:104;5:142;6:205;7:224;8:212;9:183;10:136;11:111;12:87;13:45;14:44;15:25;16:15;17:9;18:5;19:3,0
HOLDOUT,PLATT,A,1.05,1696,1675,98.76179245283019,12127,7.24,402,24.0,80.74626865671642,1.5623265722995507,826,48.70283018867924,80.60141509433963,0:21;1:33;2:63;3:97;4:131;5:189;6:227;7:226;8:171;9:165;10:124;11:79;12:54;13:43;14:40;15:9;16:16;17:2;18:4;19:2,0
HOLDOUT,PLATT,A,1.1,1696,1660,97.87735849056604,10982,6.61566265060241,346,20.843373493975903,81.92496812966672,1.6131750385217314,826,48.70283018867924,80.60141509433963,0:36;1:54;2:87;3:133;4:167;5:204;6:238;7:183;8:180;9:122;10:101;11:64;12:43;13:33;14:29;15:11;16:4;17:2;18:3;19:2,0
HOLDOUT,PLATT,A,1.15,1696,1644,96.93396226415095,9957,6.056569343065694,313,19.038929440389296,82.91955408255498,1.663456438262942,826,48.70283018867924,80.60141509433963,0:52;1:72;2:130;3:163;4:194;5:200;6:216;7:183;8:160;9:119;10:71;11:42;12:31;13:28;14:19;15:7;16:4;17:2;18:2;19:1,0
HOLDOUT,PLATT,A,1.2,1696,1623,95.69575471698113,9005,5.548367221195317,283,17.436845348120762,82.62187673514714,1.715144773630058,826,48.70283018867924,80.60141509433963,0:73;1:107;2:146;3:203;4:211;5:198;6:204;7:164;8:143;9:78;10:66;11:35;12:31;13:19;14:4;15:7;16:2;17:3;18:1;19:1,0
HOLDOUT,PLATT,A,1.25,1696,1589,93.69103773584905,8135,5.119572057898049,257,16.17369414726243,81.12231100184388,1.7676054727076216,826,48.70283018867924,80.60141509433963,0:107;1:131;2:180;3:207;4:226;5:211;6:186;7:146;8:108;9:71;10:46;11:26;12:23;13:13;14:4;15:4;16:5;18:2,0
HOLDOUT,PLATT,A,1.3,1696,1556,91.74528301886792,7373,4.7384318766066835,235,15.102827763496144,84.24386274243862,1.818564199679142,826,48.70283018867924,80.60141509433963,0:140;1:163;2:205;3:232;4:218;5:201;6:159;7:132;8:95;9:56;10:39;11:24;12:11;13:9;14:4;15:4;16:2;17:2,0
HOLDOUT,PLATT,A,1.4,1696,1453,85.67216981132076,5957,4.0997935306262905,177,12.18169304886442,85.19221084438476,1.9306135272519318,826,48.70283018867924,80.60141509433963,0:243;1:215;2:252;3:226;4:195;5:196;6:144;7:79;8:60;9:35;10:21;11:11;12:5;13:5;14:4;15:4;16:1,0
HOLDOUT,PLATT,A,1.5,1696,1344,79.24528301886792,4870,3.6235119047619047,137,10.193452380952381,77.26078028747433,2.0382901611179545,826,48.70283018867924,80.60141509433963,0:352;1:259;2:269;3:212;4:198;5:150;6:110;7:63;8:33;9:19;10:11;11:8;12:4;13:3;14:1;15:4,0
HOLDOUT,PLATT,A,1.75,1696,1058,62.382075471698116,2997,2.832703213610586,65,6.143667296786389,59.70637303970637,2.3020252028918864,826,48.70283018867924,80.60141509433963,0:638;1:327;2:240;3:187;4:136;5:70;6:40;7:22;8:15;9:6;10:7;11:3;12:2;13:2;14:1,0
HOLDOUT,PLATT,A,2.0,1696,807,47.58254716981132,1867,2.3135068153655514,30,3.717472118959108,44.84734868773433,2.5667805467266116,826,48.70283018867924,80.60141509433963,0:889;1:338;2:199;3:126;4:68;5:31;6:23;7:7;8:5;9:5;10:3;12:2,0
HOLDOUT,PLATT,S,1.0,1059,1057,99.81114258734655,8080,7.644276253547777,296,28.003784295175024,78.00742574257426,1.5082930795011782,538,50.80264400377715,78.88304330230676,0:2;1:14;2:23;3:48;4:65;5:96;6:141;7:160;8:141;9:104;10:82;11:69;12:47;13:24;14:21;15:8;16:7;17:2;18:4;19:1,0
HOLDOUT,PLATT,S,1.05,1059,1050,99.15014164305948,7364,7.013333333333334,269,25.61904761904762,79.76778924497556,1.5552641665069866,538,50.80264400377715,78.88304330230676,0:9;1:23;2:34;3:66;4:75;5:131;6:161;7:146;8:114;9:95;10:83;11:44;12:28;13:17;14:21;15:3;16:3;17:2;18:3;19:1,0
HOLDOUT,PLATT,S,1.1,1059,1038,98.01699716713881,6664,6.420038535645472,229,22.0616570327553,78.96908763505402,1.6057439655168462,538,50.80264400377715,78.88304330230676,0:21;1:29;2:57;3:79;4:115;5:136;6:159;7:131;8:97;9:82;10:63;11:36;12:17;13:14;14:14;15:3;16:1;17:1;18:3;19:1,0
HOLDOUT,PLATT,S,1.15,1059,1025,96.78942398489141,6020,5.873170731707317,195,19.024390243902438,78.17607973421927,1.6572628942568584,538,50.80264400377715,78.88304330230676,0:34;1:47;2:82;3:99;4:131;5:130;6:145;7:116;8:99;9:68;10:43;11:24;12:14;13:10;14:9;15:2;16:2;17:1;18:2;19:1,0
HOLDOUT,PLATT,S,1.2,1059,1012,95.561850802644,5426,5.361660079051384,178,17.58893280632411,76.54810173239956,1.7100966378882885,538,50.80264400377715,78.88304330230676,0:47;1:65;2:98;3:135;4:136;5:124;6:132;7:109;8:85;9:43;10:38;11:18;12:12;13:6;14:3;15:3;16:2;18:2;19:1,0
HOLDOUT,PLATT,S,1.25,1059,998,94.23984891406988,4909,4.9188376753507015,157,15.731462925851703,77.0503157465879,1.761201614221823,538,50.80264400377715,78.88304330230676,0:61;1:83;2:125;3:141;4:139;5:126;6:129;7:94;8:64;9:35;10:32;11:9;12:9;13:2;14:3;15:3;16:2;18:2,0
HOLDOUT,PLATT,S,1.3,1059,977,92.25684608120869,4436,4.54042988741044,143,14.636642784032754,78.9517583408476,1.813009710497449,538,50.80264400377715,78.88304330230676,0:82;1:104;2:130;3:166;4:141;5:125;6:100;7:89;8:50;9:30;10:19;11:6;12:6;13:2;14:3;15:2;16:3;18:1,0
HOLDOUT,PLATT,S,1.4,1059,913,86.21340887629839,3579,3.9200438116100766,114,12.48630887185104,85.1718357082984,1.9240651642100461,538,50.80264400377715,78.88304330230676,0:146;1:133;2:179;3:145;4:129;5:119;6:89;7:45;8:35;9:17;10:9;11:4;12:1;13:2;14:2;15:4,0
HOLDOUT,PLATT,S,1.5,1059,843,79.60339943342777,2904,3.4448398576512456,88,10.438908659549229,76.85606060606061,2.034303843872346,538,50.80264400377715,78.88304330230676,0:216;1:171;2:174;3:146;4:122;5:98;6:59;7:31;8:21;9:9;10:4;12:2;13:2;14:1;15:3,0
