1ブロック力,1ブロック成功指数,1対3圧力,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,ST接近度,bet_hit,composite_odds,date,head_hit,model,prob,race,race_code,return,score,tickets,venue,まくり差し指数,まくり差し指数v28,差し場生成指数,直まくり指数,直まくり指数v28
0.539,0.32,0.659,0.841,0.159,0.775,0.774,0.99,0.75,0.139,0,5.03,2026-08-26,0,3直まくりv28,0.0838,06R,202608260606,0,76.27,8,06,0.75,0.65,0.705,0.771,0.763
0.647,0.623,0.829,0.45,0.55,0.632,0.491,0.948,0.818,0.589,0,5.03,2026-08-26,0,3まくり差しv28,0.055,07R,202608260607,0,64.19,5,06,0.794,0.642,0.739,0.615,0.559
0.296,0.206,0.0,0.707,0.293,0.966,0.438,0.761,0.714,0.0,1,5.19,2026-08-26,0,3直まくりv28,0.0752,04R,202608260904,37760,79.15,7,09,0.458,0.31,0.351,0.77,0.791
0.679,0.467,0.805,0.776,0.224,0.708,0.5,0.5,0.89,0.35,0,5.04,2026-08-26,0,3直まくりv28,0.0958,02R,202608261102,0,69.78,10,11,0.749,0.606,0.671,0.741,0.698
0.679,0.467,0.805,0.776,0.224,0.708,0.5,0.5,0.89,0.35,0,5.16,2026-08-26,0,3まくり差しv28,0.0977,02R,202608261102,0,60.64,9,11,0.749,0.606,0.671,0.741,0.698
0.652,0.555,0.745,0.792,0.208,0.607,0.432,0.485,0.699,0.667,0,5.01,2026-08-26,0,3まくり差しv28,0.1158,06R,202608261106,0,57.49,13,11,0.71,0.575,0.712,0.645,0.586
0.477,0.262,0.0,0.78,0.22,0.865,1.0,1.0,0.798,0.0,0,5.08,2026-08-26,0,3直まくりv28,0.0851,01R,202608261301,0,83.37,5,13,0.567,0.413,0.423,0.82,0.834
0.764,0.579,0.661,0.682,0.318,0.659,0.76,0.334,0.577,0.504,0,5.0,2026-08-26,0,3直まくりv28,0.0752,01R,202608261701,0,59.92,9,17,0.615,0.453,0.59,0.643,0.599
0.943,0.722,1.0,0.45,0.55,0.656,0.617,0.695,0.748,0.512,0,5.12,2026-08-26,0,3まくり差しv28,0.1115,12R,202608261712,0,58.32,20,17,0.774,0.583,0.726,0.601,0.537
0.557,0.467,0.414,0.621,0.379,0.7,0.598,0.496,0.62,0.375,1,5.06,2026-08-26,1,3直まくりv28,0.0767,03R,202608262003,16450,61.58,11,20,0.562,0.423,0.501,0.639,0.616
