target,maxn,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct,avg_n,avg_comp_odds
5.0,6,4.0,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,4.066666666666666,4.8699337625788495
5.0,6,4.5,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0,4.142857142857143,5.1029434455336675
5.0,6,4.5,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.6666666666666665,5.09310849950341
5.0,6,4.5,2026-06,13,49280.00000000001,-80720.0,37.907692307692315,38.46153846153847,7.6923076923076925,4.3076923076923075,4.96115993303918
5.0,6,5.0,2026-04,6,0.0,-60000.0,0.0,0.0,0.0,4.0,5.198737125368152
5.0,6,5.0,2026-05,4,104390.0,64390.0,260.975,50.0,50.0,4.0,5.1697307580098
5.0,6,5.0,2026-06,5,0.0,-50000.0,0.0,20.0,0.0,3.8,5.238702482835501
5.0,6,5.5,2026-04,0,0.0,0.0,,,,,
5.0,6,5.5,2026-05,0,0.0,0.0,,,,,
5.0,6,5.5,2026-06,0,0.0,0.0,,,,,
5.0,6,6.0,2026-04,0,0.0,0.0,,,,,
5.0,6,6.0,2026-05,0,0.0,0.0,,,,,
5.0,6,6.0,2026-06,0,0.0,0.0,,,,,
5.0,6,6.5,2026-04,0,0.0,0.0,,,,,
5.0,6,6.5,2026-05,0,0.0,0.0,,,,,
5.0,6,6.5,2026-06,0,0.0,0.0,,,,,
5.0,6,7.0,2026-04,0,0.0,0.0,,,,,
5.0,6,7.0,2026-05,0,0.0,0.0,,,,,
5.0,6,7.0,2026-06,0,0.0,0.0,,,,,
5.0,6,7.5,2026-04,0,0.0,0.0,,,,,
5.0,6,7.5,2026-05,0,0.0,0.0,,,,,
5.0,6,7.5,2026-06,0,0.0,0.0,,,,,
5.0,6,8.0,2026-04,0,0.0,0.0,,,,,
5.0,6,8.0,2026-05,0,0.0,0.0,,,,,
5.0,6,8.0,2026-06,0,0.0,0.0,,,,,
5.0,8,3.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,4.0,4.9144252490489055
5.0,8,3.0,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.6666666666666665,5.09310849950341
5.0,8,3.0,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,4.066666666666666,4.8699337625788495
5.0,8,3.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,4.0,4.9144252490489055
5.0,8,3.5,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.6666666666666665,5.09310849950341
5.0,8,3.5,2026-06,15,49280.00000000001,-100720.0,32.85333333333334,33.33333333333333,6.666666666666667,4.066666666666666,4.8699337625788495
