feature,coverage,auc,auc_abs,mean_head,mean_loss
rel_gh_p12_overall_1vbest,1.0,0.5523451424525291,0.5523451424525291,-0.1710104478066782,-0.21327402177055724
rel_vh_p12_overall_1v3,1.0,0.5520237196842283,0.5520237196842283,0.04013980213519859,-0.009126810511374797
b3_meet_win,1.0,0.44821943653003676,0.5517805634699633,0.13315229142402965,0.18292334059214596
rel_vh_p12_display_1vbest,1.0,0.551729654474584,0.551729654474584,-0.25326800099659497,-0.3121376922293513
b1_vh_p2_turn,1.0,0.5516256500782255,0.5516256500782255,0.5459444121473853,0.4991563974607055
rel_vh_p12_overall_1v2,1.0,0.5505196840827448,0.5505196840827448,0.033447788927678246,-0.01344135056249725
rel_vh_p12_display_1v4,1.0,0.5501763380521041,0.5501763380521041,0.04349721783904991,-0.01977085242896425
rel_gh_p12_turn_1v3,1.0,0.5501733946511418,0.5501733946511418,0.04463721174874734,-0.007075058559934823
rel_vh_p12_display_1v2,1.0,0.5500807198110735,0.5500807198110735,0.03744954737978573,-0.03066198187188105
rel_gh_p12_display_1v3,1.0,0.5497102784212873,0.5497102784212873,0.04184203969769953,-0.023757001731337206
rel_gh_p12_turn_1vbest,1.0,0.5493920401083378,0.5493920401083378,-0.1902885972925837,-0.23395203177512988
rel_gh_p12_display_1v4,1.0,0.5493387290271158,0.5493387290271158,0.04206461257370651,-0.020415181450928473
rel_gh_p12_overall_1v4,1.0,0.549297035075841,0.549297035075841,0.043638464714353294,-0.0024049920756832118
rel_gh_p12_display_1v2,1.0,0.548947222866937,0.548947222866937,0.03748082938847826,-0.027972298604745902
b1_gh_p1_overall,1.0,0.5486326976373853,0.5486326976373853,0.5289343255155716,0.488640992292157
b1_gh_p1_display,1.0,0.548433480986336,0.548433480986336,0.5266090856241176,0.4725549105475778
rel_vh_p12_display_1v3,1.0,0.5483679903149252,0.5483679903149252,0.041350386180549786,-0.02305224564619615
b1_gh_p2_display,1.0,0.5481065604863526,0.5481065604863526,0.5340420230877834,0.4812438469633704
b1_vh_p1_overall,1.0,0.5477416718055657,0.5477416718055657,0.5281811486970575,0.4891759694503951
rel_vh_p12_turn_1v3,1.0,0.5477132020134994,0.5477132020134994,0.04346745840600171,-0.0059189666293241
b1_vh_p2_display,1.0,0.5476504771240273,0.5476504771240273,0.5347230296487003,0.48411752724310003
rel_gh_p12_straight_1vavg,1.0,0.5473971543351741,0.5473971543351741,0.021370280966161708,-0.023738831830490862
b1_vh_p1_display,1.0,0.5472250288142462,0.5472250288142462,0.5265592558757578,0.47478867501782257
rel_gh_p12_turn_1v2,1.0,0.5472214764337744,0.5472214764337744,0.03730199595825375,-0.01200936958957124
rel_vh_p12_overall_1v4,1.0,0.5460137897150956,0.5460137897150956,0.042178389787280814,-0.0014536594820606361
rel_gh_p12_turn_1v4,1.0,0.5459043256482742,0.5459043256482742,0.047819256429421704,0.0010002715823064134
b1_gh_p12_straight,1.0,0.5456292360709829,0.5456292360709829,0.5164217038670987,0.4770287403467972
rel_vh_p12_turn_1v2,1.0,0.5453594496902532,0.5453594496902532,0.03537538410431028,-0.011105849203924364
rel_gh_p12_straight_1v2,1.0,0.545306569969517,0.545306569969517,0.025460813121306436,-0.02804762290249611
rel_gh_p12_overall_1v5,1.0,0.5452637468687352,0.5452637468687352,0.04873180147869207,0.004970239896971984
rel_vh_p12_straight_1vavg,1.0,0.5452283499347491,0.5452283499347491,0.019184602993090657,-0.023602656930490722
rel_vh_p12_overall_1vbest,1.0,0.5449359678768045,0.5449359678768045,-0.16689555098073197,-0.2050330973738202
b1_gh_p1_turn,1.0,0.5442128596866637,0.5442128596866637,0.5316439664479694,0.49141205825440465
b1_vh_p1_turn,1.0,0.5436630103959823,0.5436630103959823,0.5310335520305622,0.49169467359201546
rel_vh_p12_straight_1v2,1.0,0.5435664194793465,0.5435664194793465,0.022721236629549894,-0.028266998981939406
rel_vh_p12_turn_1v4,1.0,0.5424406109015164,0.5424406109015164,0.046368795504249376,0.00216994262823777
b1_vh_p12_straight,1.0,0.5421274178146418,0.5421274178146418,0.5145880330117519,0.4779760490270726
rel_vh_p12_turn_1vbest,1.0,0.5420516125527898,0.5420516125527898,-0.18593458461368106,-0.22510116440913874
rel_gh_p12_display_1v5,1.0,0.5416442052609757,0.5416442052609757,0.034481355369155385,-0.02147027871134196
rel_gh_p12_turn_1v5,1.0,0.5414742153973551,0.5414742153973551,0.05313872048279491,0.008882438809111586
rel_gh_p12_straight_1v3,1.0,0.5412885696855126,0.5412885696855126,0.02316656592215101,-0.027473523523019402
rel_vh_p12_overall_1v5,1.0,0.5410325614661838,0.5410325614661838,0.048077810683833315,0.008188573105927697
rel_vh_p12_straight_1v3,1.0,0.5398845378233325,0.5398845378233325,0.020825287715080923,-0.027389863986258735
rel_vh_p12_display_1v5,1.0,0.5397080902394971,0.5397080902394971,0.0345012872684993,-0.019268764639983702
rel_gh_p12_overall_1v6,1.0,0.5394039684098985,0.5394039684098985,0.042997211831815325,0.0062421939559952925
rel_gh_p12_straight_1vbest,1.0,0.538519577917317,0.538519577917317,-0.25558159702416827,-0.2966625058864594
rel_vh_p12_overall_1v6,1.0,0.5379063101771666,0.5379063101771666,0.04215323496953252,0.007231883945136739
rel_vh_p12_turn_1v5,1.0,0.5371174025968357,0.5371174025968357,0.052685546604656325,0.012428115558271379
rel_gh_p12_display_1v6,1.0,0.537020972383126,0.537020972383126,0.028292500622871856,-0.021231965237464782
b1_gh_p1_straight,1.0,0.5366575173416008,0.5366575173416008,0.5134943957757677,0.4732192986088494
rel_vh_p12_display_1v6,1.0,0.5365250896724443,0.5365250896724443,0.029007557511834568,-0.020763825236785823
rel_gh_p12_turn_1v6,1.0,0.535610753458291,0.535610753458291,0.04815602247875315,0.011752894048952712
b1_gh_p2_straight,1.0,0.5351067171886218,0.5351067171886218,0.5208541907943951,0.4827123499442473
rel_vh_p12_straight_1vbest,1.0,0.5348895990774096,0.5348895990774096,-0.2506333214995286,-0.2900666284412084
rel_vh_p12_turn_1v6,1.0,0.5343695305763495,0.5343695305763495,0.047324696176950974,0.012916963709814305
rel_gh_p12_straight_1v4,1.0,0.5336839718935996,0.5336839718935996,0.0203894295223919,-0.020462488253505672
b1_vh_p1_straight,1.0,0.5335507111066419,0.5335507111066419,0.5110976548481739,0.47498843226004855
b1_vh_p2_straight,1.0,0.5334783524996525,0.5334783524996525,0.5204200513933924,0.4845682991573612
rel_vh_p12_straight_1v4,1.0,0.5333581044206847,0.5333581044206847,0.018632903513727365,-0.02109015425850134
rel_gh_p12_straight_1v5,1.0,0.5326756202386524,0.5326756202386524,0.024495162488684618,-0.017268711417810105
b4_meet_win,1.0,0.46747609601066065,0.5325239039893394,0.13228811324692064,0.16906630785335336
rel_motor_1v3,1.0,0.5301062257336995,0.5301062257336995,0.01430191607246669,-0.015038627733403169
rel_motor_1vavg,1.0,0.5299819389364574,0.5299819389364574,0.011300090405400596,-0.011953121790115375
rel_gh_p12_straight_1v6,1.0,0.5298281208620318,0.5298281208620318,0.01333943377627457,-0.02544181305562302
rel_vh_p12_straight_1v5,1.0,0.5294008371556735,0.5294008371556735,0.022184271910208296,-0.015808135805080503
attack23_motor,1.0,0.4713664516520722,0.5286335483479279,0.09675917757186753,0.12457994849635548
rel_vh_p12_straight_1v6,1.0,0.5277873374873686,0.5277873374873686,0.011559315196886829,-0.025458131620673632
b1_motor,1.0,0.5245802145653029,0.5245802145653029,0.5362381055204242,0.5168114239157319
rel_motor_1v2,1.0,0.5245359409091619,0.5245359409091619,0.012625263682418404,-0.012965911570861157
rel_motor_1vbest,1.0,0.5245010387710273,0.5245010387710273,-0.21427101213710298,-0.2365177600279342
rel_motor_1v4,1.0,0.5238505217842162,0.5238505217842162,0.010262118713443352,-0.013254564765105553
b4_meet_p2,1.0,0.47784036480105535,0.5221596351989446,0.2953135340146386,0.3222031979517467
rel_motor_1v6,1.0,0.5214294391639578,0.5214294391639578,0.011125753674943943,-0.009024136877482433
b2_meet_st_strength,1.0,0.5203532201259033,0.5203532201259033,0.4970954562651681,0.47595223546185966
b3_meet_p2,1.0,0.48036795117107567,0.5196320488289243,0.30813903935114795,0.3315144850509959
b1_vh_has2,1.0,0.5182997369910538,0.5182997369910538,0.8720205962959887,0.8354211223138812
b2_vh_p12_straight,1.0,0.4823305356560928,0.5176694643439073,0.4918667963822021,0.506243048009012
b2_gh_p12_straight,1.0,0.4824721403081347,0.5175278596918653,0.49096089074579236,0.5050763632492933
rel_motor_1v5,1.0,0.5173961340407545,0.5173961340407545,0.008185399883730586,-0.009482368003724559
b2_vh_p12_display,1.0,0.48347383124969723,0.5165261687503028,0.49279212689975915,0.5083083817089317
b2_vh_p1_display,1.0,0.4845987305872874,0.5154012694127126,0.4874470558923677,0.505265301965577
b2_vh_p1_straight,1.0,0.484720264289664,0.515279735710336,0.48740658569991685,0.5035531521018841
b2_gh_p1_straight,1.0,0.4853591430014057,0.5146408569985943,0.4859958988312115,0.5017428147889499
rel_gh_delta_turn_1vbest,1.0,0.4859948880060886,0.5140051119939114,-0.3495584530631453,-0.3330464745221849
rel_vh_delta_overall_1vbest,1.0,0.4860298197473938,0.5139701802526062,-0.27586470691201265,-0.2621546393991555
rel_vh_delta_turn_1vbest,1.0,0.4863689282956146,0.5136310717043854,-0.3154257675165407,-0.3002172658451302
b3_gh_p12_display,1.0,0.48654651771603014,0.5134534822839698,0.4877236109957645,0.4997997080490206
b3_vh_p12_display,1.0,0.4866523913411606,0.5133476086588393,0.48889128809899507,0.5006986454832468
rel_gh_delta_overall_1vbest,1.0,0.4869175511692284,0.5130824488307716,-0.30628406904582234,-0.2924998519660271
b3_vh_p12_straight,1.0,0.48706980873366107,0.5129301912663389,0.493762745296671,0.5053659130133312
b2_gh_p12_display,1.0,0.48711330424931776,0.5128866957506822,0.49208482130498576,0.5040150049224292
b2_gh_p1_display,1.0,0.48712760258071647,0.5128723974192835,0.48624422113335,0.5013392402484979
b2_meet_p2,1.0,0.4871694614639416,0.5128305385360584,0.3159126974217083,0.3318248326115726
b5_meet_win,1.0,0.487199449475757,0.512800550524243,0.13168892559516263,0.151986938444317
b3_gh_p12_straight,1.0,0.48740948820017194,0.5125905117998281,0.49325513794494774,0.5045022638698166
b3_vh_p12_overall,1.0,0.4876595715563568,0.5123404284436432,0.493613112542565,0.5017446130239216
b6_wr,1.0,0.5122781349146569,0.5122781349146569,0.4279603023004734,0.41666381505244937
b3_motor,1.0,0.48805010081190586,0.5119498991880942,0.5219361894479576,0.531850051649135
b3_gh_p12_overall,1.0,0.48817316119208043,0.5118268388079196,0.4930352680962677,0.5010512946094153
b4_grade,1.0,0.5118218908494053,0.5118218908494053,0.5914417407192093,0.5791465526020979
b3_vh_p1_display,1.0,0.48819674646099803,0.511803253539002,0.485864961381945,0.4999490783175476
b2_vh_has2,1.0,0.5116292080410094,0.5116292080410094,0.844115937214517,0.8208575211324982
b4_vh_has2,1.0,0.5115061561188836,0.5115061561188836,0.8429532430861224,0.8199409308483552
b3_gh_p1_display,1.0,0.48861412579227925,0.5113858742077207,0.48420396976995267,0.497973317038395
b6_gh_p1_turn,1.0,0.5113812180518883,0.5113812180518883,0.4846088364753757,0.4750076382523679
