grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,final_odds_races,final_odds_coverage_pct,avg_final_composite_odds,median_final_composite_odds
A,4カドまくり,4,528,148,28.03030303030303,64,12.121212121212121,43.24324324324324,60.58238636363637,1999.21875,524,99.24242424242425,7.7804991676609285,6.450801755344431
A,4カドまくり,5,528,148,28.03030303030303,70,13.257575757575758,47.2972972972973,60.25757575757576,2272.5714285714284,524,99.24242424242425,6.593299451405263,5.432959182414343
A,4カドまくり,6,528,148,28.03030303030303,81,15.340909090909092,54.729729729729726,59.84848484848485,2340.740740740741,524,99.24242424242425,5.819926731067346,4.841310451121943
A,4カドまくり,7,528,148,28.03030303030303,95,17.992424242424242,64.1891891891892,78.08441558441558,3037.8947368421054,524,99.24242424242425,5.328686766401631,4.430432621214097
A,4カドまくり,8,528,148,28.03030303030303,104,19.696969696969695,70.27027027027027,77.04782196969697,3129.326923076923,524,99.24242424242425,4.917355929253476,4.060262468572153
A,4カドまくり,9,528,148,28.03030303030303,112,21.21212121212121,75.67567567567568,83.52272727272727,3543.75,524,99.24242424242425,4.600746933371118,3.800797380276116
A,4カドまくり,10,528,148,28.03030303030303,118,22.348484848484848,79.72972972972973,79.36931818181819,3551.4406779661017,524,99.24242424242425,4.32990926300206,3.5839326079251315
A,4カドまくり,11,528,148,28.03030303030303,122,23.106060606060606,82.43243243243244,77.99931129476585,3713.27868852459,524,99.24242424242425,4.154520846832377,3.4147022096351938
A,4カドまくり,12,528,148,28.03030303030303,125,23.674242424242426,84.45945945945945,74.60227272727273,3781.44,524,99.24242424242425,4.003166643287325,3.259254814040551
A,4カドまくり,13,528,148,28.03030303030303,130,24.62121212121212,87.83783783783784,73.74271561771562,3893.6153846153848,524,99.24242424242425,3.882588454331145,3.166317294327368
A,4カドまくり,14,528,148,28.03030303030303,135,25.568181818181817,91.21621621621621,72.67316017316017,3979.259259259259,524,99.24242424242425,3.7594224035554893,3.047157606691676
A,4カドまくり,15,528,148,28.03030303030303,138,26.136363636363637,93.24324324324324,70.78282828282828,4062.31884057971,524,99.24242424242425,3.662359936691913,3.004722345063537
A,4カドまくり,16,528,148,28.03030303030303,142,26.893939393939394,95.94594594594595,68.72632575757575,4088.7323943661972,524,99.24242424242425,3.5879474333790853,2.9488581332855626
A,4カドまくり,17,528,148,28.03030303030303,143,27.083333333333332,96.62162162162163,65.36430481283422,4102.867132867133,524,99.24242424242425,3.514303558160934,2.8731675156753678
A,4カドまくり,18,528,148,28.03030303030303,147,27.84090909090909,99.32432432432432,70.1199494949495,4533.469387755102,524,99.24242424242425,3.462021987467974,2.822877306021953
A,4カドまくり,19,528,148,28.03030303030303,148,28.03030303030303,100.0,68.20374800637958,4623.108108108108,524,99.24242424242425,3.4191561523728287,2.797417159694601
A,4カドまくり,20,528,148,28.03030303030303,148,28.03030303030303,100.0,64.79356060606061,4623.108108108108,524,99.24242424242425,3.3843611474191375,2.7832885801836538
A,5頭展開,1,911,99,10.867178924259056,13,1.4270032930845225,13.131313131313131,57.12403951701427,4003.076923076923,909,99.78046103183316,130.44323432343234,77.8
A,5頭展開,2,911,99,10.867178924259056,30,3.293084522502744,30.303030303030305,89.30845225027443,5424,909,99.78046103183316,67.75575412785453,40.34080495356037
A,5頭展開,3,911,99,10.867178924259056,40,4.390779363336993,40.4040404040404,75.78485181119649,5178,909,99.78046103183316,44.6230993442537,27.981865630429493
A,5頭展開,4,911,99,10.867178924259056,47,5.159165751920966,47.474747474747474,76.0675082327113,5897.659574468085,909,99.78046103183316,34.968545216411016,22.602386023621662
A,5頭展開,5,911,99,10.867178924259056,52,5.70801317233809,52.525252525252526,76.09659714599341,6665.7692307692305,909,99.78046103183316,28.784644137917386,19.172003199619834
