grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,odds_races,odds_coverage_pct,avg_composite_odds,median_composite_odds,avg_odds_lead_min
S,3まくり,13,301,121,40.199335548172755,106,35.21594684385382,87.60330578512396,75.95706618962433,2803.9622641509436,44,14.617940199335548,2.9631491153470777,2.4691052927967965,9.203713449621212
S,3まくり,14,301,121,40.199335548172755,110,36.54485049833887,90.9090909090909,74.2453725676317,2844.2727272727275,44,14.617940199335548,2.8704150726051227,2.4320325702395094,9.203713449621212
S,3まくり,15,301,121,40.199335548172755,112,37.2093023255814,92.56198347107438,72.8172757475083,2935.4464285714284,44,14.617940199335548,2.7879234486734665,2.4062333598492875,9.203713449621212
S,3まくり,16,301,121,40.199335548172755,116,38.538205980066444,95.86776859504133,80.15573089700996,3327.844827586207,44,14.617940199335548,2.7245337858445886,2.376796449896995,9.203713449621212
S,3まくり,17,301,121,40.199335548172755,118,39.20265780730897,97.52066115702479,78.46394371702169,3402.5423728813557,44,14.617940199335548,2.676349338377012,2.347411770324018,9.203713449621212
S,3まくり,18,301,121,40.199335548172755,119,39.53488372093023,98.34710743801652,75.48172757475083,3436.638655462185,44,14.617940199335548,2.6342060572380466,2.326865741486662,9.203713449621212
S,3まくり,19,301,121,40.199335548172755,120,39.8671096345515,99.17355371900827,71.95663577548522,3429.3333333333335,44,14.617940199335548,2.593875871985315,2.3025168595099554,9.203713449621212
S,3まくり,20,301,121,40.199335548172755,121,40.199335548172755,100.0,69.17275747508306,3441.4876033057853,44,14.617940199335548,2.5618423620576727,2.286480458064475,9.203713449621212
S,3まくり差し,1,26,11,42.30769230769231,0,0.0,0.0,0.0,0,7,26.923076923076923,17.042857142857144,15.1,8.80869329047619
S,3まくり差し,2,26,11,42.30769230769231,2,7.6923076923076925,18.181818181818183,52.30769230769231,1360,7,26.923076923076923,8.931250295110738,7.566371681415929,8.80869329047619
S,3まくり差し,3,26,11,42.30769230769231,5,19.23076923076923,45.45454545454545,70.76923076923077,1104,7,26.923076923076923,6.400860028666856,5.862618405213565,8.80869329047619
S,3まくり差し,4,26,11,42.30769230769231,5,19.23076923076923,45.45454545454545,53.07692307692308,1104,7,26.923076923076923,5.319987295187618,4.378749269010354,8.80869329047619
S,3まくり差し,5,26,11,42.30769230769231,5,19.23076923076923,45.45454545454545,42.46153846153846,1104,7,26.923076923076923,4.484736997134046,3.5515499694134025,8.80869329047619
S,3まくり差し,6,26,11,42.30769230769231,7,26.923076923076923,63.63636363636363,54.743589743589745,1220,7,26.923076923076923,3.923747157706154,3.4139253772548432,8.80869329047619
S,3まくり差し,7,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,54.67032967032967,1243.75,7,26.923076923076923,3.5823667647385973,3.2247654363794145,8.80869329047619
S,3まくり差し,8,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,47.83653846153846,1243.75,7,26.923076923076923,3.2574052198560968,2.7371112039944365,8.80869329047619
S,3まくり差し,9,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,42.52136752136752,1243.75,7,26.923076923076923,2.9136114939910778,2.4160869916339296,8.80869329047619
S,3まくり差し,10,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,38.26923076923077,1243.75,7,26.923076923076923,2.6622622092931025,2.3572510051710194,8.80869329047619
S,3まくり差し,11,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,34.79020979020979,1243.75,7,26.923076923076923,2.4485378223861423,2.2875816994796847,8.80869329047619
S,3まくり差し,12,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,31.891025641025642,1243.75,7,26.923076923076923,2.3325642825591393,2.2370149556650434,8.80869329047619
S,3まくり差し,13,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,29.437869822485208,1243.75,7,26.923076923076923,2.2300778569334643,2.051239511722742,8.80869329047619
S,3まくり差し,14,26,11,42.30769230769231,8,30.76923076923077,72.72727272727273,27.335164835164836,1243.75,7,26.923076923076923,2.1495704554195783,2.0053029904482083,8.80869329047619
S,3まくり差し,15,26,11,42.30769230769231,10,38.46153846153846,90.9090909090909,37.717948717948715,1471,7,26.923076923076923,2.0603260530949585,1.976945517217666,8.80869329047619
