target,maxn,floor,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct,avg_n,avg_comp_odds,min_month_R,min_month_roi_pct
5.5,16,4.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,16,4.5,27,158950.0,-111050.0,58.870370370370374,33.33333333333333,11.11111111111111,3.5555555555555554,5.382653546809973,6,0.0
5.5,16,5.0,24,158950.0,-81050.0,66.22916666666667,29.166666666666668,12.5,3.5833333333333335,5.467118453251906,5,0.0
5.5,16,5.5,6,0.0,-60000.0,0.0,33.33333333333333,0.0,3.1666666666666665,6.034978569508578,1,0.0
5.5,16,6.0,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541,0,0.0
5.5,16,6.5,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319,0,0.0
5.5,16,7.0,0,0.0,0.0,,,,,,0,
5.5,16,7.5,0,0.0,0.0,,,,,,0,
5.5,16,8.0,0,0.0,0.0,,,,,,0,
5.5,20,3.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,20,3.5,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,20,4.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,20,4.5,27,158950.0,-111050.0,58.870370370370374,33.33333333333333,11.11111111111111,3.5555555555555554,5.382653546809973,6,0.0
5.5,20,5.0,24,158950.0,-81050.0,66.22916666666667,29.166666666666668,12.5,3.5833333333333335,5.467118453251906,5,0.0
5.5,20,5.5,6,0.0,-60000.0,0.0,33.33333333333333,0.0,3.1666666666666665,6.034978569508578,1,0.0
5.5,20,6.0,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541,0,0.0
5.5,20,6.5,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319,0,0.0
5.5,20,7.0,0,0.0,0.0,,,,,,0,
5.5,20,7.5,0,0.0,0.0,,,,,,0,
5.5,20,8.0,0,0.0,0.0,,,,,,0,
6.0,4,3.0,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.103448275862069,5.8127447956584115,6,0.0
6.0,4,3.5,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.103448275862069,5.8127447956584115,6,0.0
6.0,4,4.0,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.103448275862069,5.8127447956584115,6,0.0
6.0,4,4.5,28,167890.0,-112110.0,59.96071428571429,32.142857142857146,10.714285714285714,3.142857142857143,5.862397398713627,6,0.0
6.0,4,5.0,26,167890.0,-92110.0,64.57307692307693,26.923076923076923,11.538461538461538,3.1923076923076925,5.947114699187589,5,0.0
6.0,4,5.5,17,62580.0,-107420.0,36.811764705882354,17.647058823529413,5.88235294117647,3.3529411764705883,6.310498386576003,3,0.0
6.0,4,6.0,13,62580.0,-67420.0,48.13846153846154,15.384615384615385,7.6923076923076925,3.3846153846153846,6.463736061856437,2,0.0
6.0,4,6.5,5,0.0,-50000.0,0.0,0.0,0.0,3.0,6.7230486421216735,0,0.0
6.0,4,7.0,1,0.0,-10000.0,0.0,0.0,0.0,2.0,7.040000000000001,0,0.0
6.0,4,7.5,0,0.0,0.0,,,,,,0,
6.0,4,8.0,0,0.0,0.0,,,,,,0,
6.0,6,3.0,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.103448275862069,5.8127447956584115,6,0.0
6.0,6,3.5,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.103448275862069,5.8127447956584115,6,0.0
6.0,6,4.0,29,167890.0,-122110.0,57.89310344827586,31.03448275862069,10.344827586206897,3.103448275862069,5.8127447956584115,6,0.0
6.0,6,4.5,28,167890.0,-112110.0,59.96071428571429,32.142857142857146,10.714285714285714,3.142857142857143,5.862397398713627,6,0.0
6.0,6,5.0,26,167890.0,-92110.0,64.57307692307693,26.923076923076923,11.538461538461538,3.1923076923076925,5.947114699187589,5,0.0
6.0,6,5.5,17,62580.0,-107420.0,36.811764705882354,17.647058823529413,5.88235294117647,3.3529411764705883,6.310498386576003,3,0.0
6.0,6,6.0,13,62580.0,-67420.0,48.13846153846154,15.384615384615385,7.6923076923076925,3.3846153846153846,6.463736061856437,2,0.0
6.0,6,6.5,5,0.0,-50000.0,0.0,0.0,0.0,3.0,6.7230486421216735,0,0.0
6.0,6,7.0,1,0.0,-10000.0,0.0,0.0,0.0,2.0,7.040000000000001,0,0.0
6.0,6,7.5,0,0.0,0.0,,,,,,0,
