1ブロック力,1ブロック成功指数,1対3圧力,2壁中間適合,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,STゾーン,ST接近度,bet_hit,date,head_hit,model,prob,race,race_code,return,score,venue,zone,まくり差し指数,まくり差し指数v28,まくり差し指数v29,中間ST適合,差し場生成指数,直まくり指数,直まくり指数v28,直まくり指数v29
0.604,0.349,0.142,0.712,0.658,0.342,0.891,0.931,0.619,0.782,大幅先行,0.0,0,2026-08-18,1,3直まくりv29,0.0771,01R,202608182001,0,81.02,20,大幅先行,0.515,0.315,0.372,0.0,0.355,0.794,0.802,0.81
0.606,0.404,0.25,0.887,0.522,0.478,0.809,0.286,0.676,0.688,大幅先行,0.035,0,2026-08-18,0,3直まくりv29,0.0767,02R,202608182002,0,62.84,20,大幅先行,0.499,0.327,0.409,0.0,0.394,0.591,0.587,0.628
0.76,0.649,0.623,0.892,0.523,0.477,0.633,0.5,0.5,0.683,中間先行,0.586,0,2026-08-19,0,3まくり差しv29,0.0692,07R,202608190507,0,64.23,05,中間先行,0.647,0.465,0.642,0.708,0.588,0.599,0.538,0.586
0.9,0.722,0.821,0.928,0.584,0.416,0.601,0.794,0.524,0.83,中間先行,0.684,0,2026-08-19,0,3まくり差しv29,0.0456,09R,202608190509,0,75.85,05,中間先行,0.766,0.565,0.759,0.882,0.696,0.676,0.597,0.64
0.743,0.631,0.527,1.0,0.56,0.44,0.633,0.825,0.609,0.591,中間先行,0.586,0,2026-08-19,0,3まくり差しv29,0.0689,05R,202608191105,0,64.33,11,中間先行,0.613,0.449,0.643,0.708,0.589,0.593,0.551,0.598
0.794,0.661,1.0,0.528,0.399,0.601,0.668,0.635,0.791,0.729,中間先行,0.474,0,2026-08-19,0,3まくり差しv29,0.0407,07R,202608191107,0,69.24,11,中間先行,0.77,0.602,0.692,0.509,0.727,0.594,0.546,0.592
0.673,0.394,0.43,0.712,0.658,0.342,0.809,0.86,0.8,0.71,大幅先行,0.035,0,2026-08-19,1,3直まくりv29,0.095,02R,202608191302,0,73.16,13,大幅先行,0.609,0.449,0.461,0.0,0.518,0.71,0.71,0.732
0.737,0.49,0.384,0.712,0.658,0.342,0.741,0.283,0.571,0.578,大幅先行,0.246,1,2026-08-19,0,3直まくりv29,0.0754,09R,202608191509,17600,61.05,15,大幅先行,0.546,0.391,0.415,0.104,0.492,0.597,0.567,0.61
0.745,0.419,0.0,0.82,0.621,0.379,1.0,0.14,0.2,0.93,大幅先行,0.0,0,2026-08-19,1,3直まくりv29,0.0858,05R,202608191805,0,78.04,18,大幅先行,0.404,0.14,0.284,0.0,0.205,0.777,0.764,0.78
0.309,0.523,0.323,1.0,0.56,0.44,0.549,0.88,1.0,0.615,中間先行,0.848,0,2026-08-20,1,3まくり差しv29,0.0413,01R,202608201301,0,72.08,13,中間先行,0.657,0.554,0.721,0.826,0.655,0.608,0.574,0.611
0.641,0.396,0.0,0.964,0.548,0.452,1.0,0.649,0.78,0.906,大幅先行,0.0,0,2026-08-20,0,3直まくりv29,0.0754,04R,202608201504,0,82.0,15,大幅先行,0.49,0.262,0.41,0.0,0.314,0.802,0.813,0.82
0.86,0.744,0.35,0.856,0.609,0.391,0.542,0.454,0.79,0.611,中間先行,0.87,1,2026-08-20,0,3まくり差しv29,0.066,09R,202608201609,40920,64.91,16,中間先行,0.626,0.448,0.649,0.787,0.626,0.514,0.433,0.509
0.556,0.339,0.245,0.82,0.621,0.379,0.918,0.172,0.286,0.735,大幅先行,0.0,0,2026-08-20,0,3直まくりv29,0.0951,02R,202608201902,0,73.37,19,大幅先行,0.455,0.248,0.333,0.0,0.308,0.718,0.71,0.734
