month,race_code,p3head,lambda,N,hit,comp,return_yen,zero_stake,actual,tickets,pair_train,odds_source
2026-07,202607010611,0.3307714655710962,0.75,11,1,2.081860809190998,20680.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6;3-2-1;3-2-5;3-5-2;3-4-1;3-5-6;3-2-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.75,12,1,1.9565308145802542,18800.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6;3-2-1;3-2-5;3-5-2;3-4-1;3-5-6;3-2-4;3-4-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,5,1,2.6460517229233185,26320.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,6,1,2.5671570613078885,26320.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,7,1,2.475328213025754,24440.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,8,1,2.3849229000047294,24440.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,9,1,2.224633493289794,22560.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,10,1,2.1656639872762535,20680.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,11,1,2.030368713327174,20680.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4;3-4-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,1.0,12,1,1.9565308145802542,18800.0,0,3-1-2,3-1-5;3-1-2;3-1-4;3-5-1;3-1-6;3-2-5;3-2-1;3-5-2;3-4-1;3-2-4;3-4-5;3-5-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,5,0,4.108696487409408,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,6,0,3.5660383650260803,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,7,0,3.3068646056483066,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,8,0,3.2634198091099917,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,9,0,3.1046162634392593,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,10,0,2.9537876894364454,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5;3-1-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,11,0,2.882127810266844,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5;3-1-2;3-2-1,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.0,12,0,2.8649255568879877,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1;3-5-6;3-2-5;3-1-2;3-2-1;3-1-6,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.25,5,0,4.108696487409408,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.25,6,0,3.5660383650260803,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4,4286,official_closing
2026-07,202607011107,0.3261720075514753,0.25,7,0,3.3068646056483066,0.0,0,1-2-3,3-5-1;3-1-5;3-5-4;3-4-5;3-5-2;3-1-4;3-4-1,4286,official_closing
