racer_id,racer_name,n,mean_ex_st,mean_actual_st,mean_delta,median_delta,shrunk_delta,actual_3c_faster_rate,actual_3c_slower_rate,early_n,early_delta,late_n,late_delta
5150,坂本 雄紀,62,0.11709677419354839,0.13838709677419359,0.021290322580645168,0.01999999999999999,0.027998822045374443,35.483870967741936,45.16129032258065,41,0.011219512195121953,21,0.04095238095238095
3999,大瀧 明日香,77,0.14051948051948052,0.16337662337662334,0.022857142857142857,0.03999999999999998,0.0282289101984708,32.467532467532465,54.54545454545455,60,0.01733333333333333,17,0.04235294117647058
5392,安武 一也,55,0.1421818181818182,0.16290909090909098,0.020727272727272733,0.04999999999999999,0.02824484903487631,36.36363636363637,58.18181818181818,32,0.0121875,23,0.032608695652173926
3730,塩崎 優司,70,0.13100000000000003,0.15342857142857141,0.02242857142857143,0.045,0.028323939840837004,30.0,57.142857142857146,39,0.025384615384615394,31,0.01870967741935484
5065,伊久間 陽優,51,0.10098039215686277,0.12137254901960785,0.0203921568627451,0.020000000000000018,0.02845762602076983,37.254901960784316,49.01960784313726,26,0.02307692307692307,25,0.0176
4257,古川 健,61,0.11180327868852459,0.13360655737704918,0.02180327868852459,0.039999999999999994,0.02853401672206987,27.868852459016395,50.81967213114754,37,0.043783783783783795,24,-0.012083333333333335
4289,落合 直子,61,0.12295081967213113,0.14508196721311475,0.02213114754098361,0.01999999999999999,0.02881570686291493,34.42622950819672,49.18032786885246,36,-0.005,25,0.061200000000000004
5304,井田 涼介,31,0.1593548387096774,0.17516129032258063,0.015806451612903234,0.03,0.02892476066504781,32.25806451612903,51.61290322580645,22,-0.000454545454545448,9,0.05555555555555555
4684,楠原 翔太,86,0.10000000000000002,0.1244186046511628,0.024418604651162797,0.030000000000000006,0.02912411653403083,32.55813953488372,54.651162790697676,55,0.04527272727272728,31,-0.012580645161290326
5412,久保田 凪紗,52,0.12903846153846155,0.15038461538461537,0.021346153846153848,0.009999999999999988,0.029127664310757417,42.30769230769231,44.23076923076923,30,-0.0026666666666666644,22,0.054090909090909085
4408,仁科 さやか,62,0.17193548387096774,0.1948387096774194,0.02290322580645161,0.010000000000000009,0.02938771093426332,41.935483870967744,45.16129032258065,35,0.03000000000000001,27,0.013703703703703699
5449,堀井 涼平,37,0.14216216216216213,0.1608108108108108,0.018648648648648646,0.06999999999999999,0.029487557175892763,40.54054054054054,56.75675675675676,31,0.014193548387096773,6,0.041666666666666664
5194,大久保 佑香,51,0.13549019607843138,0.15745098039215685,0.02196078431372549,0.03,0.029769101430605897,41.1764705882353,50.98039215686274,24,0.04666666666666666,27,-1.02798428206033e-18
5437,中澤 里桜,43,0.19325581395348834,0.21395348837209305,0.02069767441860465,0.03,0.02992292806164075,37.2093023255814,51.16279069767442,32,-0.018749999999999996,11,0.13545454545454544
5092,篠原 晟弥,52,0.11961538461538462,0.14192307692307693,0.022307692307692306,0.02500000000000001,0.029934115923660642,36.53846153846154,50.0,24,-0.012500000000000006,28,0.05214285714285714
4431,石塚 裕介,53,0.13830188679245284,0.16075471698113206,0.022452830188679246,0.04000000000000001,0.029935161702650166,41.509433962264154,50.943396226415096,30,0.04166666666666667,23,-0.0026086956521739124
4850,野中 一平,88,0.09147727272727274,0.11693181818181819,0.025454545454545455,0.019999999999999997,0.029958318237417965,25.0,47.72727272727273,60,0.021833333333333333,28,0.03321428571428571
