month,variant,race_code,p,head_hit,fstate_n,neighbor_n
2026-07,CURRENT,202607030410,0.45429237429214914,0,36,14
2026-07,CURRENT,202607030411,0.5867739079283212,0,23,16
2026-07,CURRENT,202607030412,0.6320925155726344,1,22,12
2026-07,CURRENT,202607030601,0.20187305390443183,0,16,8
2026-07,CURRENT,202607030602,0.4148086648440508,0,24,7
2026-07,CURRENT,202607030603,0.8717545987503181,1,21,13
2026-07,CURRENT,202607030604,0.8577742382009911,1,37,17
2026-07,CURRENT,202607030605,0.4080844537580893,1,29,12
2026-07,CURRENT,202607030606,0.3941797357818663,0,3,7
2026-07,CURRENT,202607030607,0.19362458740409394,1,15,3
2026-07,CURRENT,202607030608,0.31324007065873194,0,27,9
2026-07,CURRENT,202607030609,0.13038821842585552,0,29,10
2026-07,CURRENT,202607030610,0.7542731516149214,1,47,19
2026-07,CURRENT,202607030611,0.8077434896101289,0,31,20
2026-07,CURRENT,202607030612,0.7599831371698632,1,20,6
2026-07,CURRENT,202607030701,0.3752488643654461,0,27,11
2026-07,CURRENT,202607030702,0.37337347830115386,1,20,6
2026-07,CURRENT,202607030703,0.24181976294526225,0,7,12
2026-07,CURRENT,202607030704,0.35926260396047915,0,25,8
2026-07,CURRENT,202607030705,0.8665253246006087,0,37,13
2026-07,CURRENT,202607030706,0.5021429000157059,0,32,10
2026-07,CURRENT,202607030707,0.2135572643451374,0,11,13
2026-07,CURRENT,202607030708,0.7414214781723732,1,30,11
2026-07,CURRENT,202607030709,0.486554041751529,0,27,11
2026-07,CURRENT,202607030710,0.6616551424665473,1,40,18
2026-07,CURRENT,202607030711,0.7268722120894162,1,42,20
2026-07,CURRENT,202607030712,0.8031477496942581,1,36,16
2026-07,CURRENT,202607030801,0.6628268018400455,1,34,12
2026-07,CURRENT,202607030802,0.47501247636997884,1,25,8
2026-07,CURRENT,202607030803,0.5245161697273039,1,15,8
2026-07,CURRENT,202607030804,0.4846360888524194,0,25,10
2026-07,CURRENT,202607030805,0.6778785591599102,1,21,8
2026-07,CURRENT,202607030806,0.6283461131826238,1,40,14
2026-07,CURRENT,202607030807,0.7821479324209664,1,51,18
2026-07,CURRENT,202607030808,0.7931994247823669,1,13,15
2026-07,CURRENT,202607030809,0.7985143050607532,1,39,14
2026-07,CURRENT,202607030810,0.8547936110109401,1,38,14
2026-07,CURRENT,202607030811,0.7440069156396053,1,43,18
2026-07,CURRENT,202607030812,0.732444498774645,1,24,12
2026-07,CURRENT,202607030901,0.7079627422521652,0,31,9
2026-07,CURRENT,202607030902,0.547269497124027,0,18,5
2026-07,CURRENT,202607030903,0.4274232930724205,1,10,9
2026-07,CURRENT,202607030904,0.4532222114882244,0,38,17
2026-07,CURRENT,202607030905,0.8480734535698446,1,24,8
2026-07,CURRENT,202607030906,0.18050399410019266,0,26,8
2026-07,CURRENT,202607030907,0.48716221730923065,0,6,12
2026-07,CURRENT,202607030908,0.5024556209816597,0,25,9
2026-07,CURRENT,202607030909,0.732133781968843,0,26,13
2026-07,CURRENT,202607030910,0.6568945602230588,1,51,16
2026-07,CURRENT,202607030911,0.6509647389860594,1,41,16
2026-07,CURRENT,202607030912,0.6546683516634383,0,12,12
2026-07,CURRENT,202607031101,0.6983266045263307,1,10,19
2026-07,CURRENT,202607031102,0.512199156825137,1,29,9
2026-07,CURRENT,202607031103,0.7378676784462886,1,11,13
2026-07,CURRENT,202607031104,0.7695176542718456,1,14,5
2026-07,CURRENT,202607031105,0.6074053314495196,1,27,8
2026-07,CURRENT,202607031106,0.7288904675663829,0,26,8
2026-07,CURRENT,202607031107,0.7619474980276942,0,35,14
2026-07,CURRENT,202607031108,0.3478192018041439,0,39,10
2026-07,CURRENT,202607031109,0.454972151021883,1,3,5
2026-07,CURRENT,202607031110,0.4066958648567768,1,20,8
2026-07,CURRENT,202607031111,0.39956158835370353,1,11,9
2026-07,CURRENT,202607031112,0.7212245276445776,1,13,16
2026-07,CURRENT,202607031201,0.835774957731059,0,4,9
2026-07,CURRENT,202607031202,0.7124970663465694,0,21,7
2026-07,CURRENT,202607031203,0.20256024378087714,0,15,6
2026-07,CURRENT,202607031204,0.18986939310979112,1,14,9
2026-07,CURRENT,202607031205,0.8006108764326232,1,23,13
2026-07,CURRENT,202607031206,0.4911920828943059,0,25,7
2026-07,CURRENT,202607031207,0.5460096072821579,1,24,11
2026-07,CURRENT,202607031208,0.4533664863429752,0,17,3
2026-07,CURRENT,202607031209,0.3691650786957938,0,15,6
2026-07,CURRENT,202607031210,0.6480295275555883,1,44,12
2026-07,CURRENT,202607031211,0.7792255995707674,1,40,18
2026-07,CURRENT,202607031212,0.6162261086460326,1,25,8
2026-07,CURRENT,202607031301,0.6380498739226792,0,27,11
2026-07,CURRENT,202607031302,0.5218907594064853,0,26,7
2026-07,CURRENT,202607031303,0.422165367996778,0,3,10
2026-07,CURRENT,202607031304,0.2824521527034028,1,27,8
2026-07,CURRENT,202607031305,0.4702112124054215,0,24,8
2026-07,CURRENT,202607031306,0.7995996127396794,1,27,10
2026-07,CURRENT,202607031307,0.42437168693276067,0,23,10
2026-07,CURRENT,202607031308,0.390152526596176,0,33,11
2026-07,CURRENT,202607031309,0.7587834986437687,1,41,13
2026-07,CURRENT,202607031310,0.8410195509780097,1,38,18
2026-07,CURRENT,202607031311,0.7769923350087499,1,31,12
2026-07,CURRENT,202607031312,0.6540610549152694,1,23,8
2026-07,CURRENT,202607031601,0.663711889613485,0,32,15
2026-07,CURRENT,202607031602,0.5173727825817691,1,33,10
2026-07,CURRENT,202607031603,0.4664780829047695,0,27,13
2026-07,CURRENT,202607031604,0.6401577135771002,0,26,16
2026-07,CURRENT,202607031605,0.7411281483573937,1,31,12
2026-07,CURRENT,202607031606,0.4303711765764673,1,6,10
2026-07,CURRENT,202607031607,0.4989845436523527,0,6,17
2026-07,CURRENT,202607031608,0.6601468327361768,1,31,16
2026-07,CURRENT,202607031609,0.4877809999868923,1,11,3
2026-07,CURRENT,202607031610,0.45604101221564447,1,26,14
2026-07,CURRENT,202607031611,0.5053234835214023,1,5,5
2026-07,CURRENT,202607031612,0.6324921303821021,1,26,11
2026-07,CURRENT,202607031901,0.6069725735741959,0,31,13
2026-07,CURRENT,202607031902,0.4880440448321372,0,30,7
2026-07,CURRENT,202607031903,0.49378190291644714,0,5,6
2026-07,CURRENT,202607031904,0.14405351472474512,1,23,7
2026-07,CURRENT,202607031905,0.7735501343918282,1,6,13
2026-07,CURRENT,202607031906,0.6180167601720706,1,17,7
2026-07,CURRENT,202607031907,0.16477515613691662,0,18,5
2026-07,CURRENT,202607031908,0.4198310059038627,0,27,16
2026-07,CURRENT,202607031909,0.6277076525901398,1,34,20
2026-07,CURRENT,202607031910,0.6794634748988605,1,41,17
2026-07,CURRENT,202607031911,0.6956609822931604,1,43,15
2026-07,CURRENT,202607031912,0.768433156584344,0,19,8
2026-07,CURRENT,202607032001,0.3364380988944511,0,11,4
2026-07,CURRENT,202607032002,0.5875818715569242,1,20,6
2026-07,CURRENT,202607032003,0.3006031662245463,0,18,5
2026-07,CURRENT,202607032004,0.6821787172616053,1,32,17
2026-07,CURRENT,202607032005,0.7060027134998702,0,10,16
2026-07,CURRENT,202607032006,0.7855734661688663,0,44,15
2026-07,CURRENT,202607032007,0.735444704743751,1,7,15
2026-07,CURRENT,202607032008,0.7840249858687025,1,23,11
2026-07,CURRENT,202607032009,0.6315572024262874,1,22,7
