pre_cut,post_cut,R,head4_rate_pct,hit_rate_pct,avg_comp_odds,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct,profitable_months,months_present,min_month_roi_pct,median_month_roi_pct
0.18,0.28,136,41.17647058823529,12.5,9.967817044916764,-3140.0,99.76911764705882,107,85.5,11.214953271028037,3,7,0.0,94.58333333333333
0.18,0.29,121,39.66942148760331,13.223140495867769,9.849585955170179,97180.0,108.03140495867768,93,93.02903225806452,11.827956989247312,4,7,0.0,100.1470588235294
0.18,0.3,112,39.285714285714285,13.392857142857142,9.666597967208954,103660.0,109.25535714285714,87,89.84482758620689,11.494252873563218,3,7,0.0,63.756
0.18,0.31,103,40.77669902912621,13.592233009708737,9.328029943777175,65350.0,106.34466019417475,80,81.6675,11.25,2,7,0.0,72.45
0.18,0.32,93,43.01075268817204,15.053763440860216,9.381166169703064,165350.0,117.77956989247312,70,93.33428571428571,12.857142857142856,3,7,0.0,78.84545454545454
0.19,0.15,282,33.33333333333333,8.51063829787234,11.610799792883938,-835700.0,70.36524822695036,230,67.05608695652174,8.26086956521739,1,7,0.0,62.7025
0.19,0.16,280,33.214285714285715,8.571428571428571,11.51576696626731,-815700.0,70.86785714285715,228,67.64429824561404,8.333333333333332,1,7,0.0,64.31025641025641
0.19,0.17,275,33.81818181818182,8.727272727272728,11.466040900608638,-765700.0,72.15636363636364,224,68.85223214285715,8.482142857142858,1,7,0.0,66.00263157894737
0.19,0.18,267,34.45692883895131,8.98876404494382,11.400688798422989,-685700.0,74.31835205992509,217,71.07327188940093,8.755760368663594,2,7,0.0,69.66944444444445
0.19,0.19,256,35.546875,9.375,11.174155737697696,-575700.0,77.51171875,209,73.79377990430622,9.090909090909092,2,7,0.0,76.0030303030303
0.19,0.2,244,36.0655737704918,9.426229508196721,11.068853051492487,-551380.0,77.40245901639344,201,71.97064676616915,8.955223880597014,2,7,0.0,69.49322033898305
0.19,0.21,237,36.708860759493675,9.70464135021097,10.982673292163124,-481380.0,79.68860759493671,194,74.56752577319588,9.278350515463918,2,7,0.0,75.92777777777778
0.19,0.22,225,37.333333333333336,10.222222222222223,10.653514230002676,-361380.0,83.93866666666666,183,79.04972677595629,9.836065573770492,2,7,0.0,77.36037735849057
0.19,0.23,211,38.862559241706165,10.90047393364929,10.463964892273278,-221380.0,89.50805687203791,172,84.10523255813953,10.465116279069768,2,7,0.0,82.002
0.19,0.24,198,40.909090909090914,11.616161616161616,10.319710608496067,-91380.0,95.38484848484849,161,89.85155279503105,11.180124223602485,3,7,0.0,89.13260869565218
0.19,0.25,187,41.17647058823529,11.76470588235294,10.37736035948356,-61940.0,96.68770053475936,152,89.8717105263158,11.18421052631579,2,7,0.0,74.02173913043478
0.19,0.26,170,41.17647058823529,10.588235294117647,10.263528559625065,-236880.0,86.06588235294117,137,74.53357664233576,9.48905109489051,2,7,0.0,76.234375
0.19,0.27,151,40.397350993377486,11.258278145695364,10.056814121438201,-153140.0,89.85827814569537,121,75.60743801652893,9.917355371900827,2,7,0.0,89.60526315789474
0.19,0.28,135,41.48148148148148,12.592592592592592,9.809460786362921,6860.0,100.50814814814815,106,86.30660377358491,11.320754716981133,3,7,0.0,94.58333333333333
0.19,0.29,120,40.0,13.333333333333334,9.670449905215886,107180.0,108.93166666666667,92,94.04021739130435,11.956521739130435,4,7,0.0,100.1470588235294
0.19,0.3,111,39.63963963963964,13.513513513513514,9.471288832231686,113660.0,110.23963963963963,86,90.88953488372093,11.627906976744185,3,7,0.0,63.756
0.19,0.31,102,41.17647058823529,13.725490196078432,9.112168355483956,75350.0,107.38725490196079,79,82.7012658227848,11.39240506329114,2,7,0.0,72.45
0.19,0.32,92,43.47826086956522,15.217391304347828,9.142418932964123,175350.0,119.05978260869566,69,94.68695652173913,13.043478260869565,3,7,0.0,78.84545454545454
0.2,0.15,253,35.96837944664031,9.090909090909092,11.304834798234676,-641380.0,74.6490118577075,208,69.5485576923077,8.653846153846153,2,7,0.0,69.66944444444445
0.2,0.16,251,35.85657370517929,9.163346613545817,11.196384115199002,-621380.0,75.24382470119522,206,70.223786407767,8.737864077669903,2,7,0.0,71.66
0.2,0.17,248,36.29032258064516,9.274193548387096,11.1810005459448,-591380.0,76.15403225806452,204,70.91225490196078,8.823529411764707,2,7,0.0,73.21607142857142
0.2,0.18,244,36.885245901639344,9.426229508196721,11.107658263745469,-551380.0,77.40245901639344,200,72.3305,9.0,2,7,0.0,74.54727272727273
0.2,0.19,238,37.39495798319328,9.663865546218489,10.957723575563955,-491380.0,79.35378151260504,196,73.80663265306123,9.183673469387756,2,7,0.0,74.54727272727273
0.2,0.2,232,37.93103448275862,9.913793103448276,10.875555188829932,-431380.0,81.40603448275863,192,75.34427083333334,9.375,2,7,0.0,74.54727272727273
0.2,0.21,229,37.99126637554585,10.043668122270741,10.787162617237852,-401380.0,82.47248908296943,189,76.54021164021164,9.523809523809524,2,7,0.0,77.36037735849057
0.2,0.22,219,38.35616438356164,10.50228310502283,10.430596242493872,-301380.0,86.23835616438356,179,80.81620111731844,10.05586592178771,2,7,0.0,78.84807692307692
0.2,0.23,206,39.80582524271845,11.165048543689322,10.221359301030652,-171380.0,91.68058252427184,168,86.10773809523809,10.714285714285714,2,7,0.0,83.67551020408163
0.2,0.24,196,41.3265306122449,11.73469387755102,10.289270363188992,-71380.0,96.35816326530612,160,90.413125,11.25,3,7,0.0,89.13260869565218
