pre_cut,post_cut,R,head4_rate_pct,hit_rate_pct,avg_comp_odds,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct,profitable_months,months_present,min_month_roi_pct,median_month_roi_pct
0.21,0.31,101,41.584158415841586,13.861386138613863,9.05595706992715,85350.0,108.45049504950495,78,83.76153846153846,11.538461538461538,2,7,0.0,72.45
0.21,0.32,92,43.47826086956522,15.217391304347828,9.142418932964123,175350.0,119.05978260869566,69,94.68695652173913,13.043478260869565,3,7,0.0,78.84545454545454
0.22,0.15,217,38.24884792626728,9.67741935483871,10.691676719861885,-424160.0,80.45345622119815,176,74.08125,9.090909090909092,2,7,0.0,66.02291666666666
0.22,0.16,217,38.24884792626728,9.67741935483871,10.691676719861885,-424160.0,80.45345622119815,176,74.08125,9.090909090909092,2,7,0.0,66.02291666666666
0.22,0.17,216,38.425925925925924,9.722222222222223,10.676479882692787,-414160.0,80.82592592592593,175,74.50457142857142,9.142857142857142,2,7,0.0,66.02291666666666
0.22,0.18,215,38.604651162790695,9.767441860465116,10.670702308747533,-404160.0,81.20186046511628,174,74.93275862068965,9.195402298850574,2,7,0.0,67.42765957446808
0.22,0.19,212,38.67924528301887,9.90566037735849,10.54938996308801,-374160.0,82.35094339622641,172,75.80406976744186,9.30232558139535,2,7,0.0,67.42765957446808
0.22,0.2,209,38.75598086124402,10.047846889952153,10.538341666029051,-344160.0,83.53301435406699,170,76.69588235294118,9.411764705882353,3,7,0.0,67.42765957446808
0.22,0.21,208,38.94230769230769,10.096153846153847,10.542984042919924,-334160.0,83.93461538461538,169,77.14970414201183,9.467455621301776,3,7,0.0,67.42765957446808
0.22,0.22,203,39.40886699507389,10.344827586206897,10.330083914164328,-284160.0,86.00197044334975,164,79.50182926829268,9.75609756097561,3,7,0.0,68.89347826086957
0.22,0.23,196,40.30612244897959,10.714285714285714,10.234514421601776,-214160.0,89.0734693877551,158,82.52088607594936,10.126582278481013,3,7,0.0,72.025
0.22,0.24,190,41.05263157894737,11.052631578947368,10.261177016713782,-154160.0,91.88631578947368,154,84.66428571428571,10.38961038961039,3,7,0.0,73.7
0.22,0.25,179,41.340782122905026,11.1731843575419,10.317806256518566,-124720.0,93.03240223463688,145,84.36344827586207,10.344827586206897,2,7,0.0,79.2275
0.22,0.26,165,41.21212121212121,10.303030303030303,10.252505737693715,-236560.0,85.6630303030303,133,73.03984962406015,9.022556390977442,2,7,0.0,69.965
0.22,0.27,148,40.54054054054054,10.81081081081081,10.00352783358757,-172820.0,88.32297297297298,118,73.31949152542373,9.322033898305085,3,7,0.0,93.28666666666666
0.22,0.28,132,41.66666666666667,12.121212121212121,9.744093887824139,-12820.0,99.02878787878788,103,83.99708737864077,10.679611650485436,4,7,0.0,106.40625
