variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
POST,0.15,5,428,124,64,14.953271028037381,28.971962616822427,6.23578276358882,4280000,3398550.0,-881450.0,79.4053738317757
POST,0.15,6,428,124,70,16.355140186915886,28.971962616822427,5.457715061204432,4280000,3211890.0,-1068110.0,75.04415887850467
POST,0.15,7,428,124,74,17.289719626168225,28.971962616822427,4.958417620641935,4280000,3080000.0,-1200000.0,71.96261682242991
POST,0.15,8,428,124,84,19.626168224299064,28.971962616822427,4.584066074238368,4280000,3137760.0,-1142240.0,73.31214953271028
POST,0.15,9,428,124,90,21.02803738317757,28.971962616822427,4.288374549595153,4280000,3205170.0,-1074830.0,74.88714953271028
POST,0.15,10,428,124,95,22.19626168224299,28.971962616822427,4.047338196843004,4280000,3187370.0,-1092630.0,74.471261682243
POST,0.15,11,428,124,99,23.130841121495326,28.971962616822427,3.8362825921808135,4280000,3169340.0,-1110660.0,74.05
POST,0.15,12,428,124,103,24.065420560747665,28.971962616822427,3.669076168725212,4280000,3201240.0,-1078760.0,74.79532710280374
POST,0.15,13,428,124,110,25.70093457943925,28.971962616822427,3.5388117219675004,4280000,3330560.0,-949440.0,77.81682242990654
POST,0.15,14,428,124,114,26.635514018691588,28.971962616822427,3.4225125552328763,4280000,3334370.0,-945630.0,77.90584112149533
POST,0.15,15,428,124,116,27.102803738317753,28.971962616822427,3.32578095421932,4280000,3291760.0,-988240.0,76.91028037383178
POST,0.15,16,428,124,118,27.570093457943923,28.971962616822427,3.238511472472607,4280000,3235110.0,-1044890.0,75.58668224299065
POST,0.15,17,428,124,120,28.037383177570092,28.971962616822427,3.17154974272533,4280000,3209610.0,-1070390.0,74.99088785046729
POST,0.15,18,428,124,120,28.037383177570092,28.971962616822427,3.1106518898009354,4280000,3118380.0,-1161620.0,72.85934579439252
POST,0.15,19,428,124,122,28.504672897196258,28.971962616822427,3.06856696203243,4280000,3123770.0,-1156230.0,72.98528037383177
POST,0.15,20,428,124,124,28.971962616822427,28.971962616822427,3.026123339503836,4280000,3141780.0,-1138220.0,73.40607476635515
POST,0.18,2,333,105,28,8.408408408408409,31.53153153153153,12.084165175480727,3330000,2373300.0,-956700.0,71.27027027027027
POST,0.18,3,333,105,36,10.81081081081081,31.53153153153153,8.398681152508635,3330000,2270990.0,-1059010.0,68.1978978978979
