date,month,race_code,layer,floor,max_n,n,comp_odds,head4_win,hit,return_yen,profit_yen,comp_band,fallback_n2
2026-04-03,2026-04,202604030402,A,8.0,20,2,8.60055096418733,0,0,0.0,-10000.0,8-10,0
2026-04-03,2026-04,202604030402,A,9.0,20,2,8.60055096418733,0,0,0.0,-10000.0,8-10,1
2026-04-03,2026-04,202604030402,A,10.0,20,2,8.60055096418733,0,0,0.0,-10000.0,8-10,1
2026-04-03,2026-04,202604031806,A,3.0,10,4,3.44823217547526,0,0,0.0,-10000.0,3-4,0
2026-04-03,2026-04,202604031806,A,4.0,10,3,5.412997758153016,0,0,0.0,-10000.0,5-6,0
2026-04-03,2026-04,202604031806,A,5.0,10,3,5.412997758153016,0,0,0.0,-10000.0,5-6,0
2026-04-03,2026-04,202604031806,A,6.0,10,2,7.522923588039867,0,0,0.0,-10000.0,6-8,0
2026-04-03,2026-04,202604031806,A,7.0,10,2,7.522923588039867,0,0,0.0,-10000.0,6-8,0
2026-04-03,2026-04,202604031806,A,8.0,10,2,7.522923588039867,0,0,0.0,-10000.0,6-8,1
2026-04-03,2026-04,202604031806,A,9.0,10,2,7.522923588039867,0,0,0.0,-10000.0,6-8,1
2026-04-03,2026-04,202604031806,A,10.0,10,2,7.522923588039867,0,0,0.0,-10000.0,6-8,1
2026-04-03,2026-04,202604031806,A,3.0,20,4,3.44823217547526,0,0,0.0,-10000.0,3-4,0
2026-04-03,2026-04,202604031806,A,4.0,20,3,5.412997758153016,0,0,0.0,-10000.0,5-6,0
2026-04-03,2026-04,202604031806,A,5.0,20,3,5.412997758153016,0,0,0.0,-10000.0,5-6,0
2026-04-03,2026-04,202604031806,A,6.0,20,2,7.522923588039867,0,0,0.0,-10000.0,6-8,0
2026-04-03,2026-04,202604031806,A,7.0,20,2,7.522923588039867,0,0,0.0,-10000.0,6-8,0
2026-04-03,2026-04,202604031806,A,8.0,20,2,7.522923588039867,0,0,0.0,-10000.0,6-8,1
2026-04-03,2026-04,202604031806,A,9.0,20,2,7.522923588039867,0,0,0.0,-10000.0,6-8,1
2026-04-03,2026-04,202604031806,A,10.0,20,2,7.522923588039867,0,0,0.0,-10000.0,6-8,1
2026-04-04,2026-04,202604042202,S,3.0,10,7,3.113949019854576,0,0,0.0,-10000.0,3-4,0
2026-04-04,2026-04,202604042202,S,4.0,10,5,4.402122936805281,0,0,0.0,-10000.0,4-5,0
