actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_raw,kelly_return,kelly_total,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
4-1-2,0.49999999999999994,2026-08-22,5,0,0.1563875399556507,2000,0,0,0.05873918693454296,0,0,5頭展開,1760,202608222306,0,61.113666666666674,3.78320786121373,0.07819376997782533,48.382471676280545,0,10,4
3-1-5,0.5288020065123886,2026-08-23,3,1,0.31244487908033947,2000,0,900,0.09829322732781659,0,900,3まくり,1780,202608230303,0,75.05999999999999,2.2259856324724665,0.16522147898220416,13.472737601581604,0,8,3
4-1-6,0.5194227222081883,2026-08-23,3,0,0.15740701749902092,2000,0,0,0.030793100606985927,0,0,3まくり,4660,202608231610,0,20.90666666666667,1.5547718108234514,0.08176078152401338,19.016107500963777,0,13,4
3-4-1,0.5307436117753531,2026-08-23,3,1,0.2348082809335811,2000,0,0,0.03182968473936987,0,0,3まくり,8530,202608231811,17060,57.381,1.300269211073744,0.12462299509745062,10.433621901455513,1,11,3
3-1-2,0.5097702125556787,2026-08-23,3,1,0.31732788938106243,2000,0,0,0.08568121913515786,0,0,3まくり,2360,202608232101,0,76.384,1.9439818957893442,0.1617643056196291,12.017372363717884,0,13,3
3-1-6,0.5603656732859961,2026-08-23,3,1,0.23006288045697587,2000,0,0,0.036392335805612304,0,0,3まくり,4750,202608232112,0,52.08833333333334,1.342609812404073,0.12891934090538892,10.414339717958882,0,14,3
3-5-4,0.49999999999999994,2026-08-23,5,0,0.11034865965211325,2000,0,0,0.02757184786810251,0,0,5頭展開,109410,202608231804,0,33.462,1.9437770733659356,0.05517432982605662,35.229735993059,0,10,3
1-2-5,0.49999999999999994,2026-08-23,5,0,0.15951437977800662,2000,0,0,0.06485560824502545,0,0,5頭展開,1140,202608231911,0,62.76466666666667,5.005139092532486,0.0797571898890033,62.75470712418595,0,10,1
1-2-3,0.5359001812685342,2026-08-24,3,0,0.17984839100070485,2000,0,0,0.03679211320890951,0,0,3まくり,720,202608240711,0,39.69166666666667,1.5579258482466065,0.09638078533813195,16.16427841691627,0,12,1
1-4-3,0.5457683532590781,2026-08-24,3,0,0.17374068445948432,2000,0,0,0.023993444347279697,0,0,3まくり,810,202608241504,0,41.361,1.306631731646388,0.09482216725155786,13.779812985923089,0,11,1
3-2-6,0.5066160324390111,2026-08-24,3,1,0.32066427044984497,2000,0,1000,0.10838898641148072,0,1000,3まくり,7410,202608241803,0,78.857,2.679114883208569,0.16245366044025047,16.491563661589097,0,9,3
3-1-2,0.5265135452698023,2026-08-24,3,1,0.2750836189645719,2000,0,0,0.05246618532923636,0,0,3まくり,3590,202608241810,0,68.69200000000001,1.4857387224941196,0.1448352514666842,10.258129201618278,0,11,3
1-5-3,0.546475442270743,2026-08-24,3,0,0.20025127969261122,2000,0,0,0.04745287385861426,0,0,3まくり,3010,202608242111,0,29.014000000000003,1.6818378548087394,0.10943240663530196,15.368736798539828,0,13,1
1-3-5,0.49999999999999994,2026-08-24,5,0,0.12275570980485252,2000,0,0,0.047197996040515784,0,0,5頭展開,5600,202608240712,0,27.377333333333333,4.124226039150222,0.061377854902426254,67.19404002806218,0,10,1
2-1-3,0.49999999999999994,2026-08-24,5,0,0.15163419151157953,2000,0,0,0.05810667665050513,0,0,5頭展開,6820,202608241001,0,49.03966666666666,4.032181049110192,0.07581709575578975,53.18300587637948,0,10,2
1-2-4,0.49999999999999994,2026-08-24,5,0,0.1609207236829205,2000,0,0,0.03338653455715859,0,0,5頭展開,3080,202608241505,0,64.45366666666666,1.652172208574492,0.08046036184146024,20.533989293137232,0,10,1
