race_code,branch,confidence,status,points,rank,rank_col,actual_combo,hit,invest,return,payout100
202608122303,1逃げ,0.7643626984408104,UNSETTLED,,,,5-1-3,,,,1700
202608122304,1逃げ,0.4045863068662273,UNSETTLED,,,,3-1-5,,,,22480
202608122305,3まくり,0.18315380623275965,NO_SOURCE,,,,,,,,
202608122306,4カド,0.2896719758503457,NO_SOURCE,,,,,,,,
202608122307,1逃げ,0.5208141669785585,UNSETTLED,,,,3-4-6,,,,1960
202608122308,5頭,0.34093639534106085,NO_SOURCE,,,,,,,,
202608122309,3まくり,0.15582046218299342,NO_SOURCE,,,,,,,,
202608122310,1逃げ,0.7588479045082515,UNSETTLED,,,,4-2-6,,,,7820
202608122311,1逃げ,0.9166314829589056,SETTLED,7,5,v110_rank20,1-2-3,1,700,1360,1360
202608122312,1逃げ,0.8635240441107949,UNSETTLED,,,,2-1-5,,,,12220
202608122401,5頭,0.495921274691872,NO_SOURCE,,,,,,,,
202608122402,1逃げ,0.5066465134287321,SETTLED,7,3,v110_rank20,1-5-3,1,700,3130,3130
202608122403,3まくり差し,0.23379165101470872,NO_SOURCE,,,,,,,,
202608122404,3まくり,0.28781104364744453,NO_SOURCE,,,,,,,,
202608122405,1逃げ,0.5375864052602836,SETTLED,7,12,v110_rank20,1-2-5,0,700,0,2210
202608122406,1逃げ,0.519850821580829,SETTLED,7,2,v110_rank20,1-5-4,1,700,2970,2970
202608122407,1逃げ,0.673304548861727,SETTLED,7,1,v110_rank20,1-3-2,1,700,260,260
202608122408,4カド,0.30994528221175255,NO_SOURCE,,,,,,,,
202608122410,1逃げ,0.4926140643185751,UNSETTLED,,,,3-1-4,,,,3570
202608122411,1逃げ,0.8114404448913797,UNSETTLED,,,,2-1-5,,,,1500
202608122412,1逃げ,0.4527493372801004,UNSETTLED,,,,2-1-3,,,,2200
202608130712,1逃げ,0.7472998968031953,UNSETTLED,,,,4-5-1,,,,39790
202608131212,1逃げ,0.6432528153098239,SETTLED,7,1,v110_rank20,1-3-5,1,700,1040,1040
202608131301,1逃げ,0.5731542088436101,UNSETTLED,,,,5-1-2,,,,30710
202608131309,1逃げ,0.7413934019544769,SETTLED,7,4,v110_rank20,1-3-2,1,700,740,740
202608131601,3まくり差し,0.28833571974932853,NO_SOURCE,,,,,,,,
202608131608,1逃げ,0.5660367255308039,SETTLED,7,6,v110_rank20,1-6-2,1,700,1040,1040
202608131908,1逃げ,0.5878663114554304,SETTLED,7,7,v110_rank20,1-3-5,1,700,1200,1200
202608131909,1逃げ,0.5517559852338294,UNSETTLED,,,,6-1-5,,,,6390
202608131911,1逃げ,0.8297918402713399,SETTLED,7,10,v110_rank20,1-3-2,0,700,0,3450
202608131912,1逃げ,0.7606778269304502,SETTLED,7,6,v110_rank20,1-4-2,1,700,1360,1360
202608132301,1逃げ,0.7954389521833211,SETTLED,7,3,v110_rank20,1-4-3,1,700,700,700
202608132302,1逃げ,0.5473580916410435,SETTLED,7,2,v110_rank20,1-2-5,1,700,1070,1070
202608132303,1逃げ,0.8088012093067368,SETTLED,7,1,v110_rank20,1-3-2,1,700,300,300
202608132304,1逃げ,0.5203879235807607,SETTLED,7,7,v110_rank20,1-3-4,1,700,4220,4220
202608132305,1逃げ,0.5838955859591294,UNSETTLED,,,,2-1-6,,,,910
202608132306,5頭,0.3153325777225187,NO_SOURCE,,,,,,,,
202608132311,1逃げ,0.8403704493702617,SETTLED,7,2,v110_rank20,1-3-2,1,700,1180,1180
202608132412,1逃げ,0.7823178397399896,SETTLED,7,9,v110_rank20,1-4-6,0,700,0,3070
202608140103,3まくり,0.2548264582158433,NO_SOURCE,,,,,,,,
202608140104,3まくり,0.1785813468662311,NO_SOURCE,,,,,,,,
202608140105,1逃げ,0.5530999495296345,NO_SOURCE,,,,,,,,
202608140106,1逃げ,0.7544813976543004,SETTLED,7,2,v110_rank20,1-3-4,1,700,870,870
202608140107,1逃げ,0.5175041255824961,SETTLED,7,11,v110_rank20,1-2-5,0,700,0,14260
202608140108,1逃げ,0.7225488369531201,UNSETTLED,,,,3-2-5,,,,52820
202608140109,1逃げ,0.4870790125206155,SETTLED,7,7,v110_rank20,1-5-4,1,700,3860,3860
202608140110,1逃げ,0.42172025812202274,SETTLED,7,1,v110_rank20,1-2-3,1,700,650,650
202608140111,1逃げ,0.8645567654907234,SETTLED,7,1,v110_rank20,1-2-4,1,700,460,460
202608140112,1逃げ,0.7715660376381197,SETTLED,7,5,v110_rank20,1-2-4,1,700,620,620
202608140201,3まくり,0.3190591971240049,NO_SOURCE,,,,,,,,
202608140202,5頭,0.344668077534206,NO_SOURCE,,,,,,,,
202608140203,1逃げ,0.42368015945649745,UNSETTLED,,,,4-3-2,,,,11150
202608140204,3まくり,0.29908137678833285,NO_SOURCE,,,,,,,,
202608140205,1逃げ,0.47347473451175953,UNSETTLED,,,,2-1-4,,,,5800
202608140206,3まくり,0.38254513371487137,NO_SOURCE,,,,,,,,
202608140207,1逃げ,0.6970963137652506,SETTLED,7,10,v110_rank20,1-5-2,0,700,0,3860
202608140208,5頭,0.37095172024527295,NO_SOURCE,,,,,,,,
202608140209,5頭,0.4270642758352921,NO_SOURCE,,,,,,,,
202608140210,1逃げ,0.7137032842178602,UNSETTLED,,,,5-2-1,,,,3250
202608140212,1逃げ,0.5144258567026381,UNSETTLED,,,,3-6-2,,,,26430
202608140301,1逃げ,0.5563613840101144,SETTLED,7,4,v110_rank20,1-5-3,1,700,2400,2400
202608140302,3まくり差し,0.18241253610775632,NO_SOURCE,,,,,,,,
202608140303,1逃げ,0.4919382139532823,SETTLED,7,5,v110_rank20,1-3-2,1,700,1510,1510
202608140304,5頭,0.40628043491012905,NO_SOURCE,,,,,,,,
202608140305,1逃げ,0.6654089495734924,UNSETTLED,,,,2-1-4,,,,2490
202608140306,4カド,0.3259876959380957,NO_SOURCE,,,,,,,,
202608140307,1逃げ,0.6002284677509067,UNSETTLED,,,,6-2-1,,,,13850
202608140308,5頭,0.43368110164794776,NO_SOURCE,,,,,,,,
202608140309,1逃げ,0.6627233298734043,UNSETTLED,,,,4-3-1,,,,44580
202608140310,1逃げ,0.7286813592008401,SETTLED,7,11,v110_rank20,1-3-4,0,700,0,1930
202608140311,1逃げ,0.5735006857022733,UNSETTLED,,,,2-3-4,,,,15270
202608140312,1逃げ,0.4821501282292574,UNSETTLED,,,,4-1-5,,,,13830
202608140403,3まくり,0.30232568369732765,NO_SOURCE,,,,,,,,
202608140404,4カド,0.22968435853306238,NO_SOURCE,,,,,,,,
202608140405,3まくり,0.31039903274404834,NO_SOURCE,,,,,,,,
202608140406,3まくり,0.2622802324409065,NO_SOURCE,,,,,,,,
202608140407,1逃げ,0.6079920519650469,SETTLED,7,3,v110_rank20,1-5-3,1,700,1000,1000
