q,conf,R,head_hits,head_rate,exact3_hits,exact3_rate,worst_head_month,worst_exact3_month
0.77,0.45,1103,831,0.7533998186763372,469,0.4252039891205802,0.7212121212121212,0.3939393939393939
0.77,0.475,562,413,0.7348754448398577,243,0.43238434163701067,0.6973684210526315,0.39473684210526316
0.77,0.5,264,196,0.7424242424242424,125,0.4734848484848485,0.6666666666666666,0.4
0.78,0.3,4834,3665,0.7581712867190732,1517,0.313818783616053,0.7450980392156863,0.2948837209302326
0.78,0.325,4719,3578,0.7582114854842128,1497,0.3172282263191354,0.7442799461641992,0.2975285171102662
0.78,0.35,4385,3331,0.7596351197263398,1433,0.3267958950969213,0.748898678414097,0.3029381965552178
0.78,0.375,3671,2782,0.7578316535004086,1269,0.3456823753745573,0.7359154929577465,0.3317365269461078
0.78,0.4,2696,2042,0.7574183976261127,985,0.3653560830860534,0.7246376811594203,0.34065934065934067
0.78,0.425,1780,1333,0.748876404494382,686,0.3853932584269663,0.6906474820143885,0.3345323741007194
0.78,0.45,1060,800,0.7547169811320755,449,0.4235849056603774,0.7142857142857143,0.38509316770186336
0.78,0.475,540,398,0.737037037037037,230,0.42592592592592593,0.6891891891891891,0.3783783783783784
0.78,0.5,251,185,0.7370517928286853,115,0.4581673306772908,0.6590909090909091,0.38636363636363635
0.79,0.3,4614,3507,0.7600780234070221,1457,0.31577806675335934,0.7479338842975206,0.29474708171206226
0.79,0.325,4507,3426,0.7601508764144664,1440,0.3195029953405813,0.7475177304964539,0.29721669980119286
0.79,0.35,4186,3190,0.7620640229335881,1378,0.32919254658385094,0.7542503863987635,0.3028692879914984
0.79,0.375,3514,2668,0.7592487194080819,1223,0.34803642572566873,0.7393715341959335,0.33081761006289306
0.79,0.4,2589,1964,0.7585940517574353,952,0.36770954036307457,0.7311557788944724,0.3388704318936877
0.79,0.425,1709,1283,0.7507314218841428,659,0.3856056173200702,0.6966292134831461,0.33707865168539325
0.79,0.45,1017,770,0.7571288102261554,433,0.4257620452310718,0.7161290322580646,0.38064516129032255
0.79,0.475,511,381,0.7455968688845401,219,0.42857142857142855,0.7,0.38571428571428573
0.79,0.5,238,178,0.7478991596638656,111,0.46638655462184875,0.7073170731707317,0.4146341463414634
0.8,0.3,4394,3343,0.7608101957214384,1392,0.31679563040509784,0.746031746031746,0.2936991869918699
0.8,0.325,4294,3267,0.7608290638099674,1376,0.32044713553795995,0.7459138187221397,0.29595015576323985
0.8,0.35,3985,3041,0.7631116687578419,1317,0.33048933500627353,0.7540453074433657,0.3014460511679644
0.8,0.375,3344,2544,0.7607655502392344,1172,0.35047846889952156,0.7413127413127413,0.33157894736842103
0.8,0.4,2465,1872,0.7594320486815416,912,0.36997971602434077,0.7382198952879581,0.3397212543554007
0.8,0.425,1632,1229,0.7530637254901961,632,0.3872549019607843,0.7019607843137254,0.3411764705882353
0.8,0.45,972,740,0.7613168724279835,417,0.42901234567901236,0.7133333333333334,0.38
0.8,0.475,484,362,0.7479338842975206,208,0.4297520661157025,0.6956521739130435,0.391304347826087
0.8,0.5,225,168,0.7466666666666667,104,0.4622222222222222,0.7105263157894737,0.42105263157894735
0.81,0.3,4174,3183,0.7625778629611883,1328,0.31816003833253476,0.746969696969697,0.291932059447983
0.81,0.325,4078,3110,0.7626287395782246,1314,0.32221677292790585,0.7472698907956318,0.2950108459869848
0.81,0.35,3776,2888,0.7648305084745762,1256,0.3326271186440678,0.7546848381601363,0.3006993006993007
0.81,0.375,3168,2418,0.7632575757575758,1116,0.3522727272727273,0.7393075356415478,0.330567081604426
0.81,0.4,2335,1781,0.7627408993576017,864,0.3700214132762313,0.7374301675977654,0.33697632058287796
0.81,0.425,1543,1167,0.7563188593648736,599,0.3882047958522359,0.6970954356846473,0.34024896265560167
0.81,0.45,924,707,0.7651515151515151,395,0.4274891774891775,0.7062937062937062,0.3776223776223776
0.81,0.475,452,342,0.7566371681415929,194,0.42920353982300885,0.6875,0.390625
0.81,0.5,208,156,0.75,95,0.4567307692307692,0.6875,0.43243243243243246
0.82,0.3,3954,3024,0.7647951441578149,1265,0.3199291856348002,0.7472353870458136,0.290788013318535
0.82,0.325,3866,2958,0.7651319192964304,1253,0.3241076047594413,0.7479674796747967,0.2944507361268403
0.82,0.35,3587,2752,0.7672149428491776,1197,0.33370504599944245,0.7575221238938054,0.3
0.82,0.375,3012,2309,0.7666002656042497,1065,0.35358565737051795,0.7441860465116279,0.33043478260869563
0.82,0.4,2223,1700,0.7647323436797121,823,0.3702204228520018,0.7420289855072464,0.33396946564885494
0.82,0.425,1463,1110,0.758714969241285,566,0.3868762816131237,0.7012987012987013,0.33766233766233766
0.82,0.45,879,674,0.7667804323094426,376,0.42775881683731515,0.7132352941176471,0.375
0.82,0.475,432,327,0.7569444444444444,188,0.4351851851851852,0.7096774193548387,0.4032258064516129
0.83,0.3,3737,2875,0.7693336901257694,1209,0.3235215413433235,0.7433774834437086,0.2903981264637002
