races,top1,top2,top3,top4,top6,top10,top20,second_top1,second_top2,third_top1,third_top2,family,l2,scope,objective,avg_features
54,14.814814814814813,25.925925925925924,29.629629629629626,44.44444444444444,51.85185185185185,68.51851851851852,100.0,35.18518518518518,57.407407407407405,35.18518518518518,57.407407407407405,PLAYER_START,1.0,TUNE,39.62962962962963,25.0
87,19.54022988505747,31.03448275862069,34.48275862068966,39.08045977011494,51.724137931034484,71.26436781609196,100.0,41.37931034482759,62.06896551724138,26.436781609195403,47.12643678160919,PLAYER_START,1.0,HOLD,40.57471264367817,25.0
54,14.814814814814813,25.925925925925924,29.629629629629626,40.74074074074074,53.70370370370371,68.51851851851852,100.0,35.18518518518518,57.407407407407405,33.33333333333333,57.407407407407405,PLAYER_START,3.0,TUNE,38.7962962962963,25.0
87,19.54022988505747,31.03448275862069,34.48275862068966,40.229885057471265,50.57471264367817,71.26436781609196,100.0,41.37931034482759,60.91954022988506,26.436781609195403,45.97701149425287,PLAYER_START,3.0,HOLD,40.74712643678161,25.0
54,14.814814814814813,25.925925925925924,29.629629629629626,40.74074074074074,48.148148148148145,70.37037037037037,100.0,37.03703703703704,61.111111111111114,29.629629629629626,53.70370370370371,PLAYER_START,10.0,TUNE,38.148148148148145,25.0
87,19.54022988505747,31.03448275862069,35.63218390804598,41.37931034482759,50.57471264367817,73.5632183908046,100.0,41.37931034482759,60.91954022988506,26.436781609195403,44.827586206896555,PLAYER_START,10.0,HOLD,41.32183908045977,25.0
54,11.11111111111111,20.37037037037037,27.77777777777778,37.03703703703704,50.0,64.81481481481481,100.0,27.77777777777778,53.70370370370371,37.03703703703704,48.148148148148145,RICH,0.3,TUNE,34.25925925925926,39.0
87,17.24137931034483,27.586206896551722,31.03448275862069,37.93103448275862,44.827586206896555,71.26436781609196,100.0,39.08045977011494,62.06896551724138,26.436781609195403,45.97701149425287,RICH,0.3,HOLD,37.64367816091954,39.0
54,12.962962962962962,20.37037037037037,24.074074074074073,40.74074074074074,50.0,66.66666666666666,100.0,29.629629629629626,55.55555555555556,37.03703703703704,48.148148148148145,RICH,1.0,TUNE,35.55555555555555,39.0
87,18.39080459770115,28.735632183908045,32.18390804597701,37.93103448275862,44.827586206896555,68.96551724137932,100.0,40.229885057471265,62.06896551724138,28.735632183908045,44.827586206896555,RICH,1.0,HOLD,37.93103448275862,39.0
54,14.814814814814813,20.37037037037037,25.925925925925924,35.18518518518518,48.148148148148145,68.51851851851852,100.0,31.48148148148148,57.407407407407405,33.33333333333333,50.0,RICH,3.0,TUNE,33.7962962962963,39.0
87,18.39080459770115,28.735632183908045,32.18390804597701,39.08045977011494,45.97701149425287,68.96551724137932,100.0,42.5287356321839,62.06896551724138,27.586206896551722,44.827586206896555,RICH,3.0,HOLD,38.44827586206897,39.0
54,14.814814814814813,18.51851851851852,27.77777777777778,33.33333333333333,51.85185185185185,68.51851851851852,100.0,31.48148148148148,55.55555555555556,31.48148148148148,46.2962962962963,RICH,10.0,TUNE,32.96296296296296,39.0
87,18.39080459770115,27.586206896551722,33.33333333333333,42.5287356321839,49.42528735632184,72.41379310344827,100.0,41.37931034482759,60.91954022988506,27.586206896551722,47.12643678160919,RICH,10.0,HOLD,39.82758620689655,39.0
54,11.11111111111111,12.962962962962962,20.37037037037037,25.925925925925924,40.74074074074074,61.111111111111114,100.0,27.77777777777778,50.0,33.33333333333333,46.2962962962963,PLAYER_REL,0.3,TUNE,25.833333333333332,100.0
87,16.091954022988507,25.287356321839084,28.735632183908045,35.63218390804598,42.5287356321839,65.51724137931035,100.0,34.48275862068966,59.77011494252874,25.287356321839084,45.97701149425287,PLAYER_REL,0.3,HOLD,35.0,100.0
54,11.11111111111111,14.814814814814813,20.37037037037037,31.48148148148148,42.592592592592595,62.96296296296296,100.0,27.77777777777778,48.148148148148145,31.48148148148148,48.148148148148145,PLAYER_REL,1.0,TUNE,28.796296296296298,100.0
87,18.39080459770115,28.735632183908045,28.735632183908045,36.7816091954023,47.12643678160919,66.66666666666666,100.0,40.229885057471265,59.77011494252874,24.137931034482758,45.97701149425287,PLAYER_REL,1.0,HOLD,37.701149425287355,100.0
54,11.11111111111111,20.37037037037037,27.77777777777778,33.33333333333333,44.44444444444444,64.81481481481481,100.0,29.629629629629626,57.407407407407405,29.629629629629626,50.0,PLAYER_REL,3.0,TUNE,32.31481481481481,100.0
87,19.54022988505747,29.88505747126437,33.33333333333333,37.93103448275862,47.12643678160919,65.51724137931035,100.0,40.229885057471265,59.77011494252874,28.735632183908045,41.37931034482759,PLAYER_REL,3.0,HOLD,38.44827586206897,100.0
54,12.962962962962962,22.22222222222222,27.77777777777778,33.33333333333333,48.148148148148145,66.66666666666666,100.0,31.48148148148148,53.70370370370371,31.48148148148148,50.0,PLAYER_REL,10.0,TUNE,33.888888888888886,100.0
87,21.839080459770116,29.88505747126437,34.48275862068966,40.229885057471265,49.42528735632184,65.51724137931035,100.0,43.67816091954023,62.06896551724138,29.88505747126437,43.67816091954023,PLAYER_REL,10.0,HOLD,39.482758620689665,100.0
54,11.11111111111111,16.666666666666664,20.37037037037037,25.925925925925924,33.33333333333333,51.85185185185185,100.0,31.48148148148148,53.70370370370371,27.77777777777778,46.2962962962963,RICH_REL,0.3,TUNE,25.462962962962962,117.0
87,12.643678160919542,20.689655172413794,29.88505747126437,35.63218390804598,42.5287356321839,63.2183908045977,100.0,36.7816091954023,62.06896551724138,19.54022988505747,43.67816091954023,RICH_REL,0.3,HOLD,32.701149425287355,117.0
54,9.25925925925926,14.814814814814813,16.666666666666664,24.074074074074073,33.33333333333333,55.55555555555556,100.0,24.074074074074073,50.0,25.925925925925924,40.74074074074074,RICH_REL,1.0,TUNE,24.444444444444443,117.0
87,12.643678160919542,24.137931034482758,28.735632183908045,35.63218390804598,44.827586206896555,65.51724137931035,100.0,36.7816091954023,64.36781609195403,19.54022988505747,43.67816091954023,RICH_REL,1.0,HOLD,34.827586206896555,117.0
54,7.4074074074074066,12.962962962962962,20.37037037037037,27.77777777777778,38.88888888888889,59.25925925925925,100.0,29.629629629629626,57.407407407407405,22.22222222222222,44.44444444444444,RICH_REL,3.0,TUNE,25.925925925925924,117.0
87,14.942528735632186,24.137931034482758,31.03448275862069,37.93103448275862,47.12643678160919,70.11494252873564,100.0,41.37931034482759,64.36781609195403,20.689655172413794,44.827586206896555,RICH_REL,3.0,HOLD,36.32183908045977,117.0
54,7.4074074074074066,11.11111111111111,20.37037037037037,25.925925925925924,48.148148148148145,66.66666666666666,100.0,27.77777777777778,55.55555555555556,27.77777777777778,42.592592592592595,RICH_REL,10.0,TUNE,26.666666666666664,117.0
87,17.24137931034483,29.88505747126437,35.63218390804598,40.229885057471265,47.12643678160919,67.81609195402298,100.0,41.37931034482759,64.36781609195403,22.988505747126435,45.97701149425287,RICH_REL,10.0,HOLD,39.367816091954026,117.0
