race_code,venue,venue_name,race,boat1_name,p109,grade,top7,entry_course,winner,head_hit,actual_combo,payout100,ticket7_hit,invest7,return7
202609041111,11,びわこ,11,松田 淳平,0.7163771551053891,A,1-2-4;1-4-2;1-4-6;1-4-3;1-6-4;1-2-6;1-3-4,1,4,0,4-6-2,27880,0,700,0
202609041112,11,びわこ,12,廣瀬 凜,0.6576783558923075,A,1-3-4;1-4-3;1-2-4;1-4-2;1-2-3;1-3-2;1-4-6,1,1,1,1-2-4,1380,1,700,1380
202609041201,12,住之江,01,小野 京平,0.30647980972605704,B,1-3-4;1-4-3;1-3-5;1-3-2;1-4-5;1-2-3;1-4-2,1,4,0,4-3-2,4820,0,700,0
202609041202,12,住之江,02,滝沢 織寧,0.3148720047889935,B,1-2-5;1-5-2;1-5-3;1-2-3;1-3-5;1-3-2;1-5-4,1,3,0,3-2-5,1360,0,700,0
202609041203,12,住之江,03,松下 知幸,0.36871116574913004,B,1-3-4;1-3-2;1-4-3;1-2-3;1-3-5;1-2-4;1-4-2,1,4,0,4-3-2,5170,0,700,0
202609041204,12,住之江,04,赤池 修平,0.169635918718906,B,1-2-5;1-5-2;1-5-3;1-2-3;1-3-5;1-3-2;1-5-6,1,2,0,2-1-5,2260,0,700,0
202609041205,12,住之江,05,徳増 秀樹,0.7487938971811569,S,1-2-6;1-6-2;1-2-4;1-6-4;1-4-6;1-4-2;1-2-5,1,1,1,1-3-2,650,0,700,0
202609041206,12,住之江,06,柴田 朋哉,0.6869376514366928,A,1-2-5;1-5-2;1-5-3;1-2-3;1-3-5;1-3-2;1-5-6,1,1,1,1-2-5,730,1,700,730
202609041207,12,住之江,07,南 佑典,0.4066672405909028,B,1-2-6;1-2-3;1-3-2;1-2-4;1-6-2;1-2-5;1-3-6,1,1,1,1-2-3,640,1,700,640
202609041208,12,住之江,08,金子 和之,0.6044026362900227,B,1-2-4;1-4-2;1-2-3;1-2-6;1-3-2;1-4-3;1-2-5,1,2,0,2-4-1,3970,0,700,0
202609041209,12,住之江,09,藤岡 俊介,0.7853659089660372,S,1-3-4;1-4-3;1-3-2;1-2-3;1-2-4;1-4-2;1-3-6,1,1,1,1-3-2,730,1,700,730
202609041210,12,住之江,10,木谷 賢太,0.7761784457997273,S,1-3-6;1-6-3;1-3-5;1-3-4;1-3-2;1-5-3;1-6-5,1,1,1,1-3-6,570,1,700,570
202609041211,12,住之江,11,高倉 和士,0.7875910453989093,S,1-2-4;1-4-2;1-2-5;1-2-3;1-3-2;1-5-2;1-2-6,1,1,1,1-3-2,850,1,700,850
202609041212,12,住之江,12,上田 紗奈,0.7218494128919518,S,1-3-2;1-2-3;1-3-5;1-2-5;1-5-3;1-3-6;1-3-4,1,1,1,1-2-5,1160,1,700,1160
202609041301,13,尼崎,01,北川 敏弘,0.4180383868469876,B,1-3-2;1-2-3;1-3-4;1-3-6;1-4-3;1-2-4;1-3-5,1,3,0,3-1-2,620,0,700,0
202609041302,13,尼崎,02,西川 真人,0.6192491269173989,B,1-2-6;1-2-3;1-2-5;1-6-2;1-3-2;1-3-6;1-5-2,1,1,1,1-5-6,2610,0,700,0
202609041303,13,尼崎,03,國弘 翔平,0.4725678906098854,B,1-3-2;1-2-3;1-3-4;1-4-3;1-2-4;1-3-5;1-4-2,1,2,0,2-1-5,4460,0,700,0
202609041304,13,尼崎,04,小山 勉,0.8459054391715455,S,1-3-5;1-5-3;1-5-6;1-5-4;1-3-6;1-3-4;1-5-2,1,1,1,1-5-3,500,1,700,500
202609041305,13,尼崎,05,渡邉 英児,0.59196228040561,B,1-5-4;1-5-2;1-4-5;1-2-5;1-2-4;1-4-2;1-5-3,1,2,0,2-5-4,22180,0,700,0
202609041306,13,尼崎,06,茶谷 信次,0.39123664918905227,B,1-4-3;1-3-4;1-4-2;1-2-4;1-3-2;1-4-6;1-2-3,1,1,1,1-4-3,640,1,700,640
202609041307,13,尼崎,07,大澤 風葵,0.8855150350754379,S,1-5-4;1-4-5;1-5-3;1-3-5;1-5-2;1-2-5;1-4-3,1,1,1,1-4-2,2800,0,700,0
202609041308,13,尼崎,08,柳沢 一,0.8210214028443241,S,1-2-5;1-2-4;1-2-3;1-5-2;1-4-2;1-3-2;1-2-6,1,2,0,2-1-5,6000,0,700,0
202609041309,13,尼崎,09,栗山 繁洋,0.3002074034106655,B,1-4-6;1-3-6;1-6-4;1-3-4;1-4-3;1-6-3;1-4-2,1,1,1,1-4-6,4590,1,700,4590
202609041310,13,尼崎,10,中野 希一,0.7238226078923312,S,1-2-3;1-3-2;1-2-5;1-2-4;1-5-2;1-2-6;1-3-5,1,1,1,1-2-4,610,1,700,610
202609041311,13,尼崎,11,中 亮太,0.8246138796322632,S,1-2-4;1-4-2;1-2-6;1-2-5;1-2-3;1-6-2;1-4-6,1,1,1,1-2-5,1860,1,700,1860
202609041312,13,尼崎,12,平田 忠則,0.8402445509595986,S,1-2-3;1-3-2;1-2-5;1-2-4;1-5-2;1-3-5;1-5-3,1,1,1,1-3-2,660,1,700,660
202609041701,17,宮島,01,山下 和彦,0.7249576462613304,S,1-2-5;1-2-3;1-5-2;1-2-6;1-3-2;1-2-4;1-6-2,1,1,1,1-2-3,610,1,700,610
202609041702,17,宮島,02,小野 桜,0.36576255061571855,B,1-3-6;1-3-5;1-3-4;1-6-3;1-3-2;1-5-3;1-2-3,1,4,0,4-5-6,7690,0,700,0
202609041703,17,宮島,03,清水 紀克,0.1955403100974915,B,1-3-4;1-3-5;1-4-3;1-3-2;1-2-3;1-5-3;1-3-6,1,3,0,3-2-4,1770,0,700,0
202609041704,17,宮島,04,松井 賢治,0.7066765014756553,A,1-5-6;1-6-5;1-2-6;1-5-4;1-6-4;1-5-2;1-2-5,1,1,1,1-3-4,9230,0,700,0
202609041705,17,宮島,05,向後 龍一,0.7122459211384997,A,1-2-6;1-2-4;1-6-2;1-4-2;1-2-3;1-2-5;1-6-4,1,1,1,1-3-6,1510,0,700,0
202609041706,17,宮島,06,山本 光雄,0.38189730123346555,B,1-2-4;1-4-2;1-2-6;1-2-3;1-3-2;1-6-2;1-2-5,1,4,0,4-2-1,4040,0,700,0
202609041707,17,宮島,07,栗原 一馬,0.26555236458086623,B,1-3-2;1-2-3;1-3-6;1-3-4;1-2-6;1-2-4;1-3-5,1,1,1,1-2-5,10880,0,700,0
202609041708,17,宮島,08,野長瀬 正孝,0.6623336463847087,A,1-6-5;1-5-6;1-6-4;1-6-2;1-2-6;1-5-4;1-5-2,1,6,0,6-2-4,1900,0,700,0
202609041709,17,宮島,09,越智 照浩,0.532157303542707,B,1-3-5;1-3-4;1-5-3;1-4-3;1-3-2;1-3-6;1-4-5,1,2,0,2-4-5,21790,0,700,0
202609041710,17,宮島,10,江藤 敦宏,0.2562635385120912,B,1-3-5;1-5-3;1-2-5;1-3-2;1-2-3;1-5-2;1-3-6,1,4,0,4-3-6,20430,0,700,0
202609041711,17,宮島,11,大平 誉史明,0.620009519107423,B,1-3-2;1-2-3;1-3-6;1-3-4;1-2-6;1-2-4;1-6-3,1,3,0,3-1-2,2680,0,700,0
202609041712,17,宮島,12,前田 滉,0.855309695405074,S,1-4-6;1-3-4;1-3-6;1-4-3;1-6-4;1-4-5;1-5-4,1,1,1,1-3-6,2120,1,700,2120
202609041801,18,徳山,01,坂元 浩仁,0.8530542611139935,S,1-3-5;1-5-3;1-3-2;1-5-2;1-2-5;1-3-6;1-2-3,1,1,1,1-2-3,520,1,700,520
202609041802,18,徳山,02,藤山 雅弘,0.5281206978218314,B,1-3-6;1-6-3;1-3-4;1-6-4;1-4-3;1-4-6;1-3-2,1,1,1,1-2-6,2180,0,700,0
202609041803,18,徳山,03,柘植 政浩,0.7108423829377137,A,1-4-6;1-6-4;1-2-4;1-2-6;1-4-2;1-4-5;1-5-4,1,6,0,6-1-4,6630,0,700,0
202609041804,18,徳山,04,吉村 誠,0.711147159624243,A,1-3-5;1-3-4;1-5-3;1-4-3;1-3-2;1-3-6;1-2-3,1,5,0,5-2-1,35950,0,700,0
202609041805,18,徳山,05,島川 光男,0.7768104738171717,S,1-3-6;1-6-3;1-3-5;1-3-2;1-5-3;1-5-6;1-6-5,1,1,1,1-3-5,530,1,700,530
202609041806,18,徳山,06,池田 雷太,0.4214092844823672,B,1-2-6;1-6-5;1-5-6;1-6-2;1-2-5;1-5-2;1-6-3,1,1,1,1-2-5,1090,1,700,1090
202609041807,18,徳山,07,山田 真聖,0.5510486017277763,B,1-4-5;1-4-3;1-5-4;1-4-6;1-3-4;1-4-2;1-2-4,1,4,0,4-3-6,7620,0,700,0
202609041808,18,徳山,08,藤田 浩人,0.5617274451423383,B,1-3-6;1-6-3;1-3-5;1-3-4;1-6-5;1-3-2;1-6-4,1,2,0,2-1-3,6240,0,700,0
202609041809,18,徳山,09,江本 真治,0.7295616795368586,S,1-3-6;1-6-3;1-3-5;1-3-2;1-6-5;1-6-2;1-5-6,1,1,1,1-3-2,870,1,700,870
202609041810,18,徳山,10,里岡 右貴,0.8181092929297614,S,1-2-6;1-2-4;1-2-3;1-4-2;1-6-2;1-3-2;1-2-5,1,1,1,1-3-4,1140,0,700,0
202609041811,18,徳山,11,山口 晃朋,0.8173819695972163,S,1-4-5;1-5-4;1-3-5;1-5-3;1-3-4;1-4-3;1-2-5,1,2,0,2-1-5,19450,0,700,0
202609041812,18,徳山,12,安河内 将,0.8199634940892232,S,1-2-3;1-3-2;1-2-4;1-4-2;1-2-6;1-3-4;1-2-5,1,1,1,1-4-2,1310,1,700,1310
202609042001,20,若松,01,宮武 英司,0.5702747034354545,B,1-2-5;1-2-3;1-3-2;1-5-2;1-2-6;1-3-5;1-2-4,1,1,1,1-5-3,1560,0,700,0
202609042002,20,若松,02,中嶋 誠一郎,0.5777634781855211,B,1-3-6;1-4-6;1-6-4;1-3-4;1-6-3;1-4-3;1-2-6,1,4,0,4-3-5,15600,0,700,0
202609042003,20,若松,03,桑原 啓,0.5397861426919806,B,1-4-6;1-6-4;1-4-3;1-3-6;1-6-3;1-3-4;1-4-2,1,4,0,4-1-6,2390,0,700,0
202609042004,20,若松,04,仲口 博崇,0.6844863232392814,A,1-4-6;1-4-2;1-2-4;1-6-4;1-4-3;1-2-6;1-3-4,1,4,0,4-1-6,1860,0,700,0
202609042005,20,若松,05,服部 幸男,0.4396096117328302,B,1-4-2;1-2-4;1-4-5;1-4-3;1-2-5;1-2-3;1-5-4,1,2,0,2-1-4,2200,0,700,0
202609042006,20,若松,06,鈴木 博,0.6292665410445321,B,1-3-6;1-6-3;1-6-4;1-3-4;1-6-2;1-4-6;1-3-2,1,1,1,1-3-6,1360,1,700,1360
202609042007,20,若松,07,浅見 昌克,0.45500217723124764,B,1-4-5;1-4-3;1-5-4;1-3-4;1-4-2;1-4-6;1-5-3,1,5,0,5-4-1,7660,0,700,0
