feature,auc_oriented,direction,n,top10_n,top10_head_rate,overall_head_rate,lift_pt
rel_pl_frame_win_4v3,0.5272522841282572,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b5_vh_p1_straight,0.527181519397399,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b4_gh_p2_overall,0.5268984604739665,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_gh_p1_display,0.5266389897941532,low,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
rel_st_raw_strength_4v6,0.526560362315422,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b2_gh_p1_overall,0.5261908131653851,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
st_raw_b5,0.5260161980440098,high,537,53,0.2830188679245283,0.2383612662942272,4.465760163030111
opp_motor_b2_v93,0.5258998914940793,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
rel_vh_p12_turn_4v1,0.5257347737887438,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
st_corr_rank_b3,0.5254202638738186,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b6_gh_p2_straight,0.52537308738658,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b2_gh_p1_straight,0.5253494991429604,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b4_vh_delta_overall,0.5250821657152742,low,592,59,0.1864406779661017,0.23817567567567569,-5.173499770957399
b5_gh_p1_turn,0.525011400984416,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_vh_delta_overall,0.5249484990014309,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b3_gh_delta_display,0.5246890283216179,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
b4_vh_p2_turn,0.5246733028258717,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b5_pl_frame_races,0.5245946753471402,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b3_vh_delta_display,0.5242408516928496,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
opp_national_b2_v93,0.5241858124577378,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
rel_st_raw_4v6,0.5240229576167077,low,535,53,0.24528301886792453,0.23925233644859814,0.6030682419326389
b3_pl_frame_win,0.5238713025428127,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
rel_vh_delta_overall_4v1,0.5236354201066189,high,592,59,0.15254237288135594,0.23817567567567569,-8.563330279431975
b2_vh_p1_overall,0.5236275573587457,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b6_vh_p1_turn,0.5233130474438206,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b2_gh_delta_turn,0.5230299885203881,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b6_gh_delta_turn,0.5229906747810223,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
st_bias2_v90,0.5229434982937836,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
rel_st_raw_rank_4v6,0.5229356355459106,low,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
opp_nst_b6_v93,0.5225896746394931,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b2_vh_delta_turn,0.5223537922032992,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b5_gh_p12_overall,0.5215832429117327,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
st_corr_strength_b4,0.5215046154330015,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
v91_st_corr,0.5215046154330015,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b5_vh_p2_straight,0.521276595744681,low,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b4_pl_frame_p2,0.5212608702489345,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_pl_frame_p2_4v6,0.5212608702489345,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b6_vh_p1_straight,0.521229419257442,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_gh_delta_overall,0.5208677328552783,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
rel_st_raw_rank_4v2,0.5208598701074052,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b2_vh_p1_display,0.5206239876712113,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b5_vh_p1_display,0.5204352817222562,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b4_gh_delta_overall,0.5198691638753912,low,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b3_vh_p1_straight,0.5198062618924062,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b4_vh_p1_overall,0.5197512226572942,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b3_gh_delta_turn,0.5197040461700555,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b1_gh_p12_straight,0.519483889229608,low,592,59,0.1694915254237288,0.23817567567567569,-6.868415025194688
b6_gh_p12_overall,0.5193895362551304,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
rel_vh_delta_straight_4v2,0.519365948011511,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b6_gh_p2_turn,0.5192086930540485,high,592,59,0.1864406779661017,0.23817567567567569,-5.173499770957399
b5_gh_p2_straight,0.5189728106178547,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b4_vh_p12_turn,0.5188941831391235,high,592,59,0.1864406779661017,0.23817567567567569,-5.173499770957399
rel_st_raw_4v5,0.518872249388753,low,537,53,0.20754716981132076,0.2383612662942272,-3.0814096482906423
b5_gh_p1_straight,0.518807692912519,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
rel_st_corr_rank_4v5,0.5186425752071835,low,592,59,0.15254237288135594,0.23817567567567569,-8.563330279431975
st_corr_rank_b4,0.5183831045273702,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b2_vh_p12_display,0.5183437907880046,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_st_raw_strength_4v2,0.5179821043858408,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b5_gh_p12_turn,0.5179034769071096,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b6_pl_all_p2,0.5178327121762514,high,592,59,0.2033898305084746,0.23817567567567569,-3.4785845167201095
b2_gh_p2_straight,0.5176675944709157,high,592,59,0.1864406779661017,0.23817567567567569,-5.173499770957399
