scope,family,param,floor,R,added_R,head4_wins,hits,return_yen,profit_yen,roi_pct,base_R,base_roi_pct,rescue_roi_pct,min_month_roi_pct,min_added_per_month
S+A,FIXED,4,14.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,14.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,15.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,5.0,41,13,20,11,974300.0,564300.0,237.6341463414634,28,310.98214285714283,79.65384615384616,140.83076923076922,2
S+A,FIXED,5,5.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,6.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,6.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,7.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,7.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,8.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,8.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,9.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,9.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,10.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,10.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,11.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,11.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,12.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,12.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,13.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,13.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,14.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,14.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,5,15.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,5.0,29,1,18,9,870750.0,580750.0,300.2586206896552,28,310.98214285714283,0.0,166.4625,0
S+A,FIXED,6,5.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,6.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,6.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,7.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,7.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,8.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,8.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,9.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,9.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,10.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,10.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,11.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,11.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,12.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,12.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,13.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,13.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,14.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,14.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,6,15.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,5.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,5.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,6.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,6.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,7.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,7.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,8.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,8.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,9.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,9.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,10.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,10.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,11.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,11.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,12.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,12.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,13.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,13.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,14.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,14.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,7,15.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,5.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,5.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,6.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,6.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,7.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,7.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,8.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,8.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,9.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,9.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,10.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,10.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,11.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,11.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,12.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,12.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,13.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,8,13.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
