date,head,head_hit,month,period,score
2026-06-11,3,1,2026-06,calibration,77.05499999999999
2026-06-11,3,0,2026-06,calibration,32.993
2026-06-11,3,0,2026-06,calibration,18.462666666666667
2026-06-11,3,0,2026-06,calibration,57.74933333333335
2026-06-11,3,1,2026-06,calibration,41.105000000000004
2026-06-11,3,0,2026-06,calibration,39.467
2026-06-11,3,0,2026-06,calibration,29.343000000000004
2026-06-11,3,0,2026-06,calibration,61.90599999999999
2026-06-11,3,0,2026-06,calibration,72.27499999999999
2026-06-11,3,0,2026-06,calibration,72.25500000000001
2026-06-11,3,0,2026-06,calibration,47.79
2026-06-12,3,1,2026-06,calibration,78.77
2026-06-12,3,0,2026-06,calibration,45.095000000000006
2026-06-12,3,0,2026-06,calibration,58.61200000000001
2026-06-12,3,1,2026-06,calibration,67.048
2026-06-12,3,0,2026-06,calibration,87.772
2026-06-12,3,0,2026-06,calibration,20.375000000000004
2026-06-12,3,0,2026-06,calibration,39.418000000000006
2026-06-12,3,0,2026-06,calibration,49.364999999999995
2026-06-12,3,1,2026-06,calibration,73.03966666666668
2026-06-12,3,0,2026-06,calibration,67.579
2026-06-12,3,1,2026-06,calibration,84.68499999999999
2026-06-12,3,1,2026-06,calibration,55.38
2026-06-12,3,0,2026-06,calibration,70.91266666666668
2026-06-12,3,0,2026-06,calibration,53.29
2026-06-12,3,0,2026-06,calibration,53.318000000000005
2026-06-12,3,0,2026-06,calibration,51.77333333333333
2026-06-12,3,1,2026-06,calibration,78.97433333333335
2026-06-12,3,0,2026-06,calibration,79.88100000000001
2026-06-12,3,0,2026-06,calibration,67.54299999999999
2026-06-12,3,1,2026-06,calibration,35.92800000000001
2026-06-12,3,0,2026-06,calibration,56.881
2026-06-12,3,0,2026-06,calibration,65.815
2026-06-12,3,0,2026-06,calibration,56.858000000000004
2026-06-13,3,0,2026-06,calibration,65.191
2026-06-13,3,0,2026-06,calibration,51.07000000000001
2026-06-13,3,0,2026-06,calibration,61.68
2026-06-13,3,0,2026-06,calibration,27.570000000000004
2026-06-13,3,0,2026-06,calibration,38.748000000000005
2026-06-13,3,0,2026-06,calibration,42.434999999999995
2026-06-13,3,0,2026-06,calibration,86.83
2026-06-13,3,0,2026-06,calibration,63.736999999999995
2026-06-13,3,0,2026-06,calibration,66.938
2026-06-13,3,0,2026-06,calibration,47.483
2026-06-13,3,1,2026-06,calibration,51.84900000000001
2026-06-13,3,0,2026-06,calibration,25.78933333333333
2026-06-13,3,0,2026-06,calibration,44.94733333333333
2026-06-13,3,0,2026-06,calibration,71.63000000000001
2026-06-13,3,1,2026-06,calibration,64.67833333333334
2026-06-13,3,0,2026-06,calibration,52.193999999999996
2026-06-13,3,0,2026-06,calibration,62.22300000000001
2026-06-13,3,0,2026-06,calibration,44.98
2026-06-13,3,0,2026-06,calibration,78.96999999999998
2026-06-13,3,0,2026-06,calibration,73.95
2026-06-13,3,0,2026-06,calibration,62.10200000000001
2026-06-13,3,0,2026-06,calibration,80.241
2026-06-13,3,0,2026-06,calibration,54.356
2026-06-13,3,0,2026-06,calibration,34.597
2026-06-14,3,1,2026-06,calibration,66.75999999999999
2026-06-14,3,0,2026-06,calibration,63.565999999999995
2026-06-14,3,0,2026-06,calibration,79.05499999999999
2026-06-14,3,0,2026-06,calibration,38.342000000000006
2026-06-14,3,0,2026-06,calibration,53.99600000000001
2026-06-14,3,0,2026-06,calibration,49.14500000000001
2026-06-14,3,0,2026-06,calibration,31.977000000000015
2026-06-14,3,0,2026-06,calibration,80.90700000000001
2026-06-14,3,0,2026-06,calibration,54.751000000000005
2026-06-14,3,0,2026-06,calibration,54.273
2026-06-14,3,0,2026-06,calibration,57.71000000000001
2026-06-14,3,0,2026-06,calibration,60.156
2026-06-14,3,0,2026-06,calibration,64.89633333333333
2026-06-14,3,0,2026-06,calibration,80.523
2026-06-14,3,0,2026-06,calibration,73.89633333333336
2026-06-14,3,1,2026-06,calibration,47.451
2026-06-14,3,0,2026-06,calibration,62.507
2026-06-14,3,0,2026-06,calibration,12.808666666666664
2026-06-14,3,1,2026-06,calibration,48.68400000000001
2026-06-14,3,0,2026-06,calibration,81.01299999999999
2026-06-14,3,0,2026-06,calibration,45.109
2026-06-14,3,0,2026-06,calibration,59.91000000000001
2026-06-14,3,0,2026-06,calibration,61.31000000000001
2026-06-14,3,0,2026-06,calibration,60.25000000000001
2026-06-14,3,1,2026-06,calibration,74.846
2026-06-15,3,0,2026-06,calibration,26.365333333333336
2026-06-15,3,0,2026-06,calibration,81.026
2026-06-15,3,0,2026-06,calibration,47.01300000000001
2026-06-15,3,0,2026-06,calibration,32.78300000000001
2026-06-15,3,1,2026-06,calibration,81.06833333333334
2026-06-15,3,0,2026-06,calibration,49.60233333333334
2026-06-15,3,0,2026-06,calibration,81.74999999999999
2026-06-15,3,1,2026-06,calibration,82.34000000000002
2026-06-15,3,0,2026-06,calibration,47.10866666666668
2026-06-15,3,0,2026-06,calibration,68.90800000000002
2026-06-15,3,0,2026-06,calibration,69.11966666666667
2026-06-15,3,0,2026-06,calibration,69.42000000000002
2026-06-15,3,1,2026-06,calibration,81.162
2026-06-15,3,0,2026-06,calibration,56.18400000000001
2026-06-15,3,1,2026-06,calibration,70.15166666666667
2026-06-15,3,0,2026-06,calibration,78.90433333333335
2026-06-15,3,0,2026-06,calibration,63.51900000000001
2026-06-15,3,1,2026-06,calibration,73.433
2026-06-15,3,0,2026-06,calibration,58.18300000000001
2026-06-15,3,0,2026-06,calibration,51.454
2026-06-15,3,0,2026-06,calibration,16.222
2026-06-15,3,1,2026-06,calibration,50.678
2026-06-15,3,0,2026-06,calibration,46.099000000000004
2026-06-15,3,0,2026-06,calibration,29.189
2026-06-15,3,0,2026-06,calibration,31.823999999999995
2026-06-15,3,0,2026-06,calibration,41.17
2026-06-15,3,0,2026-06,calibration,25.949999999999996
2026-06-16,3,1,2026-06,calibration,65.923
2026-06-16,3,0,2026-06,calibration,56.246
2026-06-16,3,0,2026-06,calibration,37.532666666666664
2026-06-16,3,1,2026-06,calibration,66.13
2026-06-16,3,0,2026-06,calibration,83.39933333333333
2026-06-16,3,0,2026-06,calibration,62.529999999999994
2026-06-16,3,0,2026-06,calibration,40.335
