grade,group,value_lambda,tickets_n,races,role_hit_rate_pct,hybrid_hit_rate_pct,hit_diff_pt,role_comp_rate_pct,hybrid_comp_rate_pct,comp_reduction_pt,role_roi_pct,hybrid_roi_pct,odds_races
S,3HEAD,0.05,1,105,12.380952380952381,12.380952380952381,0.0,10.215609336432507,10.215609336432507,0.0,188.57142857142858,188.57142857142858,104
S,3HEAD,0.05,2,105,12.380952380952381,12.380952380952381,0.0,17.938695937189063,17.938695937189063,0.0,94.28571428571429,94.28571428571429,104
S,3HEAD,0.05,3,105,16.19047619047619,16.19047619047619,0.0,25.00706075727444,25.00706075727444,0.0,79.65079365079364,79.65079365079364,104
S,3HEAD,0.05,4,105,18.095238095238095,18.095238095238095,0.0,32.278291441533234,32.278291441533234,0.0,65.38095238095238,65.38095238095238,104
S,3HEAD,0.05,5,105,22.857142857142858,22.857142857142858,0.0,37.8855568257543,37.8855568257543,0.0,79.25714285714285,79.25714285714285,104
S,3HEAD,0.05,6,105,24.761904761904763,24.761904761904763,0.0,42.48424239023447,42.48424239023447,0.0,74.88888888888889,74.88888888888889,104
S,3HEAD,0.05,7,105,28.571428571428573,28.571428571428573,0.0,47.09877056541396,47.09877056541396,0.0,75.60544217687075,75.60544217687075,104
S,3HEAD,0.05,8,105,33.333333333333336,33.333333333333336,0.0,51.78365112529478,51.75083604233169,0.03281508296308999,88.60714285714286,88.60714285714286,104
S,3HEAD,0.05,9,105,36.19047619047619,36.19047619047619,0.0,56.48286551377628,56.48286551377628,0.0,100.55026455026454,100.55026455026454,104
S,3HEAD,0.05,10,105,36.19047619047619,36.19047619047619,0.0,64.1213555516129,64.1213555516129,0.0,90.4952380952381,90.4952380952381,104
S,3HEAD,0.05,11,105,37.142857142857146,37.142857142857146,0.0,68.92529858939407,68.92529858939407,0.0,85.35930735930737,85.35930735930737,104
S,3HEAD,0.05,12,105,40.0,40.0,0.0,72.97092537892117,72.97092537892117,0.0,92.27777777777777,92.27777777777777,104
S,3HEAD,0.05,13,105,40.0,40.0,0.0,76.81744620918867,76.81744620918867,0.0,85.17948717948718,85.17948717948718,104
S,3HEAD,0.05,14,105,42.857142857142854,42.857142857142854,0.0,79.67305328559658,79.67305328559658,0.0,91.53061224489795,91.53061224489795,104
S,3HEAD,0.05,15,105,43.80952380952381,43.80952380952381,0.0,81.82387305328541,81.82387305328541,0.0,86.6984126984127,86.6984126984127,104
S,3HEAD,0.05,16,105,45.714285714285715,45.714285714285715,0.0,85.7688391162722,85.7688391162722,0.0,86.88095238095238,86.88095238095238,104
S,3HEAD,0.05,17,105,47.61904761904762,47.61904761904762,0.0,88.30464942838422,88.30464942838422,0.0,85.84873949579831,85.84873949579831,104
S,3HEAD,0.05,18,105,49.523809523809526,49.523809523809526,0.0,92.03769674411029,92.03769674411029,0.0,88.06349206349206,88.06349206349206,104
S,3HEAD,0.05,19,105,49.523809523809526,49.523809523809526,0.0,96.20257779185174,96.20257779185174,0.0,83.42857142857143,83.42857142857143,104
S,3HEAD,0.05,20,105,49.523809523809526,49.523809523809526,0.0,99.27630453429104,99.27630453429104,0.0,79.25714285714285,79.25714285714285,104
S,4C,0.15,1,105,6.666666666666667,7.619047619047619,0.9523809523809517,6.509290837413003,5.946448624120107,0.5628422132928961,62.57142857142857,83.33333333333333,103
S,4C,0.15,2,105,8.571428571428571,7.619047619047619,-0.9523809523809526,14.543592217697963,12.890546494917034,1.653045722780929,50.04761904761905,41.666666666666664,103
S,4C,0.15,3,105,11.428571428571429,11.428571428571429,0.0,20.925248234845863,20.478524307001628,0.44672392784423565,49.74603174603175,50.25396825396825,103
S,4C,0.15,4,105,14.285714285714286,13.333333333333334,-0.9523809523809526,26.941703676276717,25.118345739673767,1.8233579366029495,52.714285714285715,46.285714285714285,103
S,4C,0.15,5,105,15.238095238095237,14.285714285714286,-0.9523809523809508,32.20324609983009,30.245519687353813,1.9577264124762763,46.87619047619047,44.4,103
S,4C,0.15,6,105,16.19047619047619,16.19047619047619,0.0,38.08168036720857,35.85456730095721,2.2271130662513627,45.20634920634921,45.20634920634921,103
S,4C,0.15,7,105,16.19047619047619,17.142857142857142,0.9523809523809526,43.288490739002164,41.10354239956576,2.184948339436403,38.74829931972789,44.04081632653061,103
S,4C,0.15,8,105,19.047619047619047,17.142857142857142,-1.904761904761905,47.103664869784446,45.379166892372865,1.7244979774115805,58.392857142857146,38.535714285714285,103
S,4C,0.15,9,105,22.857142857142858,18.095238095238095,-4.761904761904763,50.249875841106345,48.51026476470498,1.739611076401367,65.17460317460318,35.111111111111114,103
S,4C,0.15,10,105,26.666666666666668,23.80952380952381,-2.8571428571428577,55.62257638466146,52.809010931480266,2.813565453181191,81.46666666666667,60.2952380952381,103
