date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,composite_odds_race,tickets_race,hit,payout,actual_combo,stake_v8,return_v8,profit_v8
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-3,67.59,0.189,0.00652,203.7,1.328,0.03449,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-5,67.59,0.189,0.01201,110.6,1.328,0.06352,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-6,67.59,0.189,0.01018,130.5,1.328,0.05384,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-1,67.59,0.189,0.00477,278.4,1.328,0.02524,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-2,67.59,0.189,0.00358,371.2,1.328,0.01893,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-5,67.59,0.189,0.00429,309.3,1.328,0.02271,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-6,67.59,0.189,0.00382,348.0,1.328,0.02019,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-5-1,67.59,0.189,0.01829,72.6,1.328,0.09677,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-5-2,67.59,0.189,0.0144,92.2,1.328,0.0762,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-5-3,67.59,0.189,0.00612,216.9,1.328,0.03239,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-5-6,67.59,0.189,0.01392,95.4,1.328,0.07364,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-6-1,67.59,0.189,0.00572,232.0,1.328,0.03028,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-6-2,67.59,0.189,0.00652,203.7,1.328,0.03449,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-6-3,67.59,0.189,0.00302,439.6,1.328,0.01598,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-6-5,67.59,0.189,0.00739,179.6,1.328,0.03912,100,7.03,20,0,0,4-1-2,200,0,-200
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-2,60.14,0.0633,0.00813,357.8,2.91,0.12848,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-3,60.14,0.0633,0.00749,388.4,2.91,0.11835,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-4,60.14,0.0633,0.00497,585.8,2.91,0.07847,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-6,60.14,0.0633,0.00349,835.0,2.91,0.05505,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-1,60.14,0.0633,0.00477,610.4,2.91,0.07531,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-3,60.14,0.0633,0.00409,712.2,2.91,0.06454,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-4,60.14,0.0633,0.00192,1513.0,2.91,0.03038,100,45.97,20,0,0,1-6-4,300,0,-300
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-6,60.14,0.0633,0.00208,1397.0,2.91,0.03291,100,45.97,20,0,0,1-6-4,300,0,-300
