combo,odds,pair_prob_model,second_prob,third_prob_cond,combo_prob,model_ev,stake,date,race_code,venue,race,score3,composite_odds,actual_combo,hit,payout100,return
3-4-1,14.7,0.14088273263790482,0.47027607919308345,0.2995745241383242,0.023367467630394996,0.34350177416680644,1400,2026-08-18,202608181811,18,11R,71.02,5.02,4-3-1,0,0,0
3-1-4,17.5,0.1324613019256011,0.2617054093802756,0.506146595285411,0.021970649823934978,0.3844863719188621,1300,2026-08-18,202608181811,18,11R,71.02,5.02,4-3-1,0,0,0
3-5-4,52.8,0.06169571972883209,0.12215848285002207,0.5050465451881712,0.010233140049907864,0.5403097946351352,700,2026-08-18,202608181811,18,11R,71.02,5.02,4-3-1,0,0,0
3-1-4,23.5,0.21477422415791478,0.6140896943647299,0.34974406203005365,0.034585789395268074,0.8127660507887997,1100,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-1-5,41.6,0.18880880275977038,0.6140896943647299,0.3074612788529065,0.030404493434094817,1.2648269268583445,1000,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-1-2,31.5,0.14560206210092247,0.6140896943647299,0.23710227257851385,0.023446771953587207,0.7385733165379971,800,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-4-1,55.2,0.09072740850788422,0.18749160294493183,0.4839011832147585,0.014610128637806096,0.8064791008068966,500,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-1-6,132.1,0.06490460534612232,0.6140896943647299,0.10569238653852597,0.010451798953460463,1.3806826417521272,400,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-4-2,75.7,0.043629903907063894,0.18749160294493183,0.23270324228802095,0.007025864829831757,0.531857967618264,300,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-5-1,122.2,0.03732271981847741,0.0852763836094004,0.43766771336634347,0.006010198534584664,0.734446260926246,300,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-2-1,67.0,0.03350529041785215,0.0780208147842209,0.42944040651865034,0.005395465505986902,0.36149618890112245,300,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-4-5,70.3,0.03245389235858338,0.18749160294493183,0.1730951778577274,0.005226155468942016,0.3673987294666237,300,2026-08-19,202608190509,05,09R,69.99,5.73,4-2-5,0,0,0
3-1-2,22.8,0.11504308424131647,0.362516984172601,0.31734536384243545,0.01938449141781567,0.4419664043261973,1600,2026-08-20,202608201301,13,01R,72.04,5.01,3-5-2,0,0,0
3-1-5,13.0,0.11100818904248407,0.362516984172601,0.30621513994950106,0.018704620986060832,0.24316007281879082,1500,2026-08-20,202608201301,13,01R,72.04,5.01,3-5-2,0,0,0
3-1-6,67.8,0.07057604382820633,0.362516984172601,0.1946834132179688,0.011891898803943202,0.806270738907349,1000,2026-08-20,202608201301,13,01R,72.04,5.01,3-5-2,0,0,0
3-1-4,15.6,0.06588966706059413,0.362516984172601,0.18175608299009474,0.011102255247083448,0.17319518185450178,900,2026-08-20,202608201301,13,01R,72.04,5.01,3-5-2,0,0,0
3-1-5,30.5,0.13308507610608422,0.3977628972074343,0.3345839369142568,0.021171539258271387,0.6457319473772772,1400,2026-08-20,202608201504,15,04R,69.55,5.04,1-2-5,0,0,0
3-1-6,12.3,0.10864214115335835,0.3977628972074343,0.27313291892255404,0.01728309006411451,0.21258200778860847,1200,2026-08-20,202608201504,15,04R,69.55,5.04,1-2-5,0,0,0
3-1-4,23.0,0.08756751084847744,0.3977628972074343,0.2201500226975941,0.013930480020162752,0.3204010404637433,900,2026-08-20,202608201504,15,04R,69.55,5.04,1-2-5,0,0,0
3-1-2,49.7,0.0684681690995143,0.3977628972074343,0.1721331214655951,0.010892104302340033,0.5413375838262997,800,2026-08-20,202608201504,15,04R,69.55,5.04,1-2-5,0,0,0
3-4-1,48.3,0.058604526274237,0.19306301506540013,0.303551284819543,0.009322968923565747,0.4502993990082256,700,2026-08-20,202608201504,15,04R,69.55,5.04,1-2-5,0,0,0
3-1-6,8.8,0.1536872285732281,0.47273006189125344,0.3251056807311362,0.025315214895562016,0.22277389108094575,2700,2026-08-21,202608211301,13,01R,70.75,5.07,3-1-2,0,0,0
3-1-5,13.1,0.10467245475506742,0.47273006189125344,0.22142119402414104,0.017241547722411807,0.22586427516359467,1800,2026-08-21,202608211301,13,01R,70.75,5.07,3-1-2,0,0,0
3-2-6,138.3,0.02624474506048242,0.09087886170706566,0.2887882238784901,0.004323009577655221,0.597872224589717,500,2026-08-21,202608211301,13,01R,70.75,5.07,3-1-2,0,0,0
3-1-5,19.2,0.16372132487147706,0.5167022910466167,0.3168581361229269,0.027393002404218558,0.5259456461609963,1500,2026-08-21,202608212404,24,04R,71.39,5.04,3-2-5,0,0,0
3-1-4,10.7,0.1636179607093654,0.5167022910466167,0.31665809024756936,0.02737570804904853,0.29292007612481924,1500,2026-08-21,202608212404,24,04R,71.39,5.04,3-2-5,0,0,0
3-1-2,25.3,0.11900447349462255,0.5167022910466167,0.23031535868279324,0.019911210901267788,0.5037536358020751,1100,2026-08-21,202608212404,24,04R,71.39,5.04,3-2-5,0,0,0
