rule,head_q,guard_q,conf_cut,month,R,heads,head_rate,hit5,trifecta5_rate,head_wilson_lo,tri5_wilson_lo,avg_top5_mass
HGB_q0.995,0.995,,0.65,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.65,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.65,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.65,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.65,2026-06,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-06,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-06,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-02,15,11,0.7333333333333333,3,0.2,0.4804956594401943,0.07047549346981563,0.4196885473300492
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-03,14,12,0.8571428571428571,5,0.35714285714285715,0.6005862050302965,0.1634473175355414,0.436493844310845
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-04,66,61,0.9242424242424242,38,0.5757575757575758,0.8346080497938948,0.45560653224094294,0.4099607800486974
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-05,120,101,0.8416666666666667,61,0.5083333333333333,0.7659066765413198,0.4200253978366605,0.4219122296823643
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-06,106,85,0.8018867924528302,44,0.41509433962264153,0.7160468923505877,0.3258688806579729,0.41349572747636165
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-02,4,3,0.75,1,0.25,0.30064184258240184,0.04558726080970055,0.4638523186075484
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-03,5,3,0.6,1,0.2,0.2307242812760128,0.03622410863243014,0.493223260528885
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-04,10,10,1.0,8,0.8,0.7224672001371107,0.49016247153664183,0.48587202027861354
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-05,32,28,0.875,21,0.65625,0.7193169451834978,0.4831108797896222,0.4901439546704176
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-06,21,16,0.7619047619047619,13,0.6190476190476191,0.5490882631704924,0.4087865377511576,0.47497924021084437
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-02,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-03,2,1,0.5,0,0.0,0.09453120573423074,0.0,0.5331688713758995
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-04,4,4,1.0,2,0.5,0.5101091635454027,0.15003898915214947,0.5187560374746039
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-05,13,9,0.6923076923076923,5,0.38461538461538464,0.42369343180549035,0.17709707797762575,0.5244458446358791
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-06,2,2,1.0,2,1.0,0.34238022750665303,0.34238022750665303,0.5184857350009978
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-02,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-03,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-04,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-05,3,3,1.0,2,0.6666666666666666,0.4385029682449546,0.2076596008020477,0.5564168427934479
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-06,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-02,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-03,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-04,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-05,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-06,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-02,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-03,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-04,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-05,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-06,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-02,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-03,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-04,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-05,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-06,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-02,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-03,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-04,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-05,0,0,,0,,,,
