month,date,race_code,actual2,actual3,cond_rank,cond,nfeat3,p2,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-02,2026-02-22,202602222406,1,2,4,1>2:0.0205934055038|1>3:0.0530913158193|1>5:0.779544921476|1>6:0.146770357201|2>1:0.184654248419|2>3:0.0692476004326|2>5:0.627882361479|2>6:0.118215789669|3>1:0.218612371966|3>2:0.0317998332983|3>5:0.630819087235|3>6:0.118768707501|5>1:0.295216183403|5>2:0.0265183296409|5>3:0.0580166426434|5>6:0.620248844313|6>1:0.0803507490432|6>2:0.00721765191007|6>3:0.0157907355878|6>5:0.896640863459,69,1:0.419227741115|2:0.0915551073979|3:0.0751775778493|5:0.030636512601|6:0.383403061037,8,1,4,0,12
2026-02,2026-02-23,202602230602,3,6,4,1>2:0.328968444198|1>3:0.109158407504|1>5:0.511043278162|1>6:0.0508298701359|2>1:0.44052356016|2>3:0.133890623115|2>5:0.387085183866|2>6:0.0385006328587|3>1:0.365523351885|3>2:0.334805974828|3>5:0.272560957415|3>6:0.0271097158724|5>1:0.49708548024|5>2:0.281167452746|5>3:0.0791733656348|5>6:0.142573701379|6>1:0.216986252583|6>2:0.122734367317|6>3:0.034560518455|6>5:0.625718861644,69,1:0.112884168638|2:0.708468556085|3:0.0995212556476|5:0.0229149311657|6:0.0562110884633,17,3,4,0,6
2026-02,2026-02-23,202602231501,1,2,1,1>2:0.654761836763|1>3:0.231134335473|1>5:0.0111377057811|1>6:0.102966121982|2>1:0.612547415014|2>3:0.296931792935|2>5:0.00883575922656|2>6:0.0816850328251|3>1:0.400222041267|3>2:0.549587548323|3>5:0.00489909966339|3>6:0.0452913107472|5>1:0.393753990022|5>2:0.333900251545|5>3:0.100025093007|5>6:0.172320665427|6>1:0.465254800301|6>2:0.394532369931|6>3:0.118188401518|6>5:0.0220244282504,69,1:0.237651148316|2:0.291930890269|3:0.145975588338|5:0.11648201015|6:0.207960362926,2,2,1,0,8
2026-02,2026-02-25,202602252303,1,5,4,1>2:0.224573794724|1>3:0.369474522951|1>5:0.119306559091|1>6:0.286645123233|2>1:0.603709566802|2>3:0.236098866874|2>5:0.0470792594432|2>6:0.113112306881|3>1:0.683581917147|3>2:0.162491628391|3>5:0.0452379838158|3>6:0.108688470646|5>1:0.508488108285|5>2:0.0746409438643|5>3:0.104211021391|5>6:0.312659926459|6>1:0.622023254429|6>2:0.0913067622618|6>3:0.127479242124|6>5:0.159190741185,69,1:0.562001020617|2:0.0972619847149|3:0.110867560153|5:0.0496477664977|6:0.180221668018,6,1,4,0,3
2026-02,2026-02-27,202602270806,1,6,1,1>2:0.272071699007|1>3:0.103557404127|1>5:0.070718957483|1>6:0.553651939383|2>1:0.833035687668|2>3:0.035349763116|2>5:0.0149072350376|2>6:0.116707314179|3>1:0.802849577809|3>2:0.0895074732154|3>5:0.01219210756|3>6:0.0954508414156|5>1:0.644804474109|5>2:0.0443924437226|5>3:0.0143389697964|5>6:0.296464112372|6>1:0.869707560279|6>2:0.0598762035239|6>3:0.0193402976239|6>5:0.0510759385727,69,1:0.479955900872|2:0.08696577946|3:0.0993554206518|5:0.102030850785|6:0.231692048232,1,1,1,0,2
2026-02,2026-02-28,202602280309,1,5,1,1>2:0.0556332025385|1>3:0.0380464375043|1>5:0.654312700938|1>6:0.252007659019|2>1:0.52398865636|2>3:0.0302991784228|2>5:0.321779299627|2>6:0.123932865591|3>1:0.55358797975|3>2:0.0468075254593|3>5:0.288492135724|3>6:0.111112359068|5>1:0.538005478904|5>2:0.0280912862811|5>3:0.0163028177211|5>6:0.417600417094|6>1:0.32280509554|6>2:0.0168548661815|6>3:0.00978174542526|6>5:0.650558292853,69,1:0.398023170114|2:0.0865504071959|3:0.152743109481|5:0.0876863491618|6:0.274996964047,1,1,1,0,1
2026-02,2026-02-28,202602280707,5,6,2,1>2:0.111380953456|1>3:0.336062496816|1>5:0.428307364655|1>6:0.124249185073|2>1:0.693908476069|2>3:0.151880645265|2>5:0.119534652291|2>6:0.0346762263754|3>1:0.792936801268|3>2:0.0575214330504|3>5:0.1159154472|3>6:0.0336263184816|5>1:0.75557458373|5>2:0.0338473256569|5>3:0.0866651690985|5>6:0.123912921514|6>1:0.579768358827|6>2:0.0259717688622|6>3:0.0665000172552|6>5:0.327759855056,69,1:0.456498006158|2:0.297890367638|3:0.0749397963206|5:0.09219929188|6:0.078472538003,13,3,2,0,12
2026-03,2026-03-01,202603011808,5,1,2,1>2:0.167776885437|1>3:0.142342125603|1>5:0.51509447689|1>6:0.174786512069|2>1:0.323029542967|2>3:0.238276722425|2>5:0.327547393476|2>6:0.111146341131|3>1:0.21423343727|3>2:0.186262450227|3>5:0.447615258523|3>6:0.15188885398|5>1:0.300887762443|5>2:0.0993760348888|5>3:0.173727554007|5>6:0.426008648661|6>1:0.164470277386|6>2:0.0543206007816|6>3:0.0949623831995|6>5:0.686246738633,69,1:0.0622530074434|2:0.138801590614|3:0.25968568156|5:0.44119476514|6:0.0980649552427,2,1,2,0,11
2026-03,2026-03-03,202603030307,5,3,3,1>2:0.179322723313|1>3:0.0996190957918|1>5:0.621557313214|1>6:0.0995008676808|2>1:0.688563750688|2>3:0.0830589078213|2>5:0.196862903074|2>6:0.0315144384171|3>1:0.526158404615|3>2:0.11424870938|3>5:0.309971641676|3>6:0.0496212443286|5>1:0.732472807282|5>2:0.0604178659063|5>3:0.0691605395169|5>6:0.137948787295|6>1:0.42492166037|6>2:0.0350495740479|6>3:0.0401213683177|6>5:0.499907397264,69,1:0.30116803365|2:0.173291031731|3:0.256529971691|5:0.17287003917|6:0.0961409237587,16,4,3,0,6
2026-03,2026-03-05,202603050704,5,6,1,1>2:0.208162067708|1>3:0.251258587322|1>5:0.0731455724445|1>6:0.467433772526|2>1:0.0203729191712|2>3:0.539058503218|2>5:0.0596131559783|2>6:0.380955421632|3>1:0.0148189353683|3>2:0.324848093536|3>5:0.0893493871421|3>6:0.570983583954|5>1:0.0093472071827|5>2:0.077836674236|5>3:0.193592850125|5>6:0.719223268456|6>1:0.0237647012283|6>2:0.197894972441|6>3:0.492197953167|6>5:0.286142373163,69,1:0.128767814468|2:0.317227981386|3:0.0646003858918|5:0.128482362404|6:0.36092145585,6,4,1,0,3
