role,feature,category,n_long,races,direction,auc_oriented,top1_pct,top2_pct,month_positive,month_seen,month_consistency,month_auc
THIRD,pref_pl_all_p2,PLAYER_HISTORY,705,141,high,0.5996303002867059,29.078014184397162,53.90070921985816,5,5,1.0,2026-02:0.581;2026-03:0.613;2026-04:0.582;2026-05:0.556;2026-06:0.674
THIRD,pref_pl_all_win,PLAYER_HISTORY,705,141,high,0.5984985664704995,27.659574468085108,51.773049645390074,5,5,1.0,2026-02:0.597;2026-03:0.595;2026-04:0.567;2026-05:0.548;2026-06:0.690
THIRD,v93_local,V93_BASE_CONTEXT,705,141,high,0.5928210351591973,26.24113475177305,52.4822695035461,5,5,1.0,2026-02:0.587;2026-03:0.661;2026-04:0.541;2026-05:0.533;2026-06:0.648
THIRD,pref_pl_recent_p2,PLAYER_HISTORY,705,141,high,0.5878791308284291,28.368794326241133,46.09929078014184,5,5,1.0,2026-02:0.565;2026-03:0.623;2026-04:0.546;2026-05:0.554;2026-06:0.649
THIRD,v93_grade,V93_BASE_CONTEXT,705,141,high,0.5830252502389216,21.98581560283688,51.06382978723404,4,5,0.8,2026-02:0.459;2026-03:0.599;2026-04:0.598;2026-05:0.566;2026-06:0.698
THIRD,pref_vh_delta_overall,PRIOR_EXHIBITION,705,141,low,0.5524118505105376,28.368794326241133,48.226950354609926,3,5,0.6,2026-02:0.635;2026-03:0.573;2026-04:0.458;2026-05:0.487;2026-06:0.610
THIRD,v93_nst,V93_BASE_CONTEXT,705,141,high,0.5518459836024344,23.404255319148938,41.843971631205676,3,5,0.6,2026-02:0.604;2026-03:0.467;2026-04:0.517;2026-05:0.499;2026-06:0.672
THIRD,pos_distance4,POSITION,705,141,high,0.5452127659574468,21.27659574468085,41.843971631205676,4,5,0.8,2026-02:0.514;2026-03:0.440;2026-04:0.571;2026-05:0.569;2026-06:0.625
THIRD,pref_gh_p2_turn,PRIOR_EXHIBITION,705,141,high,0.5403463105477592,21.98581560283688,45.39007092198582,3,5,0.6,2026-02:0.490;2026-03:0.571;2026-04:0.470;2026-05:0.541;2026-06:0.603
THIRD,pref_gh_p2_overall,PRIOR_EXHIBITION,705,141,high,0.5392460137820029,24.822695035460992,48.226950354609926,3,5,0.6,2026-02:0.464;2026-03:0.599;2026-04:0.481;2026-05:0.535;2026-06:0.596
THIRD,pref_vh_delta_turn,PRIOR_EXHIBITION,705,141,low,0.5383406267290378,29.78723404255319,44.680851063829785,3,5,0.6,2026-02:0.626;2026-03:0.568;2026-04:0.431;2026-05:0.483;2026-06:0.585
THIRD,pos_boat_number,POSITION,705,141,high,0.5372340425531915,26.24113475177305,51.773049645390074,4,5,0.8,2026-02:0.593;2026-03:0.574;2026-04:0.511;2026-05:0.535;2026-06:0.473
THIRD,pref_gh_delta_turn,PRIOR_EXHIBITION,705,141,low,0.5349265630501484,29.078014184397162,40.42553191489362,4,5,0.8,2026-02:0.560;2026-03:0.555;2026-04:0.419;2026-05:0.504;2026-06:0.615
THIRD,pref_gh_delta_overall,PRIOR_EXHIBITION,705,141,low,0.5347882400281676,29.078014184397162,43.262411347517734,3,5,0.6,2026-02:0.557;2026-03:0.557;2026-04:0.441;2026-05:0.487;2026-06:0.622
THIRD,pref_pl_frame_races,PLAYER_HISTORY,705,141,high,0.5340148885870932,22.69503546099291,43.97163120567376,4,5,0.8,2026-02:0.474;2026-03:0.542;2026-04:0.551;2026-05:0.526;2026-06:0.638
THIRD,suf_st_raw_strength,START,705,141,low,0.533096926713948,26.24113475177305,41.13475177304964,3,5,0.6,2026-02:0.487;2026-03:0.563;2026-04:0.616;2026-05:0.545;2026-06:0.466
THIRD,pref_vh_p1_straight,PRIOR_EXHIBITION,705,141,low,0.5327196821085458,21.98581560283688,47.5177304964539,4,5,0.8,2026-02:0.579;2026-03:0.422;2026-04:0.553;2026-05:0.556;2026-06:0.552
THIRD,pref_vh_p2_overall,PRIOR_EXHIBITION,705,141,high,0.531342739298828,23.404255319148938,48.226950354609926,3,5,0.6,2026-02:0.515;2026-03:0.584;2026-04:0.474;2026-05:0.467;2026-06:0.616
THIRD,pref_vh_p12_straight,PRIOR_EXHIBITION,705,141,low,0.5299469342588401,21.27659574468085,44.680851063829785,4,5,0.8,2026-02:0.582;2026-03:0.424;2026-04:0.532;2026-05:0.572;2026-06:0.527
THIRD,pref_vh_p12_display,PRIOR_EXHIBITION,705,141,high,0.5295759770635281,17.73049645390071,43.97163120567376,3,5,0.6,2026-02:0.448;2026-03:0.525;2026-04:0.553;2026-05:0.606;2026-06:0.478
THIRD,pref_gh_p12_display,PRIOR_EXHIBITION,705,141,high,0.5293370554801067,17.02127659574468,47.5177304964539,3,5,0.6,2026-02:0.384;2026-03:0.516;2026-04:0.599;2026-05:0.639;2026-06:0.489
THIRD,pref_vh_delta_straight,PRIOR_EXHIBITION,705,141,low,0.5292175946883959,22.69503546099291,44.680851063829785,4,5,0.8,2026-02:0.534;2026-03:0.460;2026-04:0.549;2026-05:0.546;2026-06:0.557
THIRD,pref_vh_p2_turn,PRIOR_EXHIBITION,705,141,high,0.5290918464865952,22.69503546099291,43.262411347517734,3,5,0.6,2026-02:0.544;2026-03:0.555;2026-04:0.466;2026-05:0.478;2026-06:0.609
THIRD,suf_st_raw_rank,START,705,141,high,0.528676877420653,26.24113475177305,41.13475177304964,3,5,0.6,2026-02:0.484;2026-03:0.559;2026-04:0.582;2026-05:0.542;2026-06:0.466
THIRD,pref_vh_p2_straight,PRIOR_EXHIBITION,705,141,low,0.5286517277802928,21.98581560283688,43.262411347517734,3,5,0.6,2026-02:0.596;2026-03:0.471;2026-04:0.507;2026-05:0.574;2026-06:0.498
THIRD,pref_vh_p1_display,PRIOR_EXHIBITION,705,141,high,0.5284631054775917,21.27659574468085,41.843971631205676,2,5,0.4,2026-02:0.434;2026-03:0.548;2026-04:0.491;2026-05:0.636;2026-06:0.482
THIRD,suf_st_corr_strength,START,705,141,low,0.5276080177053468,24.822695035460992,41.13475177304964,3,5,0.6,2026-02:0.488;2026-03:0.548;2026-04:0.607;2026-05:0.556;2026-06:0.442
THIRD,pref_gh_p12_straight,PRIOR_EXHIBITION,705,141,low,0.5258978421608571,19.148936170212767,45.39007092198582,4,5,0.8,2026-02:0.626;2026-03:0.424;2026-04:0.524;2026-05:0.515;2026-06:0.532
THIRD,pref_gh_p1_display,PRIOR_EXHIBITION,705,141,high,0.5257909561893265,22.69503546099291,41.843971631205676,3,5,0.6,2026-02:0.399;2026-03:0.548;2026-04:0.528;2026-05:0.629;2026-06:0.490
THIRD,pref_gh_p1_straight,PRIOR_EXHIBITION,705,141,low,0.5231879684120517,19.148936170212767,43.262411347517734,4,5,0.8,2026-02:0.603;2026-03:0.421;2026-04:0.541;2026-05:0.504;2026-06:0.549
