pre_cut,post_cut,n,R,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.38,0.4,9,20,55.00000000000001,8,40.0,2.789120839032551,200000,211270.0,11270.0,105.635,14,75.26428571428572,28.57142857142857
0.38,0.4,10,20,55.00000000000001,8,40.0,2.6236669870184377,200000,193570.0,-6430.0,96.785,14,68.22142857142858,28.57142857142857
0.38,0.4,11,20,55.00000000000001,10,50.0,2.4846208474955214,200000,229440.0,29440.0,114.72,14,96.18571428571428,42.857142857142854
0.38,0.4,12,20,55.00000000000001,10,50.0,2.372937414873825,200000,224590.0,24590.0,112.295,14,94.39285714285714,42.857142857142854
0.38,0.4,13,20,55.00000000000001,10,50.0,2.273064063269619,200000,217880.0,17880.0,108.94,14,90.27142857142857,42.857142857142854
0.38,0.4,14,20,55.00000000000001,10,50.0,2.1632448186090434,200000,200200.0,200.0,100.1,14,85.05714285714286,42.857142857142854
0.38,0.4,15,20,55.00000000000001,11,55.00000000000001,2.0986085092909805,200000,224840.0,24840.0,112.42,14,102.65714285714286,50.0
0.38,0.4,16,20,55.00000000000001,11,55.00000000000001,2.0483566866461236,200000,220050.0,20050.0,110.025,14,99.23571428571428,50.0
0.38,0.4,17,20,55.00000000000001,11,55.00000000000001,2.005675999330147,200000,214340.0,14340.0,107.17,14,95.82857142857142,50.0
0.38,0.4,18,20,55.00000000000001,11,55.00000000000001,1.9495668089206153,200000,208750.0,8750.0,104.375,14,91.83571428571429,50.0
0.38,0.4,19,20,55.00000000000001,11,55.00000000000001,1.9166144264026848,200000,205130.0,5130.0,102.565,14,91.83571428571429,50.0
0.38,0.4,20,20,55.00000000000001,11,55.00000000000001,1.8851559538358853,200000,202050.0,2050.0,101.025,14,89.63571428571429,50.0
0.38,0.45,2,12,50.0,2,16.666666666666664,8.307687674230639,120000,113600.0,-6400.0,94.66666666666667,9,63.55555555555556,11.11111111111111
0.38,0.45,3,12,50.0,2,16.666666666666664,6.075257974133204,120000,82020.0,-37980.0,68.35,9,46.22222222222222,11.11111111111111
0.38,0.45,4,12,50.0,2,16.666666666666664,4.727813674308394,120000,57160.0,-62840.0,47.63333333333333,9,33.22222222222222,11.11111111111111
0.38,0.45,5,12,50.0,3,25.0,3.807650631849248,120000,94590.0,-25410.0,78.825,9,78.9888888888889,22.22222222222222
0.38,0.45,6,12,50.0,4,33.33333333333333,3.3063263760698387,120000,122260.0,2260.0,101.88333333333334,9,69.17777777777778,22.22222222222222
0.38,0.45,7,12,50.0,5,41.66666666666667,3.0204084948025787,120000,147210.0,27210.0,122.675,9,99.5,33.33333333333333
0.38,0.45,8,12,50.0,5,41.66666666666667,2.721429188937869,120000,132430.0,12430.0,110.35833333333333,9,84.12222222222222,33.33333333333333
