date,month,race_code,layer,model,n,winner,second,third,head4_win,hit,return_yen,profit_yen,comp_odds,tickets
2026-05-10,2026-05,202605102010,A,v283,6,1,4,2,0,0,0.0,-10000.0,,
2026-05-10,2026-05,202605102010,A,v283,8,1,4,2,0,0,0.0,-10000.0,,
2026-05-10,2026-05,202605102010,A,v283,10,1,4,2,0,0,0.0,-10000.0,,
2026-05-10,2026-05,202605102010,A,v284,4,1,4,2,0,0,0.0,-10000.0,,
2026-05-10,2026-05,202605102010,A,v284,6,1,4,2,0,0,0.0,-10000.0,,
2026-05-10,2026-05,202605102010,A,v284,8,1,4,2,0,0,0.0,-10000.0,,
2026-05-10,2026-05,202605102010,A,v284,10,1,4,2,0,0,0.0,-10000.0,,
2026-05-11,2026-05,202605111606,S,v283,4,4,5,6,1,1,39100.0,29100.0,3.898517758222601,4-5-6|4-5-2|4-2-5|4-2-1
2026-05-11,2026-05,202605111606,S,v283,6,4,5,6,1,1,28050.0,18050.0,2.820832581876583,4-5-6|4-5-2|4-2-5|4-2-1|4-5-1|4-2-6
2026-05-11,2026-05,202605111606,S,v283,8,4,5,6,1,1,23800.0,13800.0,2.4043669740611096,4-5-6|4-5-2|4-2-5|4-2-1|4-5-1|4-2-6|4-1-5|4-5-3
2026-05-11,2026-05,202605111606,S,v283,10,4,5,6,1,1,22100.0,12100.0,2.244564529946607,4-5-6|4-5-2|4-2-5|4-2-1|4-5-1|4-2-6|4-1-5|4-5-3|4-1-2|4-2-3
2026-05-11,2026-05,202605111606,S,v284,4,4,5,6,1,1,39950.0,29950.0,4.001013728218954,4-5-6|4-2-5|4-2-1|4-5-1
2026-05-11,2026-05,202605111606,S,v284,6,4,5,6,1,1,33150.0,23150.0,3.2766775615452652,4-5-6|4-2-5|4-2-1|4-5-1|4-1-5|4-2-3
2026-05-11,2026-05,202605111606,S,v284,8,4,5,6,1,1,28050.0,18050.0,2.8209433810292346,4-5-6|4-2-5|4-2-1|4-5-1|4-1-5|4-2-3|4-2-6|4-1-2
2026-05-11,2026-05,202605111606,S,v284,10,4,5,6,1,1,21250.0,11250.0,2.155766486559499,4-5-6|4-2-5|4-2-1|4-5-1|4-1-5|4-2-3|4-2-6|4-1-2|4-5-2|4-1-6
2026-05-11,2026-05,202605112308,S,v283,4,4,2,5,1,1,29900.0,19900.0,2.9558514940420952,4-1-5|4-1-2|4-2-1|4-2-5
2026-05-11,2026-05,202605112308,S,v283,6,4,2,5,1,1,24700.0,14700.0,2.516974275136361,4-1-5|4-1-2|4-2-1|4-2-5|4-1-3|4-2-3
2026-05-11,2026-05,202605112308,S,v283,8,4,2,5,1,1,24700.0,14700.0,2.4230682494721885,4-1-5|4-1-2|4-2-1|4-2-5|4-1-3|4-2-3|4-6-1|4-3-1
2026-05-11,2026-05,202605112308,S,v283,10,4,2,5,1,1,19500.0,9500.0,1.9670324684308746,4-1-5|4-1-2|4-2-1|4-2-5|4-1-3|4-2-3|4-6-1|4-3-1|4-5-1|4-6-5
2026-05-11,2026-05,202605112308,S,v284,4,4,2,5,1,0,0.0,-10000.0,3.5144806690386616,4-1-2|4-1-5|4-2-1|4-2-3
2026-05-11,2026-05,202605112308,S,v284,6,4,2,5,1,1,24700.0,14700.0,2.516974275136361,4-1-2|4-1-5|4-2-1|4-2-3|4-1-3|4-2-5
2026-05-11,2026-05,202605112308,S,v284,8,4,2,5,1,1,23400.0,13400.0,2.38633367245427,4-1-2|4-1-5|4-2-1|4-2-3|4-1-3|4-2-5|4-6-1|4-5-6
2026-05-11,2026-05,202605112308,S,v284,10,4,2,5,1,1,23400.0,13400.0,2.2999671912840287,4-1-2|4-1-5|4-2-1|4-2-3|4-1-3|4-2-5|4-6-1|4-5-6|4-3-2|4-6-2
2026-05-13,2026-05,202605130408,S,v283,4,4,3,5,1,0,0.0,-10000.0,2.2530748768732387,4-1-2|4-1-5|4-2-1|4-2-5
2026-05-13,2026-05,202605130408,S,v283,6,4,3,5,1,0,0.0,-10000.0,1.9461967062220655,4-1-2|4-1-5|4-2-1|4-2-5|4-1-3|4-2-3
