scope,family,nparam,floor,conf,base_R,base_roi_pct,added_R,added_roi_pct,added_profit_yen,R,roi_pct,profit_yen,head_rate_pct,hit_rate_pct,min_added_month_R,min_added_month_roi_pct,min_combined_month_roi_pct
S+A,JM4_FIXED,2,7.0,0.35,28,310.98214285714283,26,63.72692307692308,-94310.0,54,191.93333333333334,496440.0,42.592592592592595,20.37037037037037,7,0.0,131.8111111111111
S+A,JM4_FIXED,2,7.0,0.4,28,310.98214285714283,12,64.28333333333333,-42860.0,40,236.9725,547890.0,52.5,25.0,2,0.0,133.17
S+A,JM4_FIXED,2,7.0,0.45,28,310.98214285714283,2,0.0,-20000.0,30,290.25,570750.0,60.0,30.0,0,0.0,160.12
S+A,JM4_FIXED,2,7.0,0.5,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,JM4_FIXED,2,7.0,0.55,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,7.0,0.7,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,7.0,0.75,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,7.0,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,7.0,0.85,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,7.0,0.9,28,310.98214285714283,2,0.0,-20000.0,30,290.25,570750.0,60.0,30.0,0,0.0,160.12
S+A,P2R_FIXED,3,4.5,1.25,28,310.98214285714283,40,58.4125,-166350.0,68,162.41176470588235,424400.0,45.588235294117645,19.11764705882353,9,0.0,92.0
S+A,P2R_FIXED,3,4.5,1.5,28,310.98214285714283,33,50.484848484848484,-163400.0,61,170.05737704918033,427350.0,47.540983606557376,19.672131147540984,7,0.0,96.38095238095238
S+A,P2R_FIXED,3,4.5,1.75,28,310.98214285714283,27,61.7037037037037,-103400.0,55,188.6090909090909,487350.0,49.09090909090909,21.818181818181817,4,0.0,106.52631578947368
S+A,P2R_FIXED,3,4.5,2.0,28,310.98214285714283,23,52.165217391304346,-110020.0,51,194.26078431372548,480730.0,49.01960784313725,21.568627450980394,4,0.0,110.98421052631579
S+A,JM4_FIXED,3,4.5,0.3,28,310.98214285714283,50,66.658,-166710.0,78,154.36410256410255,424040.0,42.30769230769231,19.230769230769234,14,0.0,111.86666666666666
S+A,JM4_FIXED,3,4.5,0.35,28,310.98214285714283,39,54.276923076923076,-178320.0,67,161.55671641791045,412430.0,43.28358208955223,19.402985074626866,11,0.0,102.996
S+A,JM4_FIXED,3,4.5,0.4,28,310.98214285714283,19,50.43684210526316,-94170.0,47,205.65531914893617,496580.0,51.06382978723404,23.404255319148938,5,0.0,117.15
S+A,JM4_FIXED,3,4.5,0.45,28,310.98214285714283,5,90.16,-4920.0,33,277.5242424242424,585830.0,60.60606060606061,30.303030303030305,1,0.0,145.56363636363636
