combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,period,race_code,return,stake,train_pair_count
3-1-2,0.031349068605166515,2026-08-26,1.2570976510671772,0,0.050325518713960474,3攻め頭,40.1,0.1149490244619507,latest_month,202608261706,0,800,5
3-2-5,0.02289184460724652,2026-08-26,0.19000231024014613,0,0.24313895185901385,3攻め頭,8.3,0.08393854499727894,latest_month,202608261706,0,700,2
3-1-4,0.01815839057777162,2026-08-26,2.266167144105898,0,0.016170298881649163,3攻め頭,124.8,0.06658217853304665,latest_month,202608261706,0,500,3
3-4-1,0.0180281477332584,2026-08-26,2.7222503077220184,0,0.013364591393574935,3攻め頭,151.0,0.06610461130103401,latest_month,202608261706,0,500,3
3-1-6,0.017970731517452005,2026-08-26,2.9903297245040137,0,0.012127724161236869,3攻め頭,166.4,0.06589408070829562,latest_month,202608261706,0,500,3
3-5-1,0.012984836758126775,2026-08-26,0.8816704158768081,0,0.029720961714724815,3攻め頭,67.9,0.047612078589740384,latest_month,202608261706,0,400,2
3-4-6,0.012299091060710634,2026-08-26,1.6603772931959355,0,0.01494854296614678,3攻め頭,135.0,0.04509762433466327,latest_month,202608261706,0,400,2
4-3-5,0.01176892040413945,2026-08-26,3.1940849976834462,0,0.0591207046422768,4刺され,271.4,0.34407427977986266,latest_month,202608262212,0,1100,4
4-3-2,0.0038650955889892005,2026-08-26,1.057876662706344,0,0.05862389199822404,4刺され,273.7,0.11299931815275326,latest_month,202608262212,0,400,1
4-1-3,0.0028670495936615158,2026-08-26,0.33773844213332654,0,0.1362084825120027,4刺され,117.8,0.0838206046227709,latest_month,202608262212,0,400,0
4-3-1,0.0023212264064146155,2026-08-26,0.33773844213332654,0,0.11027738309219189,4刺され,145.5,0.06786300497981039,latest_month,202608262212,0,300,0
4-1-2,0.002018759367204582,2026-08-26,0.3377384421333266,0,0.09590770615609037,4刺され,167.3,0.05902012686528638,latest_month,202608262212,0,300,0
4-1-5,0.0016844810081462671,2026-08-26,0.33773844213332654,0,0.08002672937612927,4刺され,200.5,0.04924721807761801,latest_month,202608262212,0,300,0
4-2-1,0.0013397002861298161,2026-08-26,0.33773844213332666,0,0.06364680380767125,4刺され,252.1,0.03916726388164385,latest_month,202608262212,0,200,0
4-2-3,0.0012131409559386732,2026-08-26,0.3377384421333266,0,0.0576341926721046,4刺され,278.4,0.03546719549052591,latest_month,202608262212,0,200,0
4-1-6,0.0010090781061647045,2026-08-26,0.3377384421333266,0,0.047939525664517244,4刺され,334.7,0.029501246562779842,latest_month,202608262212,0,200,0
4-5-3,0.0007453949285661588,2026-08-26,0.33773844213332654,0,0.03541240176542467,4刺され,453.1,0.021792247240261336,latest_month,202608262212,0,200,0
4-2-5,0.0007348530072526688,2026-08-26,0.3377384421333266,0,0.034911573629055524,4刺され,459.6,0.021484045310188014,latest_month,202608262212,0,200,0
4-3-6,0.0007311938561015948,2026-08-26,0.3377384421333266,0,0.03473773379500741,4刺され,461.9,0.02137706695077379,latest_month,202608262212,0,200,0
4-5-1,0.0006714481950960767,2026-08-26,0.3377384421333266,0,0.031899322544560474,4刺され,503.0,0.019630352335114138,latest_month,202608262212,0,200,0
4-5-6,0.000576542236485706,2026-08-26,0.33773844213332654,0,0.02739050740852496,4刺され,585.8,0.01685569686678459,latest_month,202608262212,0,200,0
4-2-6,0.0005273043593026176,2026-08-26,0.3377384421333266,0,0.025051302482301203,4刺され,640.5,0.015416186142954588,latest_month,202608262212,0,100,0
4-5-2,0.00047811217742543404,2026-08-26,0.3377384421333266,0,0.022714268459674294,4刺され,706.4,0.013978011359799565,latest_month,202608262212,0,100,0
4-6-1,0.0004323882244697562,2026-08-26,0.3377384421333266,0,0.02054200389183705,4刺され,781.1,0.012641233164207415,latest_month,202608262212,0,100,0
4-6-5,0.0004183555581981006,2026-08-26,0.3377384421333266,0,0.0198753366033865,4刺され,807.3,0.01223097637131477,latest_month,202608262212,0,100,0
4-6-3,0.0004113243723460316,2026-08-26,0.33773844213332654,0,0.019541297332741344,4刺され,821.1,0.012025413743225442,latest_month,202608262212,0,100,0
4-6-2,0.0003902235033313998,2026-08-26,0.33773844213332654,0,0.018538832166278357,4刺され,865.5,0.011408512102325142,latest_month,202608262212,0,100,0
3-1-5,0.050194977084092894,2026-08-27,1.7969801796105254,0,0.11190168564803868,3攻め頭,35.8,0.18925986138690018,latest_month,202608270911,0,1000,8
3-1-2,0.0317330415350494,2026-08-27,1.631078334901539,0,0.07793930634629931,3攻め頭,51.4,0.11964924363341264,latest_month,202608270911,0,600,5
3-1-4,0.02482604890741031,2026-08-27,0.5685165199796961,0,0.17493800638427007,3攻め頭,22.9,0.09360646917179065,latest_month,202608270911,0,500,3
3-4-1,0.023164894963145107,2026-08-27,0.6717819539312081,0,0.13814070159309602,3攻め頭,29.0,0.0873430981435057,latest_month,202608270911,0,500,3
3-1-6,0.018646213830088496,2026-08-27,1.9634463163083187,0,0.038044447732191684,3攻め頭,105.3,0.07030543791186242,latest_month,202608270911,0,400,3
3-4-5,0.015037871387530695,2026-08-27,0.7248254008789795,0,0.08311370012862623,3攻め頭,48.2,0.05670020427721298,latest_month,202608270911,0,400,2
3-5-1,0.01342352208900477,2026-08-27,1.1356299687298035,0,0.04735319558155774,3攻め頭,84.6,0.0506133098862226,latest_month,202608270911,0,300,2
3-5-4,0.013381412472180883,2026-08-27,1.1548158963492101,0,0.04642039798609252,3攻め頭,86.3,0.05045453582742001,latest_month,202608270911,0,300,2
3-4-2,0.013013136086244954,2026-08-27,1.3624753482298466,0,0.03826246748996929,3攻め頭,104.7,0.049065951913186266,latest_month,202608270911,0,300,2
3-4-6,0.01254347485032127,2026-08-27,1.8037516834761989,0,0.027858695036159835,3攻め頭,143.8,0.04729509702743146,latest_month,202608270911,0,300,2
3-6-2,0.01160513342666872,2026-08-27,6.573147572865163,0,0.007072881967160636,3攻め頭,566.4,0.043757086292282664,latest_month,202608270911,0,300,2
3-2-6,0.00044908846205592536,2026-08-27,0.18084792366992114,0,0.009948051517754618,3攻め頭,402.7,0.0016932853647241904,latest_month,202608270911,0,100,0
3-1-5,0.04188575449568071,2026-08-27,7.204349773257082,0,0.02052713261967408,3攻め頭,172.0,0.17370674597781685,latest_month,202608271004,0,800,8
3-1-2,0.034434461453414715,2026-08-27,0.5681686139813428,0,0.2139798067020571,3攻め頭,16.5,0.14280507348120117,latest_month,202608271004,0,600,5
3-1-6,0.02260067580339299,2026-08-27,0.45427358364819914,0,0.17565506520318117,3攻め頭,20.1,0.09372852173671167,latest_month,202608271004,0,400,3
3-1-4,0.018699669066679563,2026-08-27,0.8190455051205648,0,0.08060883129187082,3攻め頭,43.8,0.07755043936882906,latest_month,202608271004,0,400,3
3-4-1,0.01656743829670914,2026-08-27,2.041108398154566,0,0.028658009826168358,3攻め頭,123.2,0.06870774635339034,latest_month,202608271004,0,400,3
3-6-2,0.012656021069326069,2026-08-27,0.7656892746942272,0,0.058358129100561026,3攻め頭,60.5,0.05248649005966995,latest_month,202608271004,0,300,2
3-4-2,0.01141180683431976,2026-08-27,1.4367464804408578,0,0.028043421847370468,3攻め頭,125.9,0.04732653988891411,latest_month,202608271004,0,300,2
3-4-6,0.011248612148235911,2026-08-27,1.650171402146208,0,0.02406725842252176,3攻め頭,146.7,0.046649746114471785,latest_month,202608271004,0,300,2
3-2-5,0.0107206994696162,2026-08-27,3.378092402876065,0,0.011204908951393023,3攻め頭,315.1,0.04446041003427966,latest_month,202608271004,0,300,2
3-5-1,0.010612622369238711,2026-08-27,4.371339153889425,0,0.008571660137373007,3攻め頭,411.9,0.04401219747019114,latest_month,202608271004,0,300,2
3-5-4,0.01051384314944732,2026-08-27,6.02127797168848,0,0.00616494990498331,3攻め頭,572.7,0.043602544664678,latest_month,202608271004,0,300,2
3-4-5,0.010470645653736245,2026-08-27,7.23102788847025,0,0.005112462801308923,3攻め頭,690.6,0.043423397923627045,latest_month,202608271004,0,300,2
3-2-4,0.006665470917005564,2026-08-27,0.6292204545653253,0,0.03740113146805023,3攻め頭,94.4,0.027642745781795777,latest_month,202608271004,0,200,1
3-6-5,0.0002931621592370551,2026-08-27,0.14491005531087633,0,0.007142761097681452,3攻め頭,494.3,0.0012157891230096087,latest_month,202608271004,0,100,0
3-1-5,0.04784627231836283,2026-08-27,2.234420917267544,0,0.02643222243006595,3攻め頭,46.7,0.1747118676476708,latest_month,202608271301,0,1500,8
3-1-2,0.03111797908483932,2026-08-27,0.9024213934603402,0,0.042564992671864824,3攻め頭,29.0,0.11362808385904083,latest_month,202608271301,0,1000,5
3-1-4,0.018876905938167276,2026-08-27,0.7777285246524919,0,0.029960795812720386,3攻め頭,41.2,0.06892949715961198,latest_month,202608271301,0,700,3
3-4-1,0.01876467937530049,2026-08-27,0.840657636013462,0,0.027553231863483928,3攻め頭,44.8,0.068519699040593,latest_month,202608271301,0,600,3
3-1-6,0.01837656736782315,2026-08-27,1.1797756250142464,0,0.019227177375141433,3攻め頭,64.2,0.06710249827661982,latest_month,202608271301,0,600,3
3-4-2,0.015793093510964293,2026-08-27,0.21952399980240367,0,0.08880466097007769,3攻め頭,13.9,0.05766887846299194,latest_month,202608271301,0,600,2
4-3-5,0.024133505261275383,2026-08-27,0.6298844873192875,0,0.15243780748827296,4刺され,26.1,0.4015001892235527,latest_month,202608271305,0,2000,4
4-5-3,0.005840014777628971,2026-08-27,0.14716837239625005,1,0.15788201489856843,4刺され,25.2,0.09715816301450368,latest_month,202608271305,15240,600,0
4-3-2,0.005277508657171705,2026-08-27,1.1879671987293507,0,0.01767493014413116,4刺され,225.1,0.08779995701177304,latest_month,202608271305,0,500,1
4-1-5,0.005005726952253404,2026-08-27,0.14716837239625008,0,0.1353274413416301,4刺され,29.4,0.08327842544100315,latest_month,202608271305,0,500,0
4-5-1,0.004278150360356107,2026-08-27,0.14716837239625005,0,0.11565775510011408,4刺され,34.4,0.07117400313853176,latest_month,202608271305,0,400,0
4-1-3,0.003633786972746915,2026-08-27,0.14716837239625005,0,0.09823769815910925,4刺され,40.5,0.060453968097913396,latest_month,202608271305,0,400,0
4-3-1,0.0031993124433967405,2026-08-27,0.14716837239625005,0,0.08649188642269401,4刺され,46.0,0.0532257762601194,latest_month,202608271305,0,400,0
4-5-2,0.0008616415245682089,2026-08-27,0.14716837239625008,0,0.023294067771919932,4刺され,170.8,0.014334810936566116,latest_month,202608271305,0,200,0
4-3-5,0.011790056618374784,2026-08-27,0.6861812951894124,0,0.07185336570707038,4刺され,58.2,0.35190976351204334,latest_month,202608271410,0,1600,4
4-3-2,0.004182720840764064,2026-08-27,0.22461210914903026,0,0.0778745974702327,4刺され,53.7,0.12484590613552783,latest_month,202608271410,0,600,1
4-3-1,0.0036845584661729346,2026-08-27,0.08621866810844667,0,0.1787122172714315,4刺され,23.4,0.10997674909011171,latest_month,202608271410,0,600,0
4-1-3,0.003229163599567291,2026-08-27,0.08621866810844667,1,0.15662419041765907,4刺され,26.7,0.0963841171800979,latest_month,202608271410,17450,500,0
4-3-6,0.0015562936481669073,2026-08-27,0.08621866810844667,0,0.07548494375724724,4刺され,55.4,0.046452273081382923,latest_month,202608271410,0,300,0
4-1-2,0.0010899958041522967,2026-08-27,0.08621866810844667,0,0.052868089559437385,4刺され,79.1,0.03253420895965378,latest_month,202608271410,0,200,0
4-1-5,0.0010167295767505504,2026-08-27,0.08621866810844667,0,0.04931445618103181,4刺され,84.8,0.030347357649865733,latest_month,202608271410,0,200,0
4-2-3,0.000869139799480309,2026-08-27,0.08621866810844665,0,0.04215590609023686,4刺され,99.2,0.02594209605553038,latest_month,202608271410,0,200,0
4-1-6,0.0008370744476548218,2026-08-27,0.08621866810844664,0,0.040600639651956275,4刺され,103.0,0.02498500901658848,latest_month,202608271410,0,200,0
4-2-1,0.0007220993978931882,2026-08-27,0.08621866810844667,0,0.03502400237982828,4刺され,119.4,0.021553232233740484,latest_month,202608271410,0,200,0
4-5-3,0.0006576557445342995,2026-08-27,0.08621866810844667,0,0.031898290496960316,4刺され,131.1,0.01962971722889866,latest_month,202608271410,0,200,0
4-2-5,0.0003724348514403743,2026-08-27,0.08621866810844665,0,0.018064215482295882,4刺され,231.5,0.011116440296797467,latest_month,202608271410,0,200,0
3-1-5,0.052120642558326574,2026-08-27,1.8815551963555894,0,0.15780441512825424,3攻め頭,36.1,0.19707309193672407,latest_month,202608271511,0,700,8
3-1-2,0.03366241294682507,2026-08-27,1.5619359607326833,0,0.1227745557355599,3攻め頭,46.4,0.1272807754443506,latest_month,202608271511,0,500,5
3-1-4,0.026106079742155057,2026-08-27,0.7257490168319106,0,0.20491868295431576,3攻め頭,27.8,0.0987095630560537,latest_month,202608271511,0,400,3
3-4-1,0.021191363908092946,2026-08-27,1.2608861525315302,0,0.09574351909462149,3攻め頭,59.5,0.08012655644163769,latest_month,202608271511,0,300,3
3-1-6,0.019340060283092774,2026-08-27,2.017168287526576,0,0.054618786060690115,3攻め頭,104.3,0.07312660188267064,latest_month,202608271511,0,300,3
3-5-1,0.01362652907564307,2026-08-27,1.4730277930770157,0,0.052698791731082134,3攻め頭,108.1,0.05152319859252461,latest_month,202608271511,0,300,2
3-4-5,0.01320438050580069,2026-08-27,1.7363760365127907,0,0.04332121206182493,3攻め頭,131.5,0.04992701481903402,latest_month,202608271511,0,300,2
3-4-2,0.012989306299342616,2026-08-27,1.9198194710428387,0,0.03854356824174545,3攻め頭,147.8,0.04911379884965878,latest_month,202608271511,0,300,2
