policy,month,cut,switch,races,head3,head_rate,hits,hit_rate,coverage,investment,return_yen,roi
p3>=0.20_7to10@0.30,2026-07,0.2,0.3,618,146,23.624595469255663,107,17.313915857605178,73.28767123287672,458700,356460.0,77.71092217135383
p3>=0.20_7to10@0.30,2026-08,0.2,0.3,650,179,27.53846153846154,121,18.615384615384617,67.59776536312849,487000,403720.0,82.89938398357289
p3>=0.20_7to10@0.35,2026-06,0.2,0.35,517,139,26.88588007736944,89,17.214700193423596,64.02877697841727,369400,251740.0,68.14834867352464
p3>=0.20_7to10@0.35,2026-07,0.2,0.35,618,146,23.624595469255663,103,16.666666666666668,70.54794520547945,442500,334020.0,75.48474576271187
p3>=0.20_7to10@0.35,2026-08,0.2,0.35,650,179,27.53846153846154,116,17.846153846153847,64.80446927374301,466000,382510.0,82.08369098712447
p3>=0.20_7to10@0.40,2026-06,0.2,0.4,517,139,26.88588007736944,89,17.214700193423596,64.02877697841727,365200,251740.0,68.93209200438116
p3>=0.20_7to10@0.40,2026-07,0.2,0.4,618,146,23.624595469255663,103,16.666666666666668,70.54794520547945,435600,334020.0,76.68044077134986
p3>=0.20_7to10@0.40,2026-08,0.2,0.4,650,179,27.53846153846154,114,17.53846153846154,63.687150837988824,457000,362720.0,79.36980306345733
p3>=0.20_7to10@0.45,2026-06,0.2,0.45,517,139,26.88588007736944,89,17.214700193423596,64.02877697841727,363100,251740.0,69.33076287524098
p3>=0.20_7to10@0.45,2026-07,0.2,0.45,618,146,23.624595469255663,103,16.666666666666668,70.54794520547945,432900,334020.0,77.15869715869717
p3>=0.20_7to10@0.45,2026-08,0.2,0.45,650,179,27.53846153846154,114,17.53846153846154,63.687150837988824,455500,362720.0,79.6311745334797
p3>=0.20_7to10@0.50,2026-06,0.2,0.5,517,139,26.88588007736944,89,17.214700193423596,64.02877697841727,362500,251740.0,69.4455172413793
p3>=0.20_7to10@0.50,2026-07,0.2,0.5,618,146,23.624595469255663,103,16.666666666666668,70.54794520547945,432900,334020.0,77.15869715869717
p3>=0.20_7to10@0.50,2026-08,0.2,0.5,650,179,27.53846153846154,114,17.53846153846154,63.687150837988824,454600,362720.0,79.78882534095908
p3>=0.25_7pt,2026-06,0.25,,196,68,34.69387755102041,37,18.877551020408163,54.411764705882355,137200,91230.0,66.49416909620992
p3>=0.25_7pt,2026-07,0.25,,236,72,30.508474576271187,53,22.45762711864407,73.61111111111111,165200,195160.0,118.13559322033899
p3>=0.25_7pt,2026-08,0.25,,264,93,35.22727272727273,57,21.59090909090909,61.29032258064516,184100,144300.0,78.38131450298751
p3>=0.25_10pt,2026-06,0.25,,196,68,34.69387755102041,52,26.53061224489796,76.47058823529412,196000,176160.0,89.87755102040816
p3>=0.25_10pt,2026-07,0.25,,236,72,30.508474576271187,62,26.271186440677965,86.11111111111111,236000,240470.0,101.89406779661017
p3>=0.25_10pt,2026-08,0.25,,264,93,35.22727272727273,71,26.893939393939394,76.34408602150538,263000,219760.0,83.55893536121673
p3>=0.25_7to10@0.30,2026-06,0.25,0.3,196,68,34.69387755102041,44,22.448979591836736,64.70588235294117,159100,125490.0,78.87492143306096
p3>=0.25_7to10@0.30,2026-07,0.25,0.3,236,72,30.508474576271187,57,24.152542372881356,79.16666666666667,191300,217600.0,113.74803972817564
p3>=0.25_7to10@0.30,2026-08,0.25,0.3,264,93,35.22727272727273,64,24.242424242424242,68.81720430107526,216800,185300.0,85.47047970479704
p3>=0.25_7to10@0.35,2026-06,0.25,0.35,196,68,34.69387755102041,37,18.877551020408163,54.411764705882355,144700,91230.0,63.04768486523842
p3>=0.25_7to10@0.35,2026-07,0.25,0.35,236,72,30.508474576271187,53,22.45762711864407,73.61111111111111,175100,195160.0,111.45631067961165
p3>=0.25_7to10@0.35,2026-08,0.25,0.35,264,93,35.22727272727273,59,22.348484848484848,63.44086021505376,195800,164090.0,83.80490296220633
p3>=0.25_7to10@0.40,2026-06,0.25,0.4,196,68,34.69387755102041,37,18.877551020408163,54.411764705882355,140500,91230.0,64.932384341637
p3>=0.25_7to10@0.40,2026-07,0.25,0.4,236,72,30.508474576271187,53,22.45762711864407,73.61111111111111,168200,195160.0,116.02853745541023
