pre_cut,post_cut,target_comp,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct
0.15,0.3,13.0,112,2.2232142857142856,8.475638854770933,14.285714285714285,113.11785714285715,146920.0,87,94.81724137931035
0.15,0.3,13.5,112,2.1785714285714284,8.636759300749352,13.392857142857142,103.91964285714286,43900.0,87,82.97586206896551
0.15,0.3,14.0,112,2.1785714285714284,8.636759300749352,13.392857142857142,103.91964285714286,43900.0,87,82.97586206896551
0.15,0.3,14.5,112,2.1339285714285716,8.847475966167652,13.392857142857142,107.92142857142858,88720.0,87,88.12758620689655
0.15,0.3,15.0,112,2.0982142857142856,9.012965820845965,13.392857142857142,107.92142857142858,88720.0,87,88.12758620689655
0.15,0.31,10.0,103,2.3883495145631066,7.720670736465435,14.563106796116504,106.91844660194175,71260.0,80,82.40625
0.15,0.31,10.5,103,2.3398058252427183,7.800456370017932,14.563106796116504,110.54466019417475,108610.0,80,87.075
0.15,0.31,11.0,103,2.3106796116504853,7.900082082657519,14.563106796116504,110.54466019417475,108610.0,80,87.075
0.15,0.31,11.5,103,2.2718446601941746,8.01412304033849,14.563106796116504,110.54466019417475,108610.0,80,87.075
0.15,0.31,12.0,103,2.233009708737864,8.179755556358987,14.563106796116504,110.54466019417475,108610.0,80,87.075
0.15,0.31,12.5,103,2.1941747572815533,8.270720674218508,14.563106796116504,110.54466019417475,108610.0,80,87.075
0.15,0.31,13.0,103,2.174757281553398,8.308911093508012,14.563106796116504,110.54466019417475,108610.0,80,87.075
0.15,0.31,13.5,103,2.145631067961165,8.417821067840789,13.592233009708737,100.54271844660194,5590.0,80,74.1975
0.15,0.31,14.0,103,2.145631067961165,8.417821067840789,13.592233009708737,100.54271844660194,5590.0,80,74.1975
0.15,0.31,14.5,103,2.1067961165048543,8.618399559256753,13.592233009708737,104.89417475728155,50410.0,80,79.8
0.15,0.31,15.0,103,2.0776699029126213,8.725595464934722,13.592233009708737,104.89417475728155,50410.0,80,79.8
0.15,0.32,10.0,93,2.4193548387096775,7.663708342620838,16.129032258064516,118.41505376344087,171260.0,70,94.17857142857143
0.15,0.32,10.5,93,2.3655913978494625,7.752073076555323,16.129032258064516,122.43118279569893,208610.0,70,99.51428571428572
0.15,0.32,11.0,93,2.3333333333333335,7.862411231414221,16.129032258064516,122.43118279569893,208610.0,70,99.51428571428572
0.15,0.32,11.5,93,2.2903225806451615,7.988714657663039,16.129032258064516,122.43118279569893,208610.0,70,99.51428571428572
0.15,0.32,12.0,93,2.2580645161290325,8.109421418046361,16.129032258064516,122.43118279569893,208610.0,70,99.51428571428572
0.15,0.32,12.5,93,2.21505376344086,8.210167731374646,16.129032258064516,122.43118279569893,208610.0,70,99.51428571428572
0.15,0.32,13.0,93,2.193548387096774,8.252464647361949,16.129032258064516,122.43118279569893,208610.0,70,99.51428571428572
0.15,0.32,13.5,93,2.161290322580645,8.373085371622981,15.053763440860216,111.35376344086022,105590.0,70,84.79714285714286
0.15,0.32,14.0,93,2.161290322580645,8.373085371622981,15.053763440860216,111.35376344086022,105590.0,70,84.79714285714286
0.15,0.32,14.5,93,2.118279569892473,8.595231442761092,15.053763440860216,116.17311827956989,150410.0,70,91.2
0.15,0.32,15.0,93,2.086021505376344,8.71395378990981,15.053763440860216,116.17311827956989,150410.0,70,91.2
0.16,0.15,10.0,377,3.018567639257294,8.466570134612375,9.814323607427056,82.62599469496021,-655000.0,305,81.04983606557377
0.16,0.15,10.5,377,2.883289124668435,8.768821239435685,9.549071618037134,82.3291777188329,-666190.0,305,80.68295081967213
0.16,0.15,11.0,377,2.777188328912467,9.037182351020286,9.549071618037134,82.86976127320955,-645810.0,305,81.3511475409836
0.16,0.15,11.5,377,2.697612732095491,9.193958393067422,9.018567639257293,77.9554376657825,-831080.0,305,74.89967213114754
0.16,0.15,12.0,377,2.6206896551724137,9.413322422028319,9.018567639257293,78.47904509283819,-811340.0,305,75.54688524590163
0.16,0.15,12.5,377,2.546419098143236,9.62221826926198,9.018567639257293,79.34535809018567,-778680.0,305,76.24065573770491
0.16,0.15,13.0,377,2.4827586206896552,9.780599505610049,9.018567639257293,79.34535809018567,-778680.0,305,76.24065573770491
0.16,0.15,13.5,377,2.4376657824933687,9.93860667367027,8.753315649867375,76.61273209549071,-881700.0,305,72.86295081967214
0.16,0.15,14.0,377,2.40053050397878,10.066713630770868,8.753315649867375,76.61273209549071,-881700.0,305,72.86295081967214
0.16,0.15,14.5,377,2.3580901856763927,10.234783431924392,8.753315649867375,79.43925729442971,-775140.0,305,76.35672131147541
0.16,0.15,15.0,377,2.310344827586207,10.438027237472904,8.753315649867375,79.43925729442971,-775140.0,305,76.35672131147541
0.16,0.16,10.0,363,2.975206611570248,8.417547020464857,9.917355371900827,82.96143250688705,-618500.0,294,84.08231292517007
0.16,0.16,10.5,363,2.840220385674931,8.721560863834394,9.641873278236915,82.65316804407713,-629690.0,294,83.70170068027211
0.16,0.16,11.0,363,2.7327823691460056,8.992121028073676,9.641873278236915,83.21460055096419,-609310.0,294,84.39489795918368
