month,date,race_code,p2_concentration,p2_top1,p2_top2mass,p2_ratio,p2_margin,p2_probs,nfeat2,calibration_domain,layer
2026-04,2026-04-19,202604191506,0.23289777141666657,0.4164944115569401,0.813222727094377,1.0498227508483398,0.019766096019503243,1:0.416494411557|2:0.0613976211925|3:0.0321387986916|5:0.0932408530215|6:0.396728315537,25,0,A
2026-04,2026-04-21,202604210702,0.11870674678686921,0.36552627121973286,0.6680654390447446,1.2081948722459395,0.06298710339472113,1:0.302539167825|2:0.36552627122|3:0.191147841606|5:0.0790918673592|6:0.0616948519899,25,0,S
2026-04,2026-04-22,202604222207,0.08431496373949499,0.4032073550451845,0.5934140592727337,2.119837766406052,0.21300065081763528,1:0.190206704228|2:0.153236951469|3:0.403207355045|5:0.175187728722|6:0.0781612605355,25,0,A
2026-04,2026-04-23,202604230507,0.0892283278309629,0.43295629714760253,0.5889377576617966,2.7756907501722257,0.2769748366334085,1:0.142194348296|2:0.155493769354|3:0.155981460514|5:0.432956297148|6:0.113374124688,25,0,A
2026-04,2026-04-23,202604231808,0.13803772915966617,0.4297623872157445,0.7093259720084626,1.5372616842583093,0.1501988024230264,1:0.279563584793|2:0.124092119374|3:0.0630823602282|5:0.10349954839|6:0.429762387216,25,0,A
2026-04,2026-04-24,202604240706,0.18139879764939182,0.38611564802492165,0.7108631124324551,1.1889720177780225,0.06136818361738816,1:0.324747464408|2:0.20732643095|3:0.0300422444636|5:0.0517682121536|6:0.386115648025,25,0,S
2026-04,2026-04-24,202604242308,0.06596929405609409,0.2728354256561537,0.5386666107348087,1.0263484533442766,0.00700424057749871,1:0.272835425656|2:0.265831185079|3:0.129527942317|5:0.26554447801|6:0.0662609689385,25,0,S
2026-04,2026-04-25,202604250705,0.0321335689027471,0.27703235262170123,0.5333756302286581,1.080708475010085,0.020689075014744374,1:0.256343277607|2:0.277032352622|3:0.106453605244|5:0.157907476062|6:0.202263288465,25,0,A
2026-04,2026-04-25,202604250708,0.22033936429124734,0.5566095426250431,0.7486666781077144,2.8981456024853838,0.3645524071423719,1:0.556609542625|2:0.115188701731|3:0.0538959161603|5:0.0822487040011|6:0.192057135483,25,0,S
2026-04,2026-04-25,202604252307,0.050888255711129204,0.3503550113482402,0.5549199516203255,1.7126835658263053,0.1457900710761549,1:0.182204797959|2:0.350355011348|3:0.164086551607|5:0.204564940272|6:0.098788698813,25,0,S
2026-04,2026-04-27,202604270602,0.09285926954731549,0.3720468857598101,0.6658750470329291,1.2662056766369147,0.07821872448669115,1:0.37204688576|2:0.293828161273|3:0.104960885674|5:0.124230683118|6:0.104933384175,25,0,A
2026-04,2026-04-27,202604271607,0.03691904405899582,0.32457116816303744,0.5286870213858409,1.5901320893911681,0.12045531494023398,1:0.204115853223|2:0.199036584307|3:0.158827087643|5:0.113449306663|6:0.324571168163,25,0,S
2026-04,2026-04-28,202604280603,0.16248498961177438,0.41012333433068676,0.7499073150577518,1.2070119770011247,0.07033935360362176,1:0.106563394611|2:0.339783980727|3:0.0629032738589|5:0.410123334331|6:0.0806260164726,25,0,S
2026-04,2026-04-28,202604280707,0.15081380616325923,0.502197530575957,0.6814333608648844,2.8018813524417343,0.3229617002870296,1:0.502197530576|2:0.117073742131|3:0.179235830289|5:0.0913834578379|6:0.110109439166,25,0,S
2026-04,2026-04-28,202604280709,0.10574593231811891,0.43130281124937525,0.645476070209255,2.013803279382182,0.21712955228949543,1:0.431302811249|2:0.145451577424|3:0.129541435453|5:0.0795309169141|6:0.21417325896,25,0,S
2026-04,2026-04-28,202604280806,0.1870417125049939,0.5063590291981102,0.6926295253227335,2.718407046381265,0.32008853307348684,1:0.506359029198|2:0.186270496125|3:0.146271608121|5:0.132400292606|6:0.0286985739504,25,0,A
2026-04,2026-04-29,202604290306,0.07741935293046132,0.38987628387111206,0.6005056695545637,1.8510061291117512,0.17924689818766035,1:0.101062936044|2:0.187337687015|3:0.210629385683|5:0.389876283871|6:0.111093707387,25,0,A
2026-04,2026-04-29,202604291402,0.23108215433198231,0.4384709900608897,0.8028786376773339,1.2032431068032923,0.07406334244444546,1:0.438470990061|2:0.364407647616|3:0.0826882012963|5:0.093810282268|6:0.0206228787584,25,0,A
2026-05,2026-05-01,202605012306,0.22003886003756012,0.5485733160195876,0.7204524465071738,3.191622592361251,0.3766941855320014,1:0.54857331602|2:0.160931769383|3:0.171879130488|5:0.0408618813203|6:0.0777539027895,25,0,S
2026-05,2026-05-02,202605020202,0.19450670412017668,0.4737711498899717,0.7492604162282379,1.7197444974434695,0.1982818835517055,1:0.109432182722|2:0.47377114989|3:0.114476775583|5:0.275489266338|6:0.0268306254666,25,0,S
2026-05,2026-05-02,202605021103,0.1670240075798729,0.4578215758074712,0.6874545713736397,1.9937098964314566,0.22818858024130256,1:0.457821575807|2:0.17617761395|3:0.109625606946|5:0.229632995566|6:0.0267422077298,25,0,S
