date,race_code,boat,tilt,band,delta,up,down,same,win,makuri,ms,attack,stfast,strength,turn,stretch
2026-06-01,202606011107,5,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.5706,0.41020986358866735,0.6258342077649528
2026-06-01,202606011108,3,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.6039999999999999,0.7606295907660021,0.43750262329485834
2026-06-01,202606011108,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.2505,0.20984260230849944,0.24562434417628543
2026-06-01,202606011108,5,0.0,0,,0,0,0,0,0,0,0,1.0,0.0,0.2854197271773347,0.17166841552990555
2026-06-01,202606011109,3,0.0,0,,0,0,0,0,0,0,0,0.5,0.3023,0.6200524658971669,0.9314585519412383
2026-06-01,202606011109,4,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.04950000000000001,0.009842602308499473,0.3456243441762854
2026-06-01,202606011109,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.3457,0.22989506820566633,0.4570828961175236
2026-06-01,202606011110,3,0.0,0,,0,0,0,1,0,0,0,0.6666666666666666,0.5767,0.5051049317943337,0.6429171038824765
2026-06-01,202606011110,4,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.43750000000000006,0.019685204616998953,0.2712486883525708
2026-06-01,202606011110,5,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.1763,0.2295278069254984,0.5768730325288562
2026-06-01,202606011111,3,0.0,0,,0,0,0,0,0,0,0,0.25,0.11300000000000004,0.33426547743966417,0.7595802728226653
2026-06-01,202606011111,4,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.5685,0.039370409233997906,0.6024973767051417
2026-06-01,202606011111,5,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.6372,0.7054721930745015,0.6631269674711437
2026-06-01,202606011112,3,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.8794,0.5905246589716685,0.374585519412382
2026-06-01,202606011112,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.3143,0.9047376705141659,0.922707240293809
2026-06-01,202606011112,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.47850000000000004,0.6,0.66
2026-06-01,202606011201,3,-0.5,-0.5以下,,0,0,0,1,0,1,1,0.6666666666666666,0.5994999999999999,0.5006410256410256,0.5312820512820513
2026-06-01,202606011201,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.1666666666666666,0.39280000000000004,0.0,0.12
2026-06-01,202606011201,5,1.5,+1.0以上,,0,0,0,0,0,0,0,0.5833333333333334,0.4479000000000001,0.12473290598290598,0.16196581196581197
2026-06-01,202606011202,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.6105,0.624732905982906,0.661965811965812
2026-06-01,202606011202,4,-0.5,-0.5以下,,0,0,0,1,0,1,1,0.4166666666666666,0.4447999999999999,0.29935897435897435,0.32871794871794874
2026-06-01,202606011202,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.5612000000000001,0.4008547008547009,0.28170940170940173
2026-06-01,202606011203,3,0.0,0,,0,0,0,0,0,0,0,0.25,0.2564,0.7995726495726496,0.8591452991452991
2026-06-01,202606011203,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.7349,0.2997863247863248,0.26957264957264954
2026-06-01,202606011203,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.8333333333333334,0.4790999999999999,0.19999999999999996,0.37999999999999995
2026-06-01,202606011204,3,-0.5,-0.5以下,,0,0,0,1,1,0,1,0.5833333333333334,0.7493999999999998,0.8747329059829059,0.9119658119658121
2026-06-01,202606011204,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.25,0.0,0.12526709401709402,0.23803418803418802
2026-06-01,202606011204,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.8333333333333334,0.23609999999999995,0.0,0.0
2026-06-01,202606011205,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.1666666666666666,0.16310000000000005,0.6,0.48
2026-06-01,202606011205,4,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.26470000000000005,0.750534188034188,0.5260683760683761
2026-06-01,202606011205,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.15300000000000005,0.6,0.54
2026-06-01,202606011206,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.324,0.7995726495726496,0.7391452991452991
2026-06-01,202606011206,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.8124,0.39914529914529917,0.2782905982905983
2026-06-01,202606011206,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.6105,0.624732905982906,0.661965811965812
2026-06-01,202606011207,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.19339999999999996,0.10021367521367519,0.0704273504273504
2026-06-01,202606011207,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.8333333333333334,0.4790999999999999,0.19999999999999996,0.37999999999999995
