date,race_code,venue,boat,racer_id,racer_name,ex_course,actual_course,course_same,ex_st,actual_st,delta_actual_minus_ex,inside_ex_st,outside_ex_st,inside_bucket,outside_bucket,own_bucket
2026-05-01,202605010505,05,6,5436,市川 瑚幸,6,6,1,0.16,0.17,0.010000000000000009,0.24,,>.20,missing,.16-.20
2026-05-01,202605010506,05,1,4460,後藤 翔之,1,1,1,0.14,0.07,-0.07,,0.25,missing,>.20,.11-.15
2026-05-01,202605010506,05,2,4676,後藤 隼之,2,2,1,0.25,0.12,-0.13,0.14,0.37,.11-.15,>.20,>.20
2026-05-01,202605010506,05,3,5201,村上 宗太郎,3,3,1,0.37,0.39,0.020000000000000018,0.25,0.15,>.20,.11-.15,>.20
2026-05-01,202605010506,05,4,3812,山崎 聖司,4,4,1,0.15,0.09,-0.06,0.37,0.19,>.20,.16-.20,.11-.15
2026-05-01,202605010506,05,5,4075,中野 次郎,5,5,1,0.19,0.04,-0.15,0.15,0.05,.11-.15,<=.05,.16-.20
2026-05-01,202605010506,05,6,4496,内堀 学,6,6,1,0.05,0.01,-0.04,0.19,,.16-.20,missing,<=.05
2026-05-01,202605010507,05,1,4134,杉山 貴博,1,1,1,0.07,0.19,0.12,,-0.02,missing,F,.06-.10
2026-05-01,202605010507,05,2,4085,荻野 裕介,2,2,1,-0.02,0.19,0.21,0.07,-0.02,.06-.10,F,F
2026-05-01,202605010507,05,3,4906,鈴木 雅希,3,3,1,-0.02,0.16,0.18,-0.02,0.21,F,>.20,F
2026-05-01,202605010507,05,4,5228,若林 樹蘭,4,4,1,0.21,0.12,-0.09,-0.02,0.06,F,.06-.10,>.20
2026-05-01,202605010507,05,5,4095,福来 剛,5,5,1,0.06,0.14,0.08000000000000002,0.21,0.13,>.20,.11-.15,.06-.10
2026-05-01,202605010507,05,6,4792,杉村 賢也,6,6,1,0.13,0.42,0.29,0.06,,.06-.10,missing,.11-.15
2026-05-01,202605010508,05,1,5096,上原 崚,1,1,1,0.19,0.16,-0.03,,0.08,missing,.06-.10,.16-.20
2026-05-01,202605010508,05,2,4791,黒澤 めぐみ,3,3,1,0.14,0.36,0.21999999999999997,0.08,0.24,.06-.10,>.20,.11-.15
2026-05-01,202605010508,05,3,3072,西田 靖,2,2,1,0.08,0.16,0.08,0.19,0.14,.16-.20,.11-.15,.06-.10
2026-05-01,202605010508,05,4,4863,三浦 裕貴,4,4,1,0.24,0.25,0.010000000000000009,0.14,0.08,.11-.15,.06-.10,>.20
2026-05-01,202605010508,05,5,4266,長田 頼宗,5,5,1,0.08,0.23,0.15000000000000002,0.24,0.09,>.20,.06-.10,.06-.10
2026-05-01,202605010508,05,6,5044,渡邉 健,6,6,1,0.09,0.29,0.19999999999999998,0.08,,.06-.10,missing,.06-.10
2026-05-01,202605010509,05,1,4086,寺本 重宣,1,1,1,0.16,0.15,-0.010000000000000009,,0.12,missing,.11-.15,.16-.20
2026-05-01,202605010509,05,2,3226,浦田 信義,2,2,1,0.12,0.16,0.04000000000000001,0.16,0.14,.16-.20,.11-.15,.11-.15
