rule,head_q,guard_q,conf_cut,month,R,heads,head_rate,hit5,trifecta5_rate,head_wilson_lo,tri5_wilson_lo,avg_top5_mass
HGB_q0.995,0.995,,0.5,2026-05,3,3,1.0,3,1.0,0.4385029682449546,0.4385029682449546,0.6094923981942325
HGB_q0.995,0.995,,0.5,2026-06,7,7,1.0,3,0.42857142857142855,0.6456695649333126,0.15821985525146975,0.5911373860489378
HGB_q0.995,0.995,,0.55,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.55,2026-03,2,2,1.0,0,0.0,0.34238022750665303,0.0,0.6597417462142057
HGB_q0.995,0.995,,0.55,2026-04,5,5,1.0,3,0.6,0.5655175352168251,0.2307242812760128,0.6183775113314794
HGB_q0.995,0.995,,0.55,2026-05,2,2,1.0,2,1.0,0.34238022750665303,0.34238022750665303,0.6392616522688332
HGB_q0.995,0.995,,0.55,2026-06,4,4,1.0,3,0.75,0.5101091635454027,0.30064184258240184,0.6345470290767786
HGB_q0.995,0.995,,0.6,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.6,2026-03,2,2,1.0,0,0.0,0.34238022750665303,0.0,0.6597417462142057
HGB_q0.995,0.995,,0.6,2026-04,2,2,1.0,1,0.5,0.34238022750665303,0.09453120573423074,0.683647251484423
HGB_q0.995,0.995,,0.6,2026-05,2,2,1.0,2,1.0,0.34238022750665303,0.34238022750665303,0.6392616522688332
HGB_q0.995,0.995,,0.6,2026-06,3,3,1.0,3,1.0,0.4385029682449546,0.4385029682449546,0.650699415495946
HGB_q0.995,0.995,,0.65,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.65,2026-03,2,2,1.0,0,0.0,0.34238022750665303,0.0,0.6597417462142057
HGB_q0.995,0.995,,0.65,2026-04,2,2,1.0,1,0.5,0.34238022750665303,0.09453120573423074,0.683647251484423
HGB_q0.995,0.995,,0.65,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.65,2026-06,2,2,1.0,2,1.0,0.34238022750665303,0.34238022750665303,0.6707681399113898
HGB_q0.995,0.995,,0.7,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.7,2026-06,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.75,2026-06,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-02,14,12,0.8571428571428571,3,0.21428571428571427,0.6005862050302965,0.07571386712693184,0.6963457909184181
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-03,45,38,0.8444444444444444,25,0.5555555555555556,0.7121609112760374,0.41176134493521055,0.6702950998237485
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-04,64,59,0.921875,37,0.578125,0.8298046264583709,0.456100315400829,0.5978120197025427
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-05,82,69,0.8414634146341463,39,0.47560975609756095,0.7474213307168286,0.37104979924785914,0.59387709040229
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.0,2026-06,95,75,0.7894736842105263,29,0.30526315789473685,0.697068523805465,0.22172919278467978,0.5992832785118908
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-02,14,12,0.8571428571428571,3,0.21428571428571427,0.6005862050302965,0.07571386712693184,0.6963457909184181
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-03,45,38,0.8444444444444444,25,0.5555555555555556,0.7121609112760374,0.41176134493521055,0.6702950998237485
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-04,64,59,0.921875,37,0.578125,0.8298046264583709,0.456100315400829,0.5978120197025427
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-05,81,68,0.8395061728395061,39,0.48148148148148145,0.7445295089488065,0.37599641612884654,0.5959691662701477
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.45,2026-06,95,75,0.7894736842105263,29,0.30526315789473685,0.697068523805465,0.22172919278467978,0.5992832785118908
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-02,14,12,0.8571428571428571,3,0.21428571428571427,0.6005862050302965,0.07571386712693184,0.6963457909184181
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-03,44,38,0.8636363636363636,25,0.5681818181818182,0.7329054695148456,0.4222414699362943,0.6750343175844363
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-04,61,56,0.9180327868852459,37,0.6065573770491803,0.8220533819707465,0.48117252628978935,0.6039347988520205
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-05,72,60,0.8333333333333334,35,0.4861111111111111,0.7308929306946451,0.37432674529071863,0.611085240967912
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.5,2026-06,90,70,0.7777777777777778,28,0.3111111111111111,0.6815268960895451,0.22485854647009126,0.6058508199697907
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-02,13,11,0.8461538461538461,3,0.23076923076923078,0.5776536898051745,0.08179528718498569,0.7077894051503383
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-03,43,37,0.8604651162790697,24,0.5581395348837209,0.7273641203261714,0.41107614452824104,0.6782224012120487
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-04,52,49,0.9423076923076923,34,0.6538461538461539,0.8435748863103923,0.5180355424727014,0.6174680886016387
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-05,59,50,0.847457627118644,29,0.4915254237288136,0.7348201621622644,0.3684383690774015,0.6302318696198033
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.55,2026-06,72,58,0.8055555555555556,25,0.3472222222222222,0.6996724105411147,0.24753423008275116,0.6247224114238068
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-02,13,11,0.8461538461538461,3,0.23076923076923078,0.5776536898051745,0.08179528718498569,0.7077894051503383
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-03,39,35,0.8974358974358975,22,0.5641025641025641,0.7642114553714348,0.40975691648669477,0.6890314779897242
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-04,28,26,0.9285714285714286,21,0.75,0.7735463743160095,0.5664432968100104,0.6499026495511553
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-05,43,37,0.8604651162790697,23,0.5348837209302325,0.7273641203261714,0.38915640472313967,0.6504025170125137
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.6,2026-06,42,34,0.8095238095238095,17,0.40476190476190477,0.6669922598996131,0.27042861147481323,0.6565927682198618
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-02,11,9,0.8181818181818182,2,0.18181818181818182,0.523019438039156,0.05136768974608513,0.7228106404861925
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-03,31,28,0.9032258064516129,19,0.6129032258064516,0.7510006155660716,0.4382410861966073,0.7060313483083636
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-04,12,11,0.9166666666666666,8,0.6666666666666666,0.646120088858883,0.39062208887279953,0.6856286264739092
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-05,15,13,0.8666666666666667,8,0.5333333333333333,0.6211801716767764,0.30116980025498397,0.698644301665556
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.65,2026-06,21,16,0.7619047619047619,10,0.47619047619047616,0.5490882631704924,0.2834400610153417,0.6895269779905057
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-02,8,6,0.75,2,0.25,0.40927543031016883,0.071479212752109,0.745452846545538
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-03,15,13,0.8666666666666667,9,0.6,0.6211801716767764,0.357468301206246,0.7372297462466796
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-04,2,2,1.0,1,0.5,0.34238022750665303,0.09453120573423074,0.7240615599447466
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-05,5,3,0.6,2,0.4,0.2307242812760128,0.11762077423264783,0.748902728656091
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.7,2026-06,8,7,0.875,4,0.5,0.5291118177871464,0.21521606221387757,0.720079219023672
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-02,3,1,0.3333333333333333,0,0.0,0.06149194472039621,5.551115123125783e-17,0.7888647289556734
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-03,4,3,0.75,2,0.5,0.30064184258240184,0.15003898915214947,0.7779758716644878
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-04,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-05,2,1,0.5,1,0.5,0.09453120573423074,0.09453120573423074,0.7823524206065028
HGB_q0.975_AND_LR_q0.900,0.975,0.9,0.75,2026-06,0,0,,0,,,,
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.0,2026-02,14,12,0.8571428571428571,3,0.21428571428571427,0.6005862050302965,0.07571386712693184,0.6963457909184181
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.0,2026-03,38,32,0.8421052631578947,21,0.5526315789473685,0.6958318822077686,0.39706297121992484,0.6644781846224503
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.0,2026-04,53,48,0.9056603773584906,29,0.5471698113207547,0.7974627262370373,0.414539754871058,0.600042007036358
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.0,2026-05,72,64,0.8888888888888888,36,0.5,0.7957706176633595,0.3874709230948976,0.5915109855467947
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.0,2026-06,76,61,0.8026315789473685,23,0.3026315789473684,0.6995616502581179,0.21091334677752482,0.5949722288182505
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.45,2026-02,14,12,0.8571428571428571,3,0.21428571428571427,0.6005862050302965,0.07571386712693184,0.6963457909184181
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.45,2026-03,38,32,0.8421052631578947,21,0.5526315789473685,0.6958318822077686,0.39706297121992484,0.6644781846224503
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.45,2026-04,53,48,0.9056603773584906,29,0.5471698113207547,0.7974627262370373,0.414539754871058,0.600042007036358
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.45,2026-05,72,64,0.8888888888888888,36,0.5,0.7957706176633595,0.3874709230948976,0.5915109855467947
HGB_q0.975_AND_LR_q0.950,0.975,0.95,0.45,2026-06,76,61,0.8026315789473685,23,0.3026315789473684,0.6995616502581179,0.21091334677752482,0.5949722288182505
