month,date,race_code,actual2,actual3,p2,p3,nfeat2,nfeat3,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-05,2026-05-04,202605040805,2,5,1:0.364274154637|2:0.486035417937|3:0.046979509529|5:0.0414727739098|6:0.0612381439872,1:0.0916330196866|2:0.146032891925|3:0.160731458461|5:0.426490964646|6:0.175111665282,25,25,1,1,1,0,5
2026-05,2026-05-04,202605041410,1,6,1:0.194748117852|2:0.233121792746|3:0.138257982414|5:0.292526162893|6:0.141345944095,1:0.0991735206764|2:0.417610666494|3:0.092404550304|5:0.336487164803|6:0.0543240977228,25,25,19,3,5,0,7
2026-05,2026-05-05,202605050203,5,6,1:0.413757162804|2:0.367726666385|3:0.0346746223578|5:0.114729110552|6:0.0691124379021,1:0.279282878724|2:0.151590164538|3:0.108231897006|5:0.314389518386|6:0.146505541346,25,25,12,3,4,0,14
2026-05,2026-05-05,202605050702,5,2,1:0.287364667577|2:0.394496556261|3:0.0993865228363|5:0.113600344559|6:0.105151908767,1:0.224894602242|2:0.250319864933|3:0.0721954688971|5:0.187610643198|6:0.26497942073,25,25,10,3,2,1,6
2026-05,2026-05-06,202605061105,1,3,1:0.53433629919|2:0.16413417281|3:0.152217853908|5:0.0696617482546|6:0.0796499258375,1:0.0588614884491|2:0.398102932527|3:0.0913933191334|5:0.110507757783|6:0.341134502108,25,25,4,1,4,0,1
2026-05,2026-05-07,202605072406,1,5,1:0.546741597997|2:0.114189350261|3:0.072676091671|5:0.044471344171|6:0.221921615901,1:0.269524999656|2:0.0691009158969|3:0.156714625603|5:0.156821293457|6:0.347838165387,25,25,2,1,3,0,13
2026-05,2026-05-09,202605091410,2,6,1:0.130894426531|2:0.486470048868|3:0.0444491759914|5:0.186346816925|6:0.151839531684,1:0.206246005603|2:0.240239584619|3:0.073356702777|5:0.189939189356|6:0.290218517645,25,25,1,1,1,0,4
2026-05,2026-05-11,202605110811,2,1,1:0.522766613|2:0.147175350486|3:0.0586927111507|5:0.236977834103|6:0.03438749126,1:0.136474823147|2:0.191980372913|3:0.0693251406906|5:0.434912801988|6:0.167306861262,25,25,11,3,4,0,5
2026-05,2026-05-11,202605111110,1,2,1:0.46156670086|2:0.0817007495371|3:0.339957407878|5:0.0643190149817|6:0.0524561267433,1:0.0388503188801|2:0.0763734115237|3:0.019392592408|5:0.789958341909|6:0.0754253352789,25,25,3,1,2,0,12
2026-05,2026-05-11,202605111606,5,6,1:0.184944357657|2:0.295463461497|3:0.0326045984611|5:0.455296187331|6:0.0316913950543,1:0.15320898353|2:0.121122518198|3:0.165319283929|5:0.244858352367|6:0.315490861976,25,25,1,1,1,1,1
2026-05,2026-05-11,202605112308,2,5,1:0.37722274257|2:0.256107404668|3:0.119249072501|5:0.101772096445|6:0.145648683817,1:0.249962389297|2:0.395541895089|3:0.0805774218946|5:0.240461480638|6:0.0334568130815,25,25,4,2,3,1,1
2026-05,2026-05-13,202605130406,2,1,1:0.158769300544|2:0.270172918048|3:0.133378771929|5:0.387240948808|6:0.0504380606703,1:0.0551342647707|2:0.110240833965|3:0.0503553901243|5:0.208333663752|6:0.575935847388,25,25,11,2,4,0,9
2026-05,2026-05-13,202605130408,3,5,1:0.651672544508|2:0.150204622798|3:0.0887382780118|5:0.071427258239|6:0.0379572964425,1:0.166769365137|2:0.346987888022|3:0.104381857023|5:0.340587028459|6:0.041273861359,25,25,8,3,2,1,17
2026-05,2026-05-16,202605160603,1,6,1:0.522844584509|2:0.144517368715|3:0.0429417875947|5:0.0524785821273|6:0.237217677053,1:0.243249650835|2:0.37934693317|3:0.0842347463985|5:0.036532452639|6:0.256636216957,25,25,2,1,2,0,4
2026-05,2026-05-18,202605181406,1,2,1:0.191315319632|2:0.143358457777|3:0.0623882018692|5:0.2493441156|6:0.353593905122,1:0.221381488538|2:0.172829608923|3:0.142503998238|5:0.382772290318|6:0.0805126139829,25,25,10,3,3,1,7
2026-05,2026-05-19,202605191406,1,2,1:0.155283101328|2:0.298702242359|3:0.106558019138|5:0.0487922480257|6:0.390664389149,1:0.108401746575|2:0.121962362153|3:0.135867266712|5:0.404670886949|6:0.229097737612,25,25,14,3,4,1,6
2026-05,2026-05-20,202605201405,6,1,1:0.287793820649|2:0.070900907042|3:0.0661317704464|5:0.0638926879057|6:0.511280813957,1:0.0725870081634|2:0.323055034008|3:0.136661055559|5:0.26118015689|6:0.206516745379,25,25,7,1,5,0,4
2026-05,2026-05-20,202605201505,3,2,1:0.0768090897799|2:0.129874662642|3:0.144922337651|5:0.527395257964|6:0.120998651963,1:0.262123591601|2:0.254660737557|3:0.10348180388|5:0.22902691205|6:0.150706954912,25,25,6,2,2,1,9
2026-05,2026-05-21,202605211905,1,6,1:0.767345752594|2:0.0447406702166|3:0.0625766118266|5:0.0103207951129|6:0.11501617025,1:0.040494453567|2:0.183108745998|3:0.0632951993461|5:0.451887832778|6:0.26121376831,25,25,2,1,2,0,1
2026-05,2026-05-23,202605231808,1,2,1:0.281909622822|2:0.149163091228|3:0.156635194788|5:0.0621646800124|6:0.350127411149,1:0.188558509269|2:0.200001662716|3:0.0449233998513|5:0.219182709208|6:0.347333718956,25,25,6,2,3,0,14
2026-05,2026-05-24,202605241910,1,6,1:0.393440815106|2:0.190552287507|3:0.118253785544|5:0.177181063828|6:0.120572048015,1:0.0897134929535|2:0.232942731811|3:0.1002018761|5:0.15036219971|6:0.426779699426,25,25,1,1,1,0,1
2026-05,2026-05-24,202605242411,2,6,1:0.517926006368|2:0.0954785339241|3:0.140969543968|5:0.114052101562|6:0.131573814177,1:0.0860497473657|2:0.179622889696|3:0.0687696470567|5:0.342512431858|6:0.323045284024,25,25,10,5,2,0,9
2026-05,2026-05-25,202605252408,1,6,1:0.605302628301|2:0.0602188053049|3:0.178027430732|5:0.0866072756776|6:0.069843859985,1:0.685873858431|2:0.0893941494432|3:0.0589651378135|5:0.0628271458857|6:0.102939708427,25,25,2,1,2,0,5
