date,month,race_code,venue,race,legacy_pre_p,new_pre_p,new_threshold,new_pre_selected,p109,live_buy_if_new,entry_course,head_hit,rank_l50,payout100
2026-03-01,2026-03,202603012008,20,08R,0.7766484175864212,0.6228504501802419,0.58,1,0.8778693392359482,1,1,1,15,1760
2026-03-01,2026-03,202603012009,20,09R,0.4596406889324581,0.6228504501802419,0.58,1,0.4704900206047462,0,1,1,2,840
2026-03-01,2026-03,202603012010,20,10R,0.5820927395444611,0.6228504501802419,0.58,1,0.4481568192778573,0,1,0,0,11410
2026-03-01,2026-03,202603012011,20,11R,0.6803519915322598,0.6228504501802419,0.58,1,0.5943441803308237,0,1,1,13,3270
2026-03-01,2026-03,202603012012,20,12R,0.8365536569480339,0.6228504501802419,0.58,1,0.8234174038645613,1,1,1,16,1660
2026-03-01,2026-03,202603012112,21,12R,0.6236993567647549,0.6047751696049635,0.58,1,0.5066544204409448,0,1,1,8,1610
2026-03-01,2026-03,202603012201,22,01R,0.5146401462960631,0.5923019109975882,0.58,1,0.6771876590729031,0,1,1,3,1140
2026-03-01,2026-03,202603012202,22,02R,0.3005041165503877,0.5923019109975882,0.58,1,0.480739776890165,0,1,1,6,830
2026-03-01,2026-03,202603012203,22,03R,0.3004326643499683,0.5923019109975882,0.58,1,0.32140037178411074,0,1,0,0,1760
2026-03-01,2026-03,202603012204,22,04R,0.30054110398449446,0.5923019109975882,0.58,1,0.27839079774939934,0,1,1,3,860
2026-03-01,2026-03,202603012205,22,05R,0.4458931142722616,0.5923019109975882,0.58,1,0.3608738387597036,0,1,1,3,2960
2026-03-01,2026-03,202603012206,22,06R,0.5125349614932047,0.5923019109975882,0.58,1,0.573623403332236,0,1,0,0,1370
2026-03-01,2026-03,202603012207,22,07R,0.3538967154711883,0.5923019109975882,0.58,1,0.5044501214301131,0,1,1,5,1780
2026-03-01,2026-03,202603012208,22,08R,0.5813500756647915,0.5923019109975882,0.58,1,0.7881877169127206,1,1,1,4,1150
2026-03-01,2026-03,202603012209,22,09R,0.5089775372798796,0.5923019109975882,0.58,1,0.4928811957915183,0,1,0,0,9920
2026-03-01,2026-03,202603012210,22,10R,0.5018182392263159,0.5923019109975882,0.58,1,0.47897705068515595,0,1,1,3,700
2026-03-01,2026-03,202603012211,22,11R,0.5833016559140689,0.5923019109975882,0.58,1,0.504535105212281,0,1,0,0,3220
2026-03-01,2026-03,202603012212,22,12R,0.6710238252703415,0.5923019109975882,0.58,1,0.7734792308885015,1,1,1,11,1270
2026-03-01,2026-03,202603012401,24,01R,0.47566098667758105,0.6648677763015192,0.58,1,0.5660303490335178,0,1,1,3,2380
2026-03-01,2026-03,202603012402,24,02R,0.5682805527306626,0.6648677763015192,0.58,1,0.7434728289119114,1,1,1,1,650
2026-03-01,2026-03,202603012403,24,03R,0.44301619181368246,0.6648677763015192,0.58,1,0.49620648384123256,0,1,0,0,15920
2026-03-01,2026-03,202603012404,24,04R,0.5428061145640675,0.6648677763015192,0.58,1,0.4493527487927968,0,1,1,2,370
2026-03-01,2026-03,202603012405,24,05R,0.4043319485900548,0.6648677763015192,0.58,1,0.3883537518186006,0,1,0,0,3290
2026-03-01,2026-03,202603012406,24,06R,0.5986981832399484,0.6648677763015192,0.58,1,0.6462027767963092,0,1,1,4,3550
2026-03-01,2026-03,202603012407,24,07R,0.47005976681178024,0.6648677763015192,0.58,1,0.4842384124127126,0,1,0,0,9370
2026-03-01,2026-03,202603012408,24,08R,0.7995373662446205,0.6648677763015192,0.58,1,0.8170701201026224,1,1,1,14,3060
2026-03-01,2026-03,202603012409,24,09R,0.7976171532736901,0.6648677763015192,0.58,1,0.9228472178111979,1,1,1,4,1000
2026-03-01,2026-03,202603012410,24,10R,0.788998449899884,0.6648677763015192,0.58,1,0.8151560612906299,1,1,1,2,970
2026-03-01,2026-03,202603012411,24,11R,0.7743056393272703,0.6648677763015192,0.58,1,0.8530381212398762,1,1,1,19,5600
2026-03-01,2026-03,202603012412,24,12R,0.7033097908971581,0.6648677763015192,0.58,1,0.6382679759216595,0,1,1,2,670
2026-03-02,2026-03,202603020301,03,01R,0.2982121861710197,0.47164632965375736,0.58,0,0.35670692521448416,0,1,1,12,5880
2026-03-02,2026-03,202603020302,03,02R,0.6565844904537111,0.47164632965375736,0.58,0,0.7489686898107998,0,1,1,15,2290
2026-03-02,2026-03,202603020303,03,03R,0.2613556082390754,0.47164632965375736,0.58,0,0.21629648063469206,0,1,1,10,8120
2026-03-02,2026-03,202603020304,03,04R,0.2187137193015676,0.47164632965375736,0.58,0,0.20790898287443427,0,1,0,0,13800
2026-03-02,2026-03,202603020305,03,05R,0.2480300554225478,0.47164632965375736,0.58,0,0.1856118926520971,0,1,0,0,5590
2026-03-02,2026-03,202603020306,03,06R,0.3588767625477895,0.47164632965375736,0.58,0,0.30012931346851335,0,1,1,5,3290
2026-03-02,2026-03,202603020307,03,07R,0.4559388633509606,0.47164632965375736,0.58,0,0.37276580688520544,0,1,0,0,6140
2026-03-02,2026-03,202603020308,03,08R,0.3382686490671657,0.47164632965375736,0.58,0,0.309632602097152,0,1,0,0,3960
2026-03-02,2026-03,202603020309,03,09R,0.441536207347967,0.47164632965375736,0.58,0,0.3740077114690543,0,1,1,8,5230
2026-03-02,2026-03,202603020310,03,10R,0.5377657009132866,0.47164632965375736,0.58,0,0.6407319386665453,0,1,0,0,5140
2026-03-02,2026-03,202603020311,03,11R,0.5329616229759654,0.47164632965375736,0.58,0,0.5486682252286966,0,1,1,4,2070
2026-03-02,2026-03,202603020312,03,12R,0.6356541091429762,0.47164632965375736,0.58,0,0.6343412433824399,0,1,1,1,780
2026-03-02,2026-03,202603020401,04,01R,0.14258769888758452,0.4370474472821334,0.58,0,0.13765726762271874,0,1,0,0,4360
2026-03-02,2026-03,202603020402,04,02R,0.20278553111342526,0.4370474472821334,0.58,0,0.1305296325945819,0,1,1,4,2790
2026-03-02,2026-03,202603020403,04,03R,0.3589190031081221,0.4370474472821334,0.58,0,0.2674840795820933,0,1,0,0,5030
2026-03-02,2026-03,202603020404,04,04R,0.5444232329398287,0.4370474472821334,0.58,0,0.503768133222004,0,1,0,0,6540
2026-03-02,2026-03,202603020405,04,05R,0.6157539116212024,0.4370474472821334,0.58,0,0.775518846403514,0,1,0,0,15500
2026-03-02,2026-03,202603020406,04,06R,0.46785617755273873,0.4370474472821334,0.58,0,0.5015391362103869,0,1,0,0,2870
2026-03-02,2026-03,202603020407,04,07R,0.5442262557146093,0.4370474472821334,0.58,0,0.4579403362277062,0,1,0,0,1510
2026-03-02,2026-03,202603020408,04,08R,0.4297536557126425,0.4370474472821334,0.58,0,0.30334037976883693,0,1,0,0,1510
2026-03-02,2026-03,202603020409,04,09R,0.37629432669815804,0.4370474472821334,0.58,0,0.3907629511563524,0,1,1,8,7680
2026-03-02,2026-03,202603020410,04,10R,0.4963441028919677,0.4370474472821334,0.58,0,0.42202913014200094,0,1,1,8,2070
2026-03-02,2026-03,202603020411,04,11R,0.6733820286451414,0.4370474472821334,0.58,0,0.7507237127845469,0,1,1,9,4650
2026-03-02,2026-03,202603020412,04,12R,0.7448425136824463,0.4370474472821334,0.58,0,0.6990400562955229,0,1,0,0,29730
2026-03-02,2026-03,202603020601,06,01R,0.19716351998119924,0.5432537301709243,0.58,0,0.25837222406028937,0,1,1,9,3540
2026-03-02,2026-03,202603020602,06,02R,0.5066485950257348,0.5432537301709243,0.58,0,0.5037029877802226,0,1,0,0,3600
2026-03-02,2026-03,202603020603,06,03R,0.2532377754857149,0.5432537301709243,0.58,0,0.27277879808964944,0,1,0,0,820
2026-03-02,2026-03,202603020604,06,04R,0.5280161611503668,0.5432537301709243,0.58,0,0.6199280682105675,0,1,0,0,19190
2026-03-02,2026-03,202603020605,06,05R,0.45185084537914644,0.5432537301709243,0.58,0,0.36642584873418466,0,1,0,0,12920
2026-03-02,2026-03,202603020606,06,06R,0.2567364048330786,0.5432537301709243,0.58,0,0.2511978515978365,0,1,0,0,3500
2026-03-02,2026-03,202603020607,06,07R,0.34350071868703214,0.5432537301709243,0.58,0,0.25263980593919994,0,1,0,0,18190
2026-03-02,2026-03,202603020608,06,08R,0.6284385064158398,0.5432537301709243,0.58,0,0.6556531190034975,0,1,1,15,4060
2026-03-02,2026-03,202603020609,06,09R,0.6584229670015946,0.5432537301709243,0.58,0,0.6698472715521374,0,1,1,3,1540
2026-03-02,2026-03,202603020611,06,11R,0.4619688632947389,0.5432537301709243,0.58,0,0.4363623357232061,0,1,0,0,1140
2026-03-02,2026-03,202603020612,06,12R,0.6932084400049994,0.5432537301709243,0.58,0,0.6005891748616948,0,1,1,4,690
2026-03-02,2026-03,202603020701,07,01R,0.3375005100979202,0.5809698025904224,0.58,1,0.3889646729417773,0,1,0,0,1460
2026-03-02,2026-03,202603020702,07,02R,0.308459730738127,0.5809698025904224,0.58,1,0.2635899813088443,0,1,0,0,3650
2026-03-02,2026-03,202603020703,07,03R,0.5202497554974904,0.5809698025904224,0.58,1,0.4502773686181487,0,1,0,0,4910
2026-03-02,2026-03,202603020705,07,05R,0.3802957864545304,0.5809698025904224,0.58,1,0.29418035184576613,0,1,0,0,13940
2026-03-02,2026-03,202603020706,07,06R,0.4891379853579705,0.5809698025904224,0.58,1,0.3915423735455854,0,1,0,0,3020
2026-03-02,2026-03,202603020707,07,07R,0.5222393303803681,0.5809698025904224,0.58,1,0.6026302841485266,0,1,0,0,6620
2026-03-02,2026-03,202603020708,07,08R,0.5980351550178253,0.5809698025904224,0.58,1,0.5031308923387569,0,1,0,0,8110
2026-03-02,2026-03,202603020709,07,09R,0.7026194060799933,0.5809698025904224,0.58,1,0.7363022592300069,1,1,1,5,1780
2026-03-02,2026-03,202603020710,07,10R,0.6686497761292407,0.5809698025904224,0.58,1,0.667317633526752,0,1,1,8,1580
2026-03-02,2026-03,202603020711,07,11R,0.6562687134118874,0.5809698025904224,0.58,1,0.5686662606430161,0,1,0,0,1060
2026-03-02,2026-03,202603020712,07,12R,0.8058579848816662,0.5809698025904224,0.58,1,0.8195025249799136,1,1,1,4,920
2026-03-02,2026-03,202603020801,08,01R,0.5279067945054295,0.5766323751335279,0.58,0,0.716199235684171,0,0,1,2,510
2026-03-02,2026-03,202603020802,08,02R,0.7446493809603772,0.5766323751335279,0.58,0,0.8657594941507232,0,0,1,13,5500
2026-03-02,2026-03,202603020803,08,03R,0.5549389931523685,0.5766323751335279,0.58,0,0.6417590772480867,0,0,0,0,710
2026-03-02,2026-03,202603020804,08,04R,0.4544426251288368,0.5766323751335279,0.58,0,0.5464672744456601,0,0,1,12,1480
2026-03-02,2026-03,202603020805,08,05R,0.16323230822326676,0.5766323751335279,0.58,0,0.13661551147145065,0,0,0,0,1020
2026-03-02,2026-03,202603020806,08,06R,0.5505528237244773,0.5766323751335279,0.58,0,0.6872596811912283,0,0,1,8,1830
2026-03-02,2026-03,202603020807,08,07R,0.3314041479445056,0.5766323751335279,0.58,0,0.42557801756015406,0,0,1,5,1870
2026-03-02,2026-03,202603020808,08,08R,0.7295902477636907,0.5766323751335279,0.58,0,0.8574378307328867,0,0,1,5,580
2026-03-02,2026-03,202603020809,08,09R,0.6113155957340692,0.5766323751335279,0.58,0,0.7225789415457673,0,0,1,4,790
2026-03-02,2026-03,202603020810,08,10R,0.6753754512861959,0.5766323751335279,0.58,0,0.6494354233160166,0,0,1,3,1310
2026-03-02,2026-03,202603020811,08,11R,0.7157071630700647,0.5766323751335279,0.58,0,0.757544400071355,0,0,0,0,7720
2026-03-02,2026-03,202603020812,08,12R,0.5703531947421796,0.5766323751335279,0.58,0,0.49289511342127784,0,0,0,0,3440
2026-03-02,2026-03,202603021301,13,01R,0.45649888042430664,0.6102373928556907,0.58,1,0.4246531123811463,0,1,0,0,3810
2026-03-02,2026-03,202603021302,13,02R,0.685484581924729,0.6102373928556907,0.58,1,0.640847097166742,0,1,1,13,3090
2026-03-02,2026-03,202603021303,13,03R,0.5126762422545317,0.6102373928556907,0.58,1,0.41559989371043793,0,1,0,0,7910
2026-03-02,2026-03,202603021304,13,04R,0.48431477465256495,0.6102373928556907,0.58,1,0.5004599836759746,0,1,1,3,3210
2026-03-02,2026-03,202603021305,13,05R,0.5484380098218096,0.6102373928556907,0.58,1,0.4754785112243147,0,1,0,0,5540
2026-03-02,2026-03,202603021306,13,06R,0.7482288428421523,0.6102373928556907,0.58,1,0.770966854254506,1,1,0,0,26750
2026-03-02,2026-03,202603021307,13,07R,0.5450099087255726,0.6102373928556907,0.58,1,0.48102587822567233,0,1,0,0,1330
