model,score,bin,R,heads,mean_pred,head_rate,wilson_lo,wilson_hi
LR_ABS_THREAT_POST,p_raw,"[0.7, 0.75)",2174,1545,0.7248178766495309,0.7106715731370745,0.6912520492085883,0.7293478968021816
LR_ABS_THREAT_POST,p_raw,"[0.75, 0.8)",1784,1353,0.7739506201422401,0.7584080717488789,0.7380034933817577,0.7777021892732215
LR_ABS_THREAT_POST,p_raw,"[0.8, 0.85)",1217,978,0.8224477711698798,0.8036154478225144,0.7803554732772687,0.824964729981439
LR_ABS_THREAT_POST,p_raw,"[0.85, 0.9)",541,465,0.8700231413261206,0.8595194085027726,0.8276971168336996,0.8862720455754679
LR_ABS_THREAT_POST,p_raw,"[0.9, 0.95)",81,68,0.913249417303015,0.8395061728395061,0.7445295089488065,0.9037384577328867
LR_ABS_THREAT_POST,p_raw,"[0.95, 1.0)",1,1,0.9501312676057689,1.0,0.20654931437723745,1.0
LR_ABS_THREAT_POST,p_cal,"[0.0, 0.5)",8012,2805,0.34642369204414164,0.350099850224663,0.33972922091319224,0.3606141538479415
LR_ABS_THREAT_POST,p_cal,"[0.5, 0.6)",3439,1885,0.5526621035486297,0.5481244547833672,0.5314465546533519,0.5646949621603151
LR_ABS_THREAT_POST,p_cal,"[0.6, 0.7)",4187,2715,0.6510411800453686,0.6484356341055648,0.6338434256947488,0.6627557208522507
LR_ABS_THREAT_POST,p_cal,"[0.7, 0.75)",2120,1500,0.7247169816713123,0.7075471698113207,0.6878220652500453,0.7265214801898472
LR_ABS_THREAT_POST,p_cal,"[0.75, 0.8)",1820,1369,0.773827648916948,0.7521978021978022,0.7318454470580816,0.7714877761013391
LR_ABS_THREAT_POST,p_cal,"[0.8, 0.85)",1331,1054,0.8228412559039521,0.791885800150263,0.7692517368353479,0.8128398627816315
LR_ABS_THREAT_POST,p_cal,"[0.85, 0.9)",652,557,0.8703668597481954,0.8542944785276073,0.8251379828653063,0.8793005575568689
LR_ABS_THREAT_POST,p_cal,"[0.9, 0.95)",129,111,0.9147218828054802,0.8604651162790697,0.7902028186096903,0.909879827467909
LR_ABS_THREAT_POST,p_cal,"[0.95, 1.0)",2,2,0.956034710328577,1.0,0.34238022750665303,1.0
LR_V109_FULL_POST,p_raw,"[0.0, 0.5)",7844,2709,0.35334875494669854,0.34535951045385005,0.33491506955054473,0.3559553420486521
LR_V109_FULL_POST,p_raw,"[0.5, 0.6)",3601,1968,0.5522111732148026,0.546514856984171,0.5302139351716463,0.5627166427266653
LR_V109_FULL_POST,p_raw,"[0.6, 0.7)",4404,2872,0.6510888234916405,0.6521344232515894,0.6379404326204926,0.6660632418579705
LR_V109_FULL_POST,p_raw,"[0.7, 0.75)",2156,1530,0.7244912503174494,0.7096474953617811,0.6901274914324375,0.7284217480536855
LR_V109_FULL_POST,p_raw,"[0.75, 0.8)",1818,1383,0.7740771496475722,0.7607260726072608,0.7405776930590181,0.7797749399377384
LR_V109_FULL_POST,p_raw,"[0.8, 0.85)",1233,996,0.8225251283134969,0.8077858880778589,0.7848491760032932,0.8288107191975782
LR_V109_FULL_POST,p_raw,"[0.85, 0.9)",548,466,0.8696993143451266,0.8503649635036497,0.81806437576302,0.8777876553993765
LR_V109_FULL_POST,p_raw,"[0.9, 0.95)",87,73,0.9126168787096355,0.8390804597701149,0.7478296289321998,0.9016535560137414
