date,month,race_code,layer,model,n,winner,head4_win,hit,return_yen,profit_yen,comp_odds,p2_concentration,tickets,policy
2026-06-12,2026-06,202606122306,A,v283,8,4,1,1,42020.0,32020.0,4.168375895113003,0.10718423958072787,4-2-1|4-2-5|4-5-1|4-5-2|4-2-6|4-1-2|4-1-5|4-5-6,VARIABLE_v283
2026-06-13,2026-06,202606132204,A,v283,8,4,1,1,63690.0,53690.0,6.4206165129294,0.12636884461871367,4-6-5|4-5-6|4-6-1|4-5-1|4-6-2|4-1-6|4-3-6|4-2-6,VARIABLE_v283
2026-06-15,2026-06,202606150310,S,v283,10,3,0,0,0.0,-10000.0,,0.048838572012404824,,VARIABLE_v283
2026-06-18,2026-06,202606180205,S,v283,4,2,0,0,0.0,-10000.0,,0.20224931759469034,,VARIABLE_v283
2026-06-19,2026-06,202606190903,S,v283,8,3,0,0,0.0,-10000.0,,0.12286784460496425,,VARIABLE_v283
2026-06-19,2026-06,202606192007,S,v283,8,4,1,1,43470.00000000001,33470.00000000001,4.29130628678652,0.1275193816907555,4-1-6|4-1-5|4-6-1|4-6-5|4-1-3|4-2-1|4-3-1|4-2-6,VARIABLE_v283
2026-06-20,2026-06,202606200903,A,v283,4,1,0,0,0.0,-10000.0,,0.30499741029245286,,VARIABLE_v283
2026-06-20,2026-06,202606201709,A,v283,6,4,1,0,0.0,-10000.0,7.013624592500216,0.14661748668018448,4-2-5|4-2-6|4-1-5|4-1-6|4-6-5|4-3-5,VARIABLE_v283
2026-06-21,2026-06,202606210906,A,v283,4,4,1,0,0.0,-10000.0,4.418664744228899,0.45826482042107275,4-1-2|4-1-5|4-2-1|4-2-5,VARIABLE_v283
2026-06-22,2026-06,202606221310,A,v283,4,1,0,0,0.0,-10000.0,,0.3085505572423526,,VARIABLE_v283
2026-06-24,2026-06,202606240605,A,v283,6,4,1,1,45760.00000000001,35760.00000000001,4.5517533329958395,0.15148527089848052,4-1-2|4-1-6|4-6-2|4-6-5|4-1-3|4-6-3,VARIABLE_v283
2026-06-24,2026-06,202606241207,A,v283,8,4,1,0,0.0,-10000.0,3.035148561606762,0.0639906753058932,4-2-5|4-1-5|4-2-6|4-1-6|4-6-5|4-2-1|4-5-6|4-2-3,VARIABLE_v283
2026-06-25,2026-06,202606252102,S,v283,4,1,0,0,0.0,-10000.0,,0.3424740637333552,,VARIABLE_v283
2026-06-26,2026-06,202606260410,A,v283,6,1,0,0,0.0,-10000.0,,0.1313477903710204,,VARIABLE_v283
2026-06-26,2026-06,202606260705,S,v283,4,4,1,0,0.0,-10000.0,4.84373908850166,0.2305782515874616,4-2-1|4-2-5|4-6-1|4-6-5,VARIABLE_v283
2026-06-28,2026-06,202606280205,A,v283,4,2,0,0,0.0,-10000.0,,0.22875394291985807,,VARIABLE_v283
2026-06-28,2026-06,202606280508,A,v283,4,1,0,0,0.0,-10000.0,,0.27462677917362066,,VARIABLE_v283
2026-06-28,2026-06,202606281008,A,v283,4,2,0,0,0.0,-10000.0,,0.1972883859413478,,VARIABLE_v283
2026-06-29,2026-06,202606290806,S,v283,4,4,1,0,0.0,-10000.0,4.336244315544786,0.3002324510173012,4-5-1|4-1-5|4-5-2|4-1-2,VARIABLE_v283
2026-06-30,2026-06,202606302304,A,v283,8,1,0,0,0.0,-10000.0,,0.08722305481685633,,VARIABLE_v283
2026-04-01,2026-04,202604010206,A,v284,8,2,0,0,0.0,-10000.0,,0.08069014622637061,,VARIABLE_v284
2026-04-01,2026-04,202604010603,S,v284,8,4,1,0,0.0,-10000.0,4.0461310834426065,0.07004560615667921,4-1-6|4-1-2|4-5-1|4-5-6|4-6-1|4-1-3|4-2-1|4-1-5,VARIABLE_v284
2026-04-01,2026-04,202604010804,S,v284,6,4,1,0,0.0,-10000.0,5.396705269335736,0.150994787520072,4-1-5|4-2-5|4-1-6|4-2-1|4-5-1|4-3-5,VARIABLE_v284
2026-04-02,2026-04,202604020108,S,v284,4,1,0,0,0.0,-10000.0,,0.2615418481388506,,VARIABLE_v284
2026-04-02,2026-04,202604022209,S,v284,6,1,0,0,0.0,-10000.0,,0.14539382073417362,,VARIABLE_v284
2026-04-03,2026-04,202604030402,A,v284,4,5,0,0,0.0,-10000.0,,0.3678179594422253,,VARIABLE_v284
2026-04-03,2026-04,202604031806,A,v284,8,1,0,0,0.0,-10000.0,,0.11172597372903337,,VARIABLE_v284
2026-04-04,2026-04,202604042202,S,v284,6,3,0,0,0.0,-10000.0,,0.16361026915679355,,VARIABLE_v284
2026-04-07,2026-04,202604070808,S,v284,6,2,0,0,0.0,-10000.0,,0.18405800267980388,,VARIABLE_v284
2026-04-07,2026-04,202604072403,S,v284,10,2,0,0,0.0,-10000.0,,0.0276684319825532,,VARIABLE_v284
2026-04-09,2026-04,202604090703,A,v284,4,4,1,0,0.0,-10000.0,5.669102433355789,0.19393182494416883,4-6-2|4-6-5|4-2-5|4-2-1,VARIABLE_v284
2026-04-14,2026-04,202604140304,A,v284,8,2,0,0,0.0,-10000.0,,0.11343341037431443,,VARIABLE_v284
2026-04-15,2026-04,202604150307,S,v284,6,5,0,0,0.0,-10000.0,,0.13137192857968938,,VARIABLE_v284
2026-04-19,2026-04,202604191506,A,v284,4,2,0,0,0.0,-10000.0,,0.23289777141666657,,VARIABLE_v284
2026-04-21,2026-04,202604210702,S,v284,8,3,0,0,0.0,-10000.0,,0.11870674678686921,,VARIABLE_v284
2026-04-22,2026-04,202604222207,A,v284,8,4,1,0,0.0,-10000.0,4.3746001699568575,0.08431496373949499,4-3-2|4-3-1|4-1-2|4-1-3|4-5-6|4-3-6|4-2-3|4-6-5,VARIABLE_v284
