family,param,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct
FIXED,4,6.0,2026-05,2,62580.0,42580.0,312.9,50.0,50.0
FIXED,4,6.0,2026-06,3,0.0,-30000.0,0.0,0.0,0.0
FIXED,4,6.5,2026-04,0,0.0,0.0,,,
FIXED,4,6.5,2026-05,0,0.0,0.0,,,
FIXED,4,6.5,2026-06,2,0.0,-20000.0,0.0,0.0,0.0
FIXED,4,7.0,2026-04,0,0.0,0.0,,,
FIXED,4,7.0,2026-05,0,0.0,0.0,,,
FIXED,4,7.0,2026-06,0,0.0,0.0,,,
FIXED,4,7.5,2026-04,0,0.0,0.0,,,
FIXED,4,7.5,2026-05,0,0.0,0.0,,,
FIXED,4,7.5,2026-06,0,0.0,0.0,,,
FIXED,4,8.0,2026-04,0,0.0,0.0,,,
FIXED,4,8.0,2026-05,0,0.0,0.0,,,
FIXED,4,8.0,2026-06,0,0.0,0.0,,,
FIXED,4,8.5,2026-04,0,0.0,0.0,,,
FIXED,4,8.5,2026-05,0,0.0,0.0,,,
FIXED,4,8.5,2026-06,0,0.0,0.0,,,
FIXED,4,9.0,2026-04,0,0.0,0.0,,,
FIXED,4,9.0,2026-05,0,0.0,0.0,,,
FIXED,4,9.0,2026-06,0,0.0,0.0,,,
FIXED,4,9.5,2026-04,0,0.0,0.0,,,
FIXED,4,9.5,2026-05,0,0.0,0.0,,,
FIXED,4,9.5,2026-06,0,0.0,0.0,,,
FIXED,4,10.0,2026-04,0,0.0,0.0,,,
FIXED,4,10.0,2026-05,0,0.0,0.0,,,
FIXED,4,10.0,2026-06,0,0.0,0.0,,,
FIXED,4,10.5,2026-04,0,0.0,0.0,,,
FIXED,4,10.5,2026-05,0,0.0,0.0,,,
FIXED,4,10.5,2026-06,0,0.0,0.0,,,
FIXED,4,11.0,2026-04,0,0.0,0.0,,,
FIXED,4,11.0,2026-05,0,0.0,0.0,,,
FIXED,4,11.0,2026-06,0,0.0,0.0,,,
FIXED,4,11.5,2026-04,0,0.0,0.0,,,
FIXED,4,11.5,2026-05,0,0.0,0.0,,,
FIXED,4,11.5,2026-06,0,0.0,0.0,,,
FIXED,4,12.0,2026-04,0,0.0,0.0,,,
FIXED,4,12.0,2026-05,0,0.0,0.0,,,
FIXED,4,12.0,2026-06,0,0.0,0.0,,,
