feature,category,n,overall_head_rate,direction,auc_oriented,std_mean_diff,top10_n,top10_head_rate,top10_lift_pt,top20_n,top20_head_rate,top20_lift_pt,month_direction_good,month_direction_seen,month_consistency,month_direction_detail,oof_n,base_oof_auc,plus_feature_oof_auc,delta_oof_auc,delta_logloss,incremental_months_positive,incremental_months_seen,incremental_month_floor_auc_delta,incremental_month_mean_auc_delta,importance_score
b4_gh_p2_straight,4号艇_過去展示機力,592,0.23817567567567569,low,0.5417511912063028,0.14668036143177918,130,0.27692307692307694,3.8747401247401254,130,0.27692307692307694,3.8747401247401254,4,5,0.8,2026-02:+;2026-03:+;2026-04:-;2026-05:+;2026-06:+,,,,,,,,,,8.950067145578302
b3_pl_recent_p2,その他,592,0.23817567567567569,low,0.5353273261939582,0.12669651232663542,67,0.26865671641791045,3.048104074223476,124,0.25806451612903225,1.9888840453356567,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.93050942846295
b5_vh_p1_overall,その他,592,0.23817567567567569,low,0.5346668553726156,0.1679553177790211,65,0.2923076923076923,5.413201663201664,121,0.256198347107438,1.802267143176231,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.827138965896806
rel_vh_p12_overall_4v5,4号艇vs他艇_過去展示差,592,0.23817567567567569,high,0.543748329166077,0.1627525156766311,60,0.3333333333333333,9.515765765765764,119,0.2605042016806723,2.23285260049966,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.821403436707628
st_raw_rank_b2,ST攻撃力_壁,592,0.23817567567567569,low,0.5354845811514208,0.12581181393994273,143,0.2937062937062937,5.5530618030618015,143,0.2937062937062937,5.5530618030618015,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.659070475754444
rel_pl_frame_p2_4v3,4号艇vs他艇_選手力差,592,0.23817567567567569,high,0.542073563869101,0.15345401503430284,60,0.31666666666666665,7.849099099099097,119,0.2605042016806723,2.23285260049966,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.653926907010032
opp_direct_b1_v93,相手構成_v93,592,0.23817567567567569,low,0.5461543300152537,0.1543306798612159,63,0.23809523809523808,-0.00804375804376034,120,0.23333333333333334,-0.48423423423423484,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.615433001525371
b2_pl_frame_p2,その他,592,0.23817567567567569,low,0.5403437593370131,0.122689782115347,60,0.3,6.182432432432431,120,0.26666666666666666,2.8490990990990976,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.604195753521125
rel_pl_all_p2_4v2,4号艇vs他艇_選手力差,592,0.23817567567567569,high,0.5347926593385857,0.14115086151806647,60,0.3,6.182432432432431,119,0.29411764705882354,5.594197138314786,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.598105361521522
b2_gh_p2_display,その他,592,0.23817567567567569,high,0.5429699171266374,0.1500512696617555,84,0.2857142857142857,4.753861003861001,178,0.25280898876404495,1.4633313088369264,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,8.58965797443113
b1_vh_delta_turn,1号艇_過去展示機力,592,0.23817567567567569,low,0.5338648550895566,0.11412411185161483,68,0.22058823529411764,-1.7587440381558044,128,0.296875,5.869932432432432,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.560471995442148
b2_vh_p12_straight,その他,592,0.23817567567567569,high,0.5392351118869022,0.1302517550842499,61,0.18032786885245902,-5.784780682321666,120,0.26666666666666666,2.8490990990990976,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.49333100851004
st_corr_strength_b2,ST攻撃力_壁,592,0.23817567567567569,high,0.5450849963045086,0.1585985682653043,94,0.32978723404255317,9.161155836687747,181,0.287292817679558,4.911714200388231,3,5,0.6,2026-02:-;2026-03:-;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.490842470528504
b2_vh_p1_turn,その他,592,0.23817567567567569,low,0.5362787186866066,0.08680063804892457,78,0.2692307692307692,3.105509355509353,158,0.27848101265822783,4.030533698255215,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,8.433978608311701
b1_vh_p12_turn,1号艇_過去展示機力,592,0.23817567567567569,low,0.5359956597631741,0.1441837074689038,60,0.3333333333333333,9.515765765765764,122,0.2786885245901639,4.051284891448822,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.409822954607174
b3_pl_frame_p2,その他,592,0.23817567567567569,low,0.537348052397352,0.12235318404491939,64,0.203125,-3.5050675675675684,119,0.2689075630252101,3.0731887349534386,4,5,0.8,2026-02:+;2026-03:-;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.349442986725883
b5_gh_p1_overall,その他,592,0.23817567567567569,low,0.5294774417763519,0.1200119851418698,60,0.2833333333333333,4.515765765765764,121,0.256198347107438,1.802267143176231,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.308197606270438
opp_grade_b5_v93,相手構成_v93,592,0.23817567567567569,low,0.5408076614615276,0.17859475738753516,82,0.2926829268292683,5.450725115359259,414,0.24879227053140096,1.0616594855725277,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.293098043267264
st_raw_b2,ST攻撃力_壁,534,0.23782771535580524,low,0.5355684961984175,0.13031427096047973,55,0.34545454545454546,10.762683009874022,124,0.27419354838709675,3.636583303129151,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.28416628046758
b1_gh_delta_straight,1号艇_過去展示機力,592,0.23817567567567569,low,0.5301536380934408,0.10089647790719304,62,0.3870967741935484,14.89210985178727,133,0.3007518796992481,6.257620402357242,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,8.266887889815534
b5_vh_p1_turn,その他,592,0.23817567567567569,low,0.5291000298784421,0.15130169423158582,62,0.3225806451612903,8.440496948561464,129,0.2558139534883721,1.763827781269642,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.262768544098135
rel_vh_p12_overall_4v1,4号艇vs1号艇_過去展示差,592,0.23817567567567569,high,0.5343444827098174,0.1458077048949262,60,0.31666666666666665,7.849099099099097,119,0.2773109243697479,3.913524869407223,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.217153244863184
b5_vh_p12_display,その他,592,0.23817567567567569,low,0.5380871506974259,0.12467439928588397,65,0.2,-3.8175675675675675,120,0.25833333333333336,2.0157657657657673,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.211868222895738
b1_gh_p12_turn,1号艇_過去展示機力,592,0.23817567567567569,low,0.5339434825682879,0.1702052324467447,60,0.3,6.182432432432431,123,0.2764227642276423,3.8247088551966595,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.159290027868126
rel_vh_delta_straight_4v5,4号艇vs他艇_過去展示差,592,0.23817567567567569,high,0.5394395433316036,0.16036020773374127,73,0.3150684931506849,7.689281747500923,133,0.24812030075187969,0.9944625076204,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,8.142846834684441
st_raw_b6,ST攻撃力_壁,535,0.23925233644859814,high,0.5350890663390664,0.1087757595069706,55,0.2,-3.925233644859813,112,0.26785714285714285,2.8604806408544707,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.081002762077533
b6_vh_p12_display,その他,592,0.23817567567567569,high,0.5390228176943278,0.13173835463524447,67,0.26865671641791045,3.048104074223476,122,0.2459016393442623,0.7725963668586605,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,8.056801042804512
b6_vh_p12_straight,その他,592,0.23817567567567569,high,0.528486735544338,0.13159341025651075,65,0.26153846153846155,2.3362785862785866,133,0.24812030075187969,0.9944625076204,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,8.04756605595788
b2_gh_p1_turn,その他,592,0.23817567567567569,low,0.532520325203252,0.07397153939646044,60,0.25,1.1824324324324316,172,0.27325581395348836,3.508013827781267,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,7.953635285881452
rel_pl_frame_races_4v3,4号艇vs他艇_選手力差,592,0.23817567567567569,high,0.5291629318614268,0.13311019735619148,60,0.3,6.182432432432431,119,0.2857142857142857,4.753861003861001,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,7.8670653869148826
b5_vh_p12_turn,その他,592,0.23817567567567569,low,0.5314509914925067,0.15650068092229372,70,0.2714285714285714,3.325289575289572,133,0.2706766917293233,3.250101605364761,4,5,0.8,2026-02:+;2026-03:+;2026-04:-;2026-05:+;2026-06:+,,,,,,,,,,7.795119470323627
b5_gh_p12_straight,その他,592,0.23817567567567569,low,0.529288735827397,0.10174309161277605,60,0.2833333333333333,4.515765765765764,128,0.28125,4.307432432432432,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,7.790360069226185
b5_vh_p2_turn,その他,592,0.23817567567567569,low,0.5348555613215706,0.12393067909242335,73,0.2602739726027397,2.2098296927064025,150,0.25333333333333335,1.5157657657657668,4,5,0.8,2026-02:+;2026-03:-;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,7.788709285310217
b1_vh_p1_straight,1号艇_過去展示機力,592,0.23817567567567569,low,0.5360349735025398,0.13112784446086592,79,0.31645569620253167,7.828002052685598,172,0.29651162790697677,5.833595223130109,3,5,0.6,2026-02:+;2026-03:+;2026-04:-;2026-05:+;2026-06:-,,,,,,,,,,7.770216394880003
b5_vh_p12_straight,その他,592,0.23817567567567569,low,0.5317261876680662,0.12468487900593113,77,0.23376623376623376,-0.44094419094419246,127,0.2677165354330709,2.9540859757395204,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,7.763435961954527
rel_st_raw_4v2,ST攻撃力_壁,534,0.23782771535580524,high,0.5366228791425642,0.1345294691019314,57,0.3333333333333333,9.550561797752808,112,0.24107142857142858,0.3243713215623334,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,7.72716217856889
b4_gh_p1_straight,4号艇_過去展示機力,592,0.23817567567567569,high,0.5437247409224576,0.13969510213002345,82,0.21951219512195122,-1.8663480553724465,165,0.2545454545454545,1.6369778869778835,3,5,0.6,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:-,,,,,,,,,,7.699869669641337
b4_vh_p2_turn,4号艇_過去展示機力,592,0.23817567567567569,high,0.5246733028258717,0.10461721967304338,81,0.2716049382716049,3.342926259592924,141,0.24822695035460993,1.005127467893424,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,7.668355776165851
