actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return_kelly,score,stake_kelly
1-3-5,A,5-2-1,0.00445182890355784,0.044518289035578404,2026-08-13,1.710392664746922,5,0.1,0,0.0018538430708426987,5頭展開,384.2,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-2-3,0.002609765195139498,0.026097651951394976,2026-08-13,1.605005595010791,5,0.1,0,0.0009853511319393993,5頭展開,615.0,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-2-4,0.0025763232530896804,0.025763232530896803,2026-08-13,1.6076257099279605,5,0.1,0,0.0009753221668185562,5頭展開,624.0,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-2-6,0.0022259248516421195,0.022259248516421193,2026-08-13,1.6149084798663578,5,0.1,0,0.0008487349618583268,5頭展開,725.5,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-3-1,0.0050038474009834,0.050038474009833994,2026-08-13,1.6032327072750812,5,0.1,0,0.0018886434166408303,5頭展開,320.4,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-3-2,0.002138072978530917,0.021380729785309166,2026-08-13,1.6056928068767187,5,0.1,0,0.0008075904091689582,5頭展開,751.0,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-3-4,0.0024375474556206046,0.024375474556206044,2026-08-13,1.600249904614927,5,0.1,0,0.0009157130505185767,5頭展開,656.5,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-3-6,0.0019219152243981606,0.019219152243981606,2026-08-13,1.6067211275968623,5,0.1,0,0.0007266121288585177,5頭展開,836.0,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-4-1,0.0056657591201145635,0.05665759120114563,2026-08-13,1.6583676944575327,5,0.1,0,0.002257002723543136,5頭展開,292.7,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-4-2,0.002693754616250259,0.02693754616250259,2026-08-13,1.619485275289656,5,0.1,0,0.0010321314150110897,5頭展開,601.2,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-4-3,0.0024780065728612286,0.024780065728612282,2026-08-13,1.6168992887919515,5,0.1,0,0.0009468906965340776,5頭展開,652.5,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-4-6,0.0028789957997885345,0.028789957997885342,2026-08-13,1.6608926768980055,5,0.1,0,0.00114758235266193,5頭展開,576.9,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-6-1,0.0025930599964516664,0.025930599964516663,2026-08-13,1.604066913805001,5,0.1,0,0.000978087619502916,5頭展開,618.6,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-6-2,0.0019444595091458316,0.019444595091458315,2026-08-13,1.6129291628364673,5,0.1,0,0.0007398058694465507,5頭展開,829.5,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-6-3,0.001586192853218053,0.01586192853218053,2026-08-13,1.6004685888970154,5,0.1,0,0.0005957029651756105,5頭展開,1009.0,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-6-4,0.00162914746120074,0.0162914746120074,2026-08-13,1.5994969774068863,5,0.1,0,0.0006112326441750473,5頭展開,981.8,1040,test,202608131212,0,58.257000000000005,100
4-1-3,A,5-1-2,0.026519891728880637,0.26519891728880635,2026-08-14,5.1183391036739625,5,0.1,0,0.02144968283163522,5頭展開,193.0,3140,test,202608141210,0,70.253,300
4-1-3,A,5-1-6,0.006723859483002296,0.06723859483002295,2026-08-14,2.1939953493036493,5,0.1,0,0.003670443742095448,5頭展開,326.3,3140,test,202608141210,0,70.253,100
1-5-3,A,3-2-6,0.002706209997621299,0.013329882672172578,2026-08-14,1.4911217086893358,3,0.2030182908714399,0,0.0008929485612533378,3まくり,551.0,2660,test,202608141308,0,58.696000000000005,100
1-5-3,A,3-4-6,0.009180815914076839,0.04522161956279365,2026-08-14,1.515752707414086,3,0.2030182908714399,0,0.0031429171688853504,3まくり,165.1,2660,test,202608141308,0,58.696000000000005,100
1-5-3,A,3-5-4,0.005610118883248313,0.027633563750178974,2026-08-14,1.4569478739795867,3,0.2030182908714399,0,0.0017663234401994075,3まくり,259.7,2660,test,202608141308,0,58.696000000000005,100
1-5-3,A,3-6-2,0.0016287302571667314,0.008022578902499553,2026-08-14,1.4438693729783074,3,0.2030182908714399,0,0.0005012641140353557,3まくり,886.5,2660,test,202608141308,0,58.696000000000005,100
1-4-2,A,5-1-2,0.022226699975107567,0.22226699975107564,2026-08-15,1.9937349877671489,5,0.1,0,0.011203325679449254,5頭展開,89.7,1240,test,202608151108,0,60.35033333333334,100
1-4-2,A,5-1-6,0.006979137780694292,0.06979137780694292,2026-08-15,1.4781813819510512,5,0.1,0,0.002268412627851286,5頭展開,211.8,1240,test,202608151108,0,60.35033333333334,100
4-5-6,A,5-1-2,0.024909833009194745,0.24909833009194743,2026-08-16,6.772983595200051,5,0.1,0,0.021310386102621082,5頭展開,271.9,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-1-3,0.008429985155018641,0.0842998515501864,2026-08-16,2.095694309537634,5,0.1,0,0.004425259731573644,5頭展開,248.6,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-1-4,0.006342510836744884,0.06342510836744884,2026-08-16,1.945248073629656,5,0.1,0,0.003092077440725077,5頭展開,306.7,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-1-6,0.009488227821309128,0.09488227821309128,2026-08-16,3.5077978255379847,5,0.1,0,0.006801729930941103,5頭展開,369.7,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-2-1,0.005055632682762115,0.05055632682762115,2026-08-16,1.9651244237896341,5,0.1,0,0.002489358843924772,5頭展開,388.7,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-2-3,0.002508185994683063,0.025081859946830626,2026-08-16,1.8410085200973683,5,0.1,0,0.001147351323461621,5頭展開,734.0,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-2-4,0.002407831356439432,0.024078313564394316,2026-08-16,1.8480105660672639,5,0.1,0,0.0011063412473154128,5頭展開,767.5,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-2-6,0.002585340116297377,0.025853401162973768,2026-08-16,1.8438645709432893,5,0.1,0,0.001184870220364068,5頭展開,713.2,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-3-1,0.005676584875765566,0.056765848757655654,2026-08-16,1.8375105242853136,5,0.1,0,0.0025953223560127477,5頭展開,323.7,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-3-2,0.00250674657423948,0.0250674657423948,2026-08-16,1.8399519854917783,5,0.1,0,0.00114590993927937,5頭展開,734.0,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-3-4,0.002451563930839948,0.02451563930839948,2026-08-16,1.834995602233701,5,0.1,0,0.0011170509728878945,5頭展開,748.5,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-3-6,0.002878747439914545,0.02878747439914545,2026-08-16,1.8366408666654797,5,0.1,0,0.0013134079539489476,5頭展開,638.0,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-4-1,0.004844857373061399,0.04844857373061399,2026-08-16,1.9481171497079885,5,0.1,0,0.0023637924450460946,5頭展開,402.1,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-4-2,0.0026081941979649473,0.02608194197964947,2026-08-16,1.8690319622616813,5,0.1,0,0.0012144102323388504,5頭展開,716.6,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-4-3,0.002593636725347745,0.025936367253477446,2026-08-16,1.858600077384194,5,0.1,0,0.0011998324166911597,5頭展開,716.6,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-4-6,0.0046462079994340185,0.04646207999434018,2026-08-16,1.8682402365724189,5,0.1,0,0.0021646478099536745,5頭展開,402.1,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-6-1,0.0030234441385876207,0.030234441385876207,2026-08-16,1.8358352809504035,5,0.1,0,0.0013788110870181516,5頭展開,607.2,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-6-2,0.002336767474073522,0.02336767474073522,2026-08-16,1.8402043858328987,5,0.1,0,0.0010682827537608374,5頭展開,787.5,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-6-3,0.0023893946157960565,0.023893946157960564,2026-08-16,1.8338603676234733,5,0.1,0,0.001087880453520513,5頭展開,767.5,10580,test,202608160212,0,58.234333333333346,100
4-5-6,A,5-6-4,0.0023163076825257816,0.023163076825257815,2026-08-16,1.8335891614874087,5,0.1,0,0.001054375362367074,5頭展開,791.6,10580,test,202608160212,0,58.234333333333346,100
3-2-4,A,5-1-2,0.02777552630269069,0.2777552630269069,2026-08-16,4.102445234907415,5,0.1,0,0.02114822927680583,5頭展開,147.7,7540,test,202608160404,0,64.279,300
3-2-4,A,5-1-6,0.004264708318859148,0.04264708318859148,2026-08-16,1.7063097983755453,5,0.1,0,0.0017697564479467434,5頭展開,400.1,7540,test,202608160404,0,64.279,100
1-4-3,A,5-1-2,0.02359801008674421,0.23598010086744212,2026-08-16,1.67073911414149,5,0.1,0,0.009609442896009885,5頭展開,70.8,1540,test,202608160409,0,84.80433333333333,100
1-4-3,A,5-1-6,0.006314475635376054,0.06314475635376053,2026-08-16,1.4011821434899463,5,0.1,0,0.0018161255929830071,5頭展開,221.9,1540,test,202608160409,0,84.80433333333333,100
1-4-3,A,5-1-2,0.02344244079576123,0.23442440795761227,2026-08-16,4.125869580053976,5,0.1,0,0.01786211188602272,5頭展開,176.0,850,test,202608161111,0,59.859666666666676,200
1-4-3,A,5-1-3,0.004758937780366625,0.04758937780366625,2026-08-16,1.4590903234604073,5,0.1,0,0.0015022589118468825,5頭展開,306.6,850,test,202608161111,0,59.859666666666676,100
1-4-3,A,5-1-6,0.009061823906651187,0.09061823906651187,2026-08-16,3.445305449308781,5,0.1,0,0.006448590319907123,5頭展開,380.2,850,test,202608161111,0,59.859666666666676,100
1-3-6,A,5-1-2,0.024212325502625767,0.24212325502625764,2026-08-16,8.505789949072433,5,0.1,0,0.021426748355901894,5頭展開,351.3,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-1-6,0.011930063350364405,0.11930063350364405,2026-08-16,4.460650686701251,5,0.1,0,0.009280371913921295,5頭展開,373.9,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-1-3,0.005154759621937264,0.05154759621937263,2026-08-16,2.62274169564168,5,0.1,0,0.003195631539270736,5頭展開,508.8,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-2-1,0.003928838490919991,0.039288384909199905,2026-08-16,2.5348865943415784,5,0.1,0,0.0023826243314833567,5頭展開,645.2,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-1-4,0.008213587594554657,0.08213587594554657,2026-08-16,2.501858781301349,5,0.1,0,0.004946833930505101,5頭展開,304.6,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-4-1,0.0070723322271923645,0.07072332227192364,2026-08-16,2.4845103114126776,5,0.1,0,0.0042378256106556595,5頭展開,351.3,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-4-6,0.0057797945401363866,0.05779794540136386,2026-08-16,2.3968807957945595,5,0.1,0,0.003376554981374328,5頭展開,414.7,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-4-2,0.0032180403446320917,0.032180403446320914,2026-08-16,2.3884295437859384,5,0.1,0,0.001873218488648055,5頭展開,742.2,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-4-3,0.0026409753008477593,0.02640975300847759,2026-08-16,2.370011234980779,5,0.1,0,0.0015283480979259027,5頭展開,897.4,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-2-4,0.002520101027931149,0.025201010279311487,2026-08-16,2.369398986460866,5,0.1,0,0.0014580483245963225,5頭展開,940.2,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-2-6,0.0028503923729765253,0.028503923729765252,2026-08-16,2.364400473384028,5,0.1,0,0.001646832194790619,5頭展開,829.5,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-6-2,0.0024170334610536287,0.024170334610536286,2026-08-16,2.362408504833817,5,0.1,0,0.0013953384932751094,5頭展開,977.4,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-6-1,0.0033453959594445417,0.033453959594445415,2026-08-16,2.3588386910043466,5,0.1,0,0.0019298944624404867,5頭展開,705.1,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-3-1,0.0029627738845911323,0.02962773884591132,2026-08-16,2.3586642895230003,5,0.1,0,0.001708796741948183,5頭展開,796.1,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-2-3,0.0022943329094752187,0.022943329094752187,2026-08-16,2.358574230940525,5,0.1,0,0.0013228570895233932,5頭展開,1028.0,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-3-2,0.0017441525544374262,0.01744152554437426,2026-08-16,2.3580942535994,5,0.1,0,0.001005251112952924,5頭展開,1352.0,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-3-6,0.0017912963700231256,0.017912963700231255,2026-08-16,2.3573460229504333,5,0.1,0,0.0010322022988216223,5頭展開,1316.0,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-3-4,0.0018626533428455672,0.01862653342845567,2026-08-16,2.3562564786996423,5,0.1,0,0.0010729877204902233,5頭展開,1265.0,3970,test,202608161812,0,56.26599999999999,100
1-3-6,A,5-6-3,0.0023625530451717833,0.023625530451717832,2026-08-16,2.355701641340785,5,0.1,0,0.0013610095786977061,5頭展開,997.1,3970,test,202608161812,0,56.26599999999999,100
2-1-5,A,5-1-2,0.028612791369986908,0.28612791369986906,2026-08-16,3.0100656521226226,5,0.1,0,0.019290457314036686,5頭展開,105.2,2670,test,202608162409,0,64.17766666666667,300
2-1-5,A,5-1-6,0.008340644328771624,0.08340644328771624,2026-08-16,2.485512009973944,5,0.1,0,0.005001723939306208,5頭展開,298.0,2670,test,202608162409,0,64.17766666666667,100
3-4-5,A,5-1-2,0.027500182416970144,0.2750018241697014,2026-08-17,2.5767670924701025,5,0.1,0,0.017009353748329046,5頭展開,93.7,15090,test,202608170211,0,59.919666666666686,200
3-4-5,A,5-1-6,0.00928634069930287,0.0928634069930287,2026-08-17,1.8145509726437807,5,0.1,0,0.004190077019772535,5頭展開,195.4,15090,test,202608170211,0,59.919666666666686,100
4-1-6,A,5-1-2,0.013293544428432794,0.13293544428432794,2026-08-17,3.2064029161379897,5,0.1,0,0.009185690741623604,5頭展開,241.2,2290,test,202608170512,0,67.32900000000001,100
4-1-6,A,5-1-6,0.016421883817144853,0.16421883817144853,2026-08-17,1.7456462497624978,5,0.1,0,0.007081160966405487,5頭展開,106.3,2290,test,202608170512,0,67.32900000000001,100
4-5-2,A,5-1-2,0.022840507812366774,0.22840507812366773,2026-08-17,3.2753288202933954,5,0.1,0,0.01597843272677946,5頭展開,143.4,840,test,202608170907,0,61.658666666666676,200
4-5-2,A,5-1-6,0.002892484413056342,0.02892484413056342,2026-08-17,1.4818197648087639,5,0.1,0,0.0009423425871479834,5頭展開,512.3,840,test,202608170907,0,61.658666666666676,100
2-4-1,A,5-1-2,0.025450594331223403,0.25450594331223403,2026-08-17,2.1989313502177024,5,0.1,0,0.014039008784750612,5頭展開,86.4,9690,test,202608171208,0,70.777,200
2-1-3,A,5-1-2,0.02800314384836827,0.28003143848368267,2026-08-17,1.795001520680406,5,0.1,0,0.01259907322789867,5頭展開,64.1,6300,test,202608171512,0,57.57233333333333,100
3-2-5,A,3-6-5,0.0022516619498983595,0.011107657147660169,2026-08-18,1.4099907130263527,3,0.20271259005979247,0,0.0006557752927484848,3まくり差し,626.2,4080,test,202608181101,0,58.57,100
1-4-5,A,5-1-2,0.020847441603599637,0.20847441603599634,2026-08-18,3.062489171568787,5,0.1,0,0.014136320572781268,5頭展開,146.9,1170,test,202608182011,0,63.982666666666674,200
1-4-5,A,5-1-6,0.01037623141382563,0.10376231413825629,2026-08-18,2.283808534183021,5,0.1,0,0.005859463871214153,5頭展開,220.1,1170,test,202608182011,0,63.982666666666674,100
4-2-5,A,3-4-6,0.007089371121347519,0.030671175412835445,2026-08-19,1.9524128068191067,3,0.23114116188650272,0,0.0034708921531308554,3まくり,275.4,40070,test,202608190509,0,66.98233333333334,100
4-2-5,A,3-5-4,0.007396691992008178,0.032000756298180145,2026-08-19,1.445313615238398,3,0.23114116188650272,0,0.0022907078973168626,3まくり,195.4,40070,test,202608190509,0,66.98233333333334,100
1-6-5,A,3-2-4,0.0037912834536695567,0.018801701940663627,2026-08-19,1.403912262893837,3,0.20164575875282378,0,0.0010937239720927078,3まくり,370.3,2000,test,202608190909,0,56.937,100
