actual_combo,coverage,date,head,head_hit,head_prob,invest,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
1-3-4,0.6414936249303079,2026-08-05,5,0,0.15504527807702848,2000,5頭展開,1230,202608052110,0,53.308,11.447910163871665,0.0994605574619606,115.1,0,1,1
1-5-6,0.5165058376591887,2026-08-06,3,0,0.22329355908320017,2000,3まくり,2080,202608060211,0,63.147666666666666,4.379113336820421,0.11533242677816984,37.969489233441685,0,8,1
5-1-3,0.502692463976018,2026-08-06,3,0,0.2262863312645052,2000,3まくり,3180,202608061204,0,63.59600000000001,1.7105546041364426,0.11375243342744755,15.037520979517783,0,10,5
4-5-1,0.7625138443475219,2026-08-06,5,0,0.13835287909674945,2000,5頭展開,3570,202608060404,0,46.72833333333334,9.881507722042723,0.10549598571661033,93.66714434601356,0,2,4
1-2-4,0.5991092239628477,2026-08-06,5,0,0.12353139789988339,2000,5頭展開,5980,202608061005,0,44.14633333333333,1.420968958672222,0.0740087999308449,19.2,0,1,1
1-3-4,0.7204061391660771,2026-08-06,5,0,0.19609431880054085,2000,5頭展開,1530,202608061012,0,62.021,12.756459866090806,0.1412675511194995,90.3,0,1,1
4-5-1,0.7215745307687838,2026-08-06,5,0,0.16288501168599093,2000,5頭展開,2400,202608061210,0,55.401,9.249900291487378,0.11753367587658677,78.7,0,1,4
1-3-2,0.8702807379292757,2026-08-06,5,0,0.12048959906381161,2000,5頭展開,2940,202608061408,0,39.60033333333333,3.5023165580142885,0.10485977718605655,33.4,0,1,1
1-3-4,0.6507862845562347,2026-08-06,5,0,0.13733547174670635,2000,5頭展開,1380,202608061810,0,46.650000000000006,19.707417127777596,0.08937604139581676,220.5,0,1,1
1-2-5,0.7027079467794777,2026-08-06,5,0,0.1488952003386054,2000,5頭展開,890,202608061912,0,48.58866666666667,6.581216968409879,0.10462984051526039,62.900000000000006,0,1,1
3-4-6,0.5482135843570364,2026-08-07,3,1,0.2728981768997983,2000,3まくり,15920,202608071003,31840,70.79866666666668,1.8486981430686282,0.149606487722739,12.35707201745664,1,13,3
2-1-3,0.5152083490989272,2026-08-07,3,0,0.21450406252672838,2000,3まくり,27720,202608071707,0,53.085666666666675,4.3894122262569315,0.11051428392940879,39.71805336096352,0,9,2
5-2-1,0.9370586606196363,2026-08-07,5,1,0.14246476361378593,2000,5頭展開,6090,202608070401,0,49.995000000000005,3.208127236693723,0.13349784057742733,24.031304347826083,0,2,5
2-1-3,0.574762995696268,2026-08-07,5,0,0.11589971306654336,2000,5頭展開,9520,202608070405,0,44.72166666666667,7.0078839329152505,0.06661486628246435,105.2,0,1,2
3-4-2,0.6120499385624547,2026-08-07,5,0,0.17949856619299706,2000,5頭展開,9810,202608071201,0,59.248999999999995,7.76724950922041,0.10986208641047256,70.7,0,1,3
4-6-5,0.5994415464212722,2026-08-07,5,0,0.17120675548462003,2000,5頭展開,8050,202608071802,0,58.294000000000004,21.80854398141222,0.10262844226546926,212.50000000000003,0,1,4
5-1-2,0.8751546357305434,2026-08-07,5,1,0.1644538221124951,2000,5頭展開,1330,202608072002,26600,57.58000000000001,2.504251931265198,0.14392252478535622,17.4,1,1,5
1-5-2,0.8966905648482248,2026-08-07,5,0,0.2384614771107752,2000,5頭展開,1920,202608072006,0,71.292,10.034097864627775,0.21382615660500306,46.926428571428566,0,2,1
5-4-2,0.9669257869973078,2026-08-07,5,1,0.1845759614499591,2000,5頭展開,26400,202608072402,0,65.94166666666668,1.4819878529949764,0.17847125678578646,8.303790087463556,0,2,5
1-3-6,0.5276427845258197,2026-08-08,3,0,0.31162180742711815,2000,3まくり,490,202608080508,0,75.91766666666666,1.7350282862298267,0.16442499818981338,10.55209551668596,0,11,1
1-3-2,0.5244052429534874,2026-08-08,3,0,0.18595731430968235,2000,3まくり,530,202608081003,0,33.26233333333333,1.433824570768919,0.097516990589547,14.70333079497854,0,11,1
3-1-6,0.5515388536956289,2026-08-08,3,1,0.20949579330573104,2000,3まくり,3440,202608081203,0,52.40600000000001,2.3317764164111447,0.11554506969389931,20.180665627607134,0,10,3
1-3-4,0.5412710098846305,2026-08-08,3,0,0.272849291206151,2000,3まくり,490,202608081706,0,70.24600000000002,2.5454207927304044,0.14768541139745897,17.23542473589372,0,8,1
4-3-5,0.8110874577828481,2026-08-08,5,0,0.16137582025744523,2000,5頭展開,33170,202608080204,0,50.20500000000001,3.9005191332469464,0.1308899038002331,29.8,0,1,4
1-4-2,0.7188229288087358,2026-08-08,5,0,0.13240821406736797,2000,5頭展開,2570,202608080211,0,45.66766666666667,4.901670102063335,0.0951780602342395,51.50000000000001,0,1,1
5-4-1,0.6775468566260298,2026-08-08,5,1,0.11260245882342122,2000,5頭展開,8500,202608080405,0,42.349666666666664,10.261467952251,0.076293442024171,134.5,0,1,5
