grade,model,lambda,tickets_n,races,base_hits,value_hits,base_hit_rate_pct,value_hit_rate_pct,hit_rate_diff_pt,base_comp_rate_pct,value_comp_rate_pct,comp_rate_diff_pt,base_roi_pct,value_roi_pct,odds_races
A,4カドまくり,0.1,7,202,36,36,17.821782178217823,17.821782178217823,0.0,24.641083652415347,24.310582518383928,-0.3305011340314188,72.97029702970298,72.09335219236209,200
A,4カドまくり,0.1,8,202,38,38,18.81188118811881,18.81188118811881,0.0,26.35029824140723,26.033267190687642,-0.3170310507195886,67.67326732673267,67.78465346534654,200
A,4カドまくり,0.1,9,202,41,41,20.297029702970296,20.297029702970296,0.0,28.003352956600757,27.946977136136947,-0.056375820463809845,74.43894389438944,74.43894389438944,200
A,4カドまくり,0.1,10,202,42,42,20.792079207920793,20.792079207920793,0.0,29.65615140155681,29.65615140155681,0.0,68.61881188118812,68.61881188118812,200
A,4カドまくり,0.1,11,202,43,42,21.287128712871286,20.792079207920793,-0.4950495049504937,30.85176644238456,30.713233129019972,-0.13853331336458652,64.50945094509451,62.38073807380738,200
A,4カドまくり,0.1,12,202,43,43,21.287128712871286,21.287128712871286,0.0,31.857388455297844,31.76829790069289,-0.08909055460495452,59.133663366336634,59.133663366336634,200
A,4カドまくり,0.1,13,202,45,45,22.277227722772277,22.277227722772277,0.0,32.74729714566536,32.556016712854316,-0.19128043281104112,56.3023610053313,56.57654226961158,200
A,4カドまくり,0.1,14,202,47,47,23.26732673267327,23.26732673267327,0.0,33.75519698818564,33.747066309354004,-0.008130678831633986,57.73338048090523,57.73338048090523,200
A,4カドまくり,0.1,15,202,48,47,23.762376237623762,23.26732673267327,-0.4950495049504937,34.64601727562217,34.40170408321386,-0.24431319240831328,57.726072607260726,53.884488448844884,200
A,4カドまくり,0.1,16,202,50,49,24.752475247524753,24.257425742574256,-0.49504950495049727,35.31891340341871,35.24386105214395,-0.0750523512747634,57.370049504950494,56.43564356435643,200
A,4カドまくり,0.1,17,202,50,50,24.752475247524753,24.752475247524753,0.0,35.94711129740564,35.94711129740564,0.0,53.99534071054164,53.99534071054164,200
A,4カドまくり,0.1,18,202,53,52,26.237623762376238,25.742574257425744,-0.4950495049504937,36.42933203433109,36.32457976608159,-0.10475226824949857,70.63256325632564,68.03630363036304,200
A,4カドまくり,0.1,19,202,54,54,26.73267326732673,26.73267326732673,0.0,36.853594774283785,36.853594774283785,0.0,71.5528921313184,71.5528921313184,200
A,4カドまくり,0.1,20,202,54,54,26.73267326732673,26.73267326732673,0.0,37.20509302900065,37.20509302900065,0.0,67.97524752475248,67.97524752475248,200
A,5頭展開,0.25,1,301,6,3,1.9933554817275747,0.9966777408637874,-0.9966777408637874,1.9290482062011862,1.2992810395876029,-0.6297671666135833,57.27574750830565,49.33554817275748,301
A,5頭展開,0.25,2,301,11,5,3.654485049833887,1.6611295681063123,-1.9933554817275747,3.5603809882988458,2.7856482978380046,-0.7747326904608411,81.46179401993355,36.34551495016611,301
