n,comp_band,month,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
9,4-5,2026-06,3,2,1,66.66666666666666,33.33333333333333,4.239704421173141,40110.0,10110.0,133.7
3,5-6,2026-04,3,0,0,0.0,0.0,5.2751582212766905,0.0,-30000.0,0.0
3,5-6,2026-05,9,2,1,22.22222222222222,11.11111111111111,5.388706500380782,50750.0,-39250.0,56.388888888888886
3,5-6,2026-06,6,3,1,50.0,16.666666666666664,5.444530809745949,54560.00000000001,-5439.999999999993,90.93333333333335
4,3-4,2026-04,5,0,0,0.0,0.0,3.3688376140600886,0.0,-50000.0,0.0
4,3-4,2026-05,7,3,2,42.857142857142854,28.57142857142857,3.7341570333368455,77950.0,7950.0,111.35714285714286
4,3-4,2026-06,6,1,0,16.666666666666664,0.0,3.5362449532260865,0.0,-60000.0,0.0
5,<3,2026-04,4,0,0,0.0,0.0,2.837064743832381,0.0,-40000.0,0.0
5,<3,2026-05,8,3,2,37.5,25.0,2.65634996806325,52680.0,-27320.0,65.85
5,<3,2026-06,4,3,1,75.0,25.0,2.7289342376633163,26910.0,-13090.0,67.275
6,<3,2026-04,7,0,0,0.0,0.0,2.634511155240911,0.0,-70000.0,0.0
6,<3,2026-05,12,6,3,50.0,25.0,2.599193053341302,77110.0,-42890.0,64.25833333333334
6,<3,2026-06,7,3,1,42.857142857142854,14.285714285714285,2.5687059944260437,26220.0,-43780.0,37.457142857142856
7,<3,2026-04,8,0,0,0.0,0.0,2.493205216223126,0.0,-80000.0,0.0
7,<3,2026-05,14,7,5,50.0,35.714285714285715,2.448080973680743,125530.0,-14470.0,89.66428571428571
7,<3,2026-06,12,4,1,33.33333333333333,8.333333333333332,2.601560943665984,22770.0,-97230.0,18.975
8,<3,2026-04,9,0,0,0.0,0.0,2.41998257565438,0.0,-90000.0,0.0
8,<3,2026-05,17,9,7,52.94117647058824,41.17647058823529,2.3876560848135764,175280.0,5280.0,103.10588235294118
8,<3,2026-06,14,6,4,42.857142857142854,28.57142857142857,2.4778662680922876,100050.0,-39950.0,71.46428571428571
2,5-6,2026-04,2,1,0,50.0,0.0,5.434011559790674,0.0,-20000.0,0.0
2,5-6,2026-05,5,2,1,40.0,20.0,5.558369163251676,50150.0,150.0,100.3
2,5-6,2026-06,3,3,1,100.0,33.33333333333333,5.261905822935234,50960.00000000001,20960.000000000007,169.8666666666667
4,<3,2026-04,1,0,0,0.0,0.0,2.967646818767084,0.0,-10000.0,0.0
4,<3,2026-05,4,3,2,75.0,50.0,2.706949043002421,58900.0,18900.0,147.25
4,<3,2026-06,1,1,0,100.0,0.0,2.983848913021937,0.0,-10000.0,0.0
3,10-12,2026-04,4,2,0,50.0,0.0,10.805341009577633,0.0,-40000.0,0.0
3,10-12,2026-05,2,1,0,50.0,0.0,11.45917677284747,0.0,-20000.0,0.0
3,10-12,2026-06,5,3,0,60.0,0.0,10.545696075507177,0.0,-50000.0,0.0
3,3-4,2026-04,2,0,0,0.0,0.0,3.667431948198374,0.0,-20000.0,0.0
3,3-4,2026-05,5,2,1,40.0,20.0,3.4526790086706756,32480.0,-17520.0,64.96
3,3-4,2026-06,2,1,0,50.0,0.0,3.5463610572894004,0.0,-20000.0,0.0
5,3-4,2026-04,4,1,0,25.0,0.0,3.368670649167389,0.0,-40000.0,0.0
5,3-4,2026-05,10,5,3,50.0,30.0,3.4949620781863713,102660.0,2660.0,102.66
5,3-4,2026-06,11,2,1,18.181818181818183,9.090909090909092,3.521792086642557,38220.0,-71780.0,34.74545454545454
20,3-4,2026-04,5,3,3,60.0,60.0,3.2699155347831237,99180.0,49180.0,198.36
20,3-4,2026-06,2,1,1,50.0,50.0,3.5906598963226415,33330.0,13330.0,166.65
2,15+,2026-04,5,5,3,100.0,60.0,21.231800992705693,715920.0,665920.0,1431.84
2,15+,2026-05,4,2,0,50.0,0.0,30.393694232542828,0.0,-40000.0,0.0
2,15+,2026-06,6,2,0,33.33333333333333,0.0,22.954014033056726,0.0,-60000.0,0.0
3,12-15,2026-04,4,4,3,100.0,75.0,13.45713452202154,411270.0,371270.0,1028.175
3,12-15,2026-06,2,1,1,50.0,50.0,13.872313212487636,150540.0,130540.0,752.7
5,6-8,2026-04,7,7,6,100.0,85.71428571428571,7.07911321761606,411590.0,341590.0,587.9857142857143
5,6-8,2026-05,5,4,2,80.0,40.0,7.079381026456927,133930.0,83930.0,267.86
5,6-8,2026-06,4,3,0,75.0,0.0,6.910504891379534,0.0,-40000.0,0.0
2,4-5,2026-04,1,0,0,0.0,0.0,4.871794871794871,0.0,-10000.0,0.0
2,4-5,2026-05,1,1,0,100.0,0.0,4.585492227979275,0.0,-10000.0,0.0
2,4-5,2026-06,4,1,0,25.0,0.0,4.686025675231731,0.0,-40000.0,0.0
6,6-8,2026-04,4,3,2,75.0,50.0,6.988989933548341,137210.0,97210.0,343.025
6,6-8,2026-05,4,4,1,100.0,25.0,6.542049551421415,62700.0,22700.0,156.75
6,6-8,2026-06,2,2,0,100.0,0.0,6.690315763998539,0.0,-20000.0,0.0
7,5-6,2026-04,3,3,2,100.0,66.66666666666666,5.7998629290821855,118290.0,88290.0,394.3
7,5-6,2026-05,4,2,1,50.0,25.0,5.479320517217051,57000.0,17000.0,142.5
10,4-5,2026-04,4,4,4,100.0,100.0,4.549122328521435,179780.0,139780.0,449.45
10,4-5,2026-05,2,2,1,100.0,50.0,4.305292801638206,43700.0,23700.0,218.5
10,4-5,2026-06,1,1,0,100.0,0.0,4.388412523367691,0.0,-10000.0,0.0
