month,date,race_code,actual2,actual3,cond_rank,actual_second_regime,cond,p2,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-06,2026-06-20,202606201709,6,1,3,OUTER,1>2:0.0325613774339|1>3:0.0360844671178|1>5:0.505266720512|1>6:0.426087434937|2>1:0.0856728751825|2>3:0.0561321982046|2>5:0.465577281846|2>6:0.392617644767|3>1:0.0745042601796|3>2:0.0440486179568|3>5:0.478191774808|3>6:0.403255347056|5>1:0.00275768479896|5>2:0.089557804889|5>3:0.00253586995956|5>6:0.905148640352|6>1:0.0154465788819|6>2:0.501638801587|6>3:0.0142041307184|6>5:0.468710488812,1:0.292849474641|2:0.426499272955|3:0.125649262843|5:0.0549432360089|6:0.100058753553,17,4,3,1,9
2026-06,2026-06-21,202606210906,1,6,3,INNER,1>2:0.442993651598|1>3:0.044547502777|1>5:0.387015930725|1>6:0.1254429149|2>1:0.695139538777|2>3:0.0390136428893|2>5:0.200771154027|2>6:0.0650756643064|3>1:0.497564487078|3>2:0.277694979135|3>5:0.169727125598|3>6:0.0550134081892|5>1:0.325239158905|5>2:0.447673438031|5>3:0.0299755465668|5>6:0.197111856498|6>1:0.366317305911|6>2:0.504215200591|6>3:0.0337614987646|6>5:0.0957059947327,1:0.749927451409|2:0.115949008652|3:0.0391935392264|5:0.026039536768|6:0.0688904639446,5,1,3,1,1
2026-06,2026-06-23,202606231004,5,2,3,OUTER,1>2:0.0235181629744|1>3:0.051496689004|1>5:0.655261928108|1>6:0.269723219913|2>1:0.0933977609882|2>3:0.0778879120856|2>5:0.587063423531|2>6:0.241650903395|3>1:0.0843144559871|3>2:0.0321114360414|3>5:0.625926237685|3>6:0.257647870286|5>1:0.431049206098|5>2:0.00487426886138|5>3:0.00142618720612|5>6:0.562650337834|6>1:0.215485134203|6>2:0.00243668812024|6>3:0.000712963014809|6>5:0.781365214662,1:0.385794219448|2:0.0710179496512|3:0.0931588115094|5:0.106511903558|6:0.343517115833,18,3,3,0,17
2026-06,2026-06-24,202606240605,6,2,1,OUTER,1>2:0.238644724999|1>3:0.218621057253|1>5:0.230782374074|1>6:0.311951843673|2>1:0.219535051292|2>3:0.315909641402|2>5:0.197539003813|2>6:0.267016303493|3>1:0.197237803047|3>2:0.309819690483|3>5:0.209609857284|3>6:0.283332649186|5>1:0.0170348616683|5>2:0.64952882103|5>3:0.0208287730195|5>6:0.312607544282|6>1:0.0243490850019|6>2:0.928415667965|6>3:0.0297719802258|6>5:0.0174632668073,1:0.363023011413|2:0.224213417391|3:0.0416773227381|5:0.0588251679264|6:0.312261080532,1,2,1,1,2
2026-06,2026-06-24,202606241207,3,1,3,INNER,1>2:0.193040396552|1>3:0.0642337620265|1>5:0.593414202942|1>6:0.14931163848|2>1:0.193073155282|2>3:0.102802742817|2>5:0.562572647131|2>6:0.141551454769|3>1:0.144771779112|3>2:0.231660272065|3>5:0.498210856138|3>6:0.125357092684|5>1:0.0280665420102|5>2:0.0104049607139|5>3:0.00664046333981|5>6:0.954888033936|6>1:0.121021607573|6>2:0.0448657006576|6>3:0.0286333652403|6>5:0.80547932653,1:0.24189639566|2:0.363320058892|3:0.110690261682|5:0.122205779613|6:0.161887504153,14,5,3,1,20
2026-06,2026-06-24,202606242309,5,2,1,OUTER,1>2:0.0306255676161|1>3:0.0464298234125|1>5:0.91516906638|1>6:0.00777554259114|2>1:0.355051266612|2>3:0.0504855428349|2>5:0.589455009333|2>6:0.0050081812192|3>1:0.325600778638|3>2:0.0305385571066|3>5:0.638436323543|3>6:0.00542434071234|5>1:0.152863501501|5>2:0.739226201578|5>3:0.0729975550702|5>6:0.0349127418507|6>1:0.0700728428209|6>2:0.338862324384|6>3:0.0334621813088|6>5:0.557602651486,1:0.0796207364324|2:0.718645117029|3:0.0551550226643|5:0.126600603235|6:0.01997852064,3,2,1,0,2
2026-06,2026-06-25,202606252106,2,6,1,INNER,1>2:0.0630664812744|1>3:0.053172032027|1>5:0.44122958341|1>6:0.442531903289|2>1:0.1737915741|2>3:0.0761808931359|2>5:0.374461142297|2>6:0.375566390467|3>1:0.151126101055|3>2:0.0785727881232|3>5:0.384582993651|3>6:0.385718117171|5>1:0.01202066382|5>2:0.0079942240208|5>3:0.0242748520925|5>6:0.955710260067|6>1:0.0330552899363|6>2:0.0219830948423|6>3:0.0667527422856|6>5:0.878208872936,1:0.313784426929|2:0.109992690921|3:0.0511988478593|5:0.184819073316|6:0.340204960974,6,4,1,0,5
2026-06,2026-06-26,202606260705,5,6,3,OUTER,1>2:0.177619133655|1>3:0.0652766204865|1>5:0.476190270942|1>6:0.280913974917|2>1:0.669115055588|2>3:0.0420420881817|2>5:0.181671359948|2>6:0.107171496282|3>1:0.594952065806|3>2:0.101717936006|3>5:0.190783230726|3>6:0.112546767461|5>1:0.157950513608|5>2:0.726636752124|5>3:0.00468560090055|5>6:0.110727133367|6>1:0.175635581521|6>2:0.807995273954|6>3:0.00521022831863|6>5:0.0111589162064,1:0.0988477343319|2:0.583730464419|3:0.0588890672176|5:0.122517579383|6:0.136015154649,13,3,3,1,10
2026-06,2026-06-28,202606282005,2,1,1,INNER,1>2:0.304342313734|1>3:0.158655389605|1>5:0.171916163207|1>6:0.365086133454|2>1:0.654979235116|2>3:0.114817984528|2>5:0.0736972243963|2>6:0.15650555596|3>1:0.570980237143|3>2:0.192004307593|3>5:0.075878237287|3>6:0.161137217977|5>1:0.476383454449|5>2:0.348526639768|5>3:0.0230477687301|5>6:0.152042137052|6>1:0.552527286376|6>2:0.404234187192|6>3:0.0267316612165|6>5:0.016506865215,1:0.639367857849|2:0.204669201947|3:0.0951955444861|5:0.0516017786412|6:0.00916561707615,3,2,1,0,1
2026-06,2026-06-29,202606290310,1,5,1,INNER,1>2:0.297010306288|1>3:0.0858658449116|1>5:0.450970174179|1>6:0.166153674621|2>1:0.353918546661|2>3:0.122892951836|2>5:0.382325865562|2>6:0.140862635942|3>1:0.253355688364|3>2:0.304302405548|3>5:0.323246309186|3>6:0.119095596902|5>1:0.720774879447|5>2:0.0766374262603|5>3:0.0285172827088|5>6:0.174070411584|6>1:0.796902392118|6>2:0.0847317935934|6>3:0.0315292492225|6>5:0.0868365650663,1:0.258722351474|2:0.224524658904|3:0.248763098412|5:0.205243466923|6:0.0627464242866,1,1,1,0,18
2026-06,2026-06-29,202606290806,6,1,2,OUTER,1>2:0.214307046271|1>3:0.208665994898|1>5:0.436371610075|1>6:0.140655348756|2>1:0.35302634267|2>3:0.245248119123|2>5:0.303801438101|2>6:0.0979241001067|3>1:0.32706791568|3>2:0.233357243138|3>5:0.332424643701|3>6:0.107150197482|5>1:0.692185156987|5>2:0.122686993882|5>3:0.0480548948696|5>6:0.137072954262|6>1:0.12353738847|6>2:0.0218964978813|6>3:0.0085765725478|6>5:0.845989541101,1:0.315096857438|2:0.0431230214233|3:0.0454366543377|5:0.543698608506|6:0.0526448582947,16,3,2,1,10
