date,month,race_code,venue,race,legacy_pre_p,hybrid_pre_p,hybrid_abs_threshold,p109,entry_course,head_hit,rank_l50,payout100
2026-04-20,2026-04,202604200804,08,04R,0.2625710270382291,0.26257102703822904,0.75,0.29113132912931294,1,0,0,10580
2026-04-20,2026-04,202604200805,08,05R,0.6277331254973658,0.6277331254973658,0.75,0.6705864490070577,1,0,0,13770
2026-04-20,2026-04,202604200806,08,06R,0.5388099664774274,0.5388099664774274,0.75,0.5755789121445534,1,1,4,1530
2026-04-20,2026-04,202604200807,08,07R,0.4246195960733879,0.4246195960733879,0.75,0.39917046337366474,1,0,0,1260
2026-04-20,2026-04,202604200808,08,08R,0.6955267161184996,0.6955267161184996,0.75,0.7402796446889421,1,1,3,830
2026-04-20,2026-04,202604200809,08,09R,0.6162370041198898,0.6162370041198897,0.75,0.7161296728279218,1,0,0,8770
2026-04-20,2026-04,202604200810,08,10R,0.7769942130340752,0.7769942130340752,0.75,0.8038091595050085,1,0,0,26590
2026-04-20,2026-04,202604200811,08,11R,0.6623035605241863,0.6623035605241863,0.75,0.6803430420492826,1,1,11,1680
2026-04-20,2026-04,202604200812,08,12R,0.6972410977077754,0.6972410977077754,0.75,0.6645817500177835,1,1,1,350
2026-04-20,2026-04,202604200901,09,01R,0.6438900205307754,0.6438900205307754,0.75,0.7679522721528994,0,1,1,730
2026-04-20,2026-04,202604200902,09,02R,0.6025230386197816,0.6025230386197815,0.75,0.7376777418986565,0,0,0,1240
2026-04-20,2026-04,202604200903,09,03R,0.4211950798781294,0.4211950798781294,0.75,0.5304750678295634,0,0,0,950
2026-04-20,2026-04,202604200904,09,04R,0.5919905984653232,0.5919905984653232,0.75,0.7127170246804894,0,0,0,17530
2026-04-20,2026-04,202604200906,09,06R,0.7577648149684828,0.7577648149684828,0.75,0.8607454443845562,0,1,2,430
2026-04-20,2026-04,202604200907,09,07R,0.7018362769770456,0.7018362769770456,0.75,0.7488942035939913,0,1,11,3300
2026-04-20,2026-04,202604200908,09,08R,0.6650637192706744,0.6650637192706744,0.75,0.7716444220035804,0,1,1,410
