actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_return,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
5-6-3,0.5179884318182983,2026-08-15,5,1,0.125758430625871,2000,0,0,0,5頭展開,85570,202608152112,0,39.221333333333334,4.362235992966668,0.06514141226782519,66.9656343192497,0,10,5
4-5-6,0.5178303683112451,2026-08-16,5,0,0.17141521559226433,2000,0,0,0,5頭展開,10580,202608160212,0,58.234333333333346,5.3790981536917695,0.08876400422429372,60.599994341169776,0,8,4
3-2-4,0.5819672496515857,2026-08-16,5,0,0.19554671088486567,2000,0,0,0,5頭展開,7540,202608160404,0,64.279,3.9009593363460655,0.11380178151207908,34.2785436617441,0,11,3
1-4-3,0.5207845819640348,2026-08-16,5,0,0.17495194999412547,2000,0,0,0,5頭展開,1540,202608160409,0,84.80433333333333,1.9492716032326296,0.09111227814148334,21.394170390577994,0,12,1
1-2-3,0.5210532741472874,2026-08-16,5,0,0.12534273081655573,2000,0,0,0,5頭展開,2730,202608160911,0,31.701333333333338,3.809810595876158,0.06531024028252846,58.33404653535386,0,9,1
1-5-2,0.5180418033992924,2026-08-16,5,0,0.16115759671861535,2000,0,0,0,5頭展開,1380,202608161110,0,53.37166666666666,1.8735743653352006,0.08348637203560738,22.44167903877906,0,11,1
1-4-3,0.5195305371831875,2026-08-16,5,0,0.18205050916273588,2000,0,0,0,5頭展開,850,202608161111,0,59.859666666666676,4.240604766470125,0.09458079881978898,44.83578928689351,0,9,1
1-3-6,0.522375532384479,2026-08-16,5,0,0.16478283091987977,2000,0,0,0,5頭展開,3970,202608161812,0,56.26599999999999,6.868662981544342,0.08607851902959378,79.7953201214219,0,11,1
3-2-4,0.5043642509813389,2026-08-16,5,0,0.13859357414469192,2000,0,0,0,5頭展開,6770,202608161910,0,38.63666666666666,1.9264597650953392,0.06990164421431419,27.559577271014266,0,10,3
1-4-5,0.517590906239978,2026-08-16,5,0,0.16142159346097135,2000,0,0,0,5頭展開,770,202608162204,0,54.06266666666666,1.311603410651641,0.08355034884616548,15.698359477428282,0,10,1
2-1-5,0.5109329198515064,2026-08-16,5,0,0.1954813123644348,2000,0,0,0,5頭展開,2670,202608162409,0,64.17766666666667,3.780369496702078,0.09987783770276505,37.849933315060355,0,11,2
3-4-5,0.503089812181738,2026-08-17,5,0,0.16985259262489913,2000,0,0,0,5頭展開,15090,202608170211,0,59.919666666666686,2.5056106102303293,0.08545110892224175,29.322154408907306,0,8,3
4-1-6,0.5042475080441978,2026-08-17,5,0,0.2022098100897049,2000,0,0,0,5頭展開,2290,202608170512,0,67.32900000000001,3.588433950878095,0.10196379283982418,35.193217621035316,0,11,4
4-5-2,0.5034826041386841,2026-08-17,5,0,0.18035268565586274,2000,0,0,0,5頭展開,840,202608170907,0,61.658666666666676,2.8066057400505753,0.09080443983741926,30.90824352945363,0,10,4
2-4-1,0.5831553393079524,2026-08-17,5,0,0.22416973496789647,2000,0,0,0,5頭展開,9690,202608171208,0,70.777,2.691141720898748,0.13072577785777742,20.58615955474799,0,12,2
1-2-3,0.5829506200452298,2026-08-17,5,0,0.15466817599669366,2000,0,0,0,5頭展開,940,202608171212,0,52.893,4.398389472996207,0.0901639090985373,48.78215149466674,0,11,1
2-1-3,0.5231507910867488,2026-08-17,5,0,0.15668078517416192,2000,0,0,0,5頭展開,6300,202608171512,0,57.57233333333333,1.721056987650355,0.08196767671195575,20.99677649396305,0,11,2
