actual_combo,combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,payout100,race,race_code,return,stake,train_pair_count,venue
1-4-5,3-5-2,0.004355186900369451,2026-08-28,0.5121699794834474,0,0.01706542786619612,3まくり,117.6,0.06319346140393578,0,03R,202608281103,0,600,18,11
1-4-5,3-2-1,0.004130341625713744,2026-08-28,0.33125339838224227,0,0.02502361991352448,3まくり,80.2,0.05993097198365225,0,03R,202608281103,0,500,17,11
1-4-5,3-6-1,0.003125548970720715,2026-08-28,3.159930009398643,0,0.0019850586716762247,3まくり,1011.0,0.04535149989328714,0,03R,202608281103,0,400,13,11
1-4-5,3-5-4,0.0026860909916155344,2026-08-28,0.23207826167558218,0,0.023227943484544714,3まくり,86.4,0.038974994940335746,0,03R,202608281103,0,400,11,11
1-6-5,3-4-2,0.0028674897718909973,2026-08-28,0.2927707057100708,0,0.01702183717189523,3まくり,102.1,0.08061384911977408,0,04R,202608281404,0,1100,23,14
1-6-5,3-4-6,0.0026256782296251715,2026-08-28,0.19718843504485037,0,0.02314153895140483,3まくり,75.1,0.07381579202651999,0,04R,202608281404,0,1100,21,14
1-6-5,3-1-5,0.002570252071703674,2026-08-28,0.020562016573629393,0,0.21724119690631283,3まくり,8.0,0.07225759433885193,0,04R,202608281404,0,1000,19,14
1-6-5,3-4-1,0.0022895258064340113,2026-08-28,0.06731205870915993,0,0.05911325085886064,3まくり,29.4,0.06436552615634455,0,04R,202608281404,0,900,18,14
1-6-5,3-5-2,0.0022597298347645845,2026-08-28,0.13513184411892215,0,0.029062367479105393,3まくり,59.8,0.06352787087049772,0,04R,202608281404,0,900,18,14
1-2-3,3-4-2,0.005440438392590697,2026-08-28,0.2524363414162083,0,0.037079509529314075,3まくり,46.4,0.08117294800081712,0,03R,202608282303,0,800,23,23
1-2-3,3-4-6,0.004919925705133428,2026-08-28,0.9997289032831125,0,0.008466974616929987,3まくり,203.2,0.07340674493705729,0,03R,202608282303,0,800,21,23
1-2-3,3-1-5,0.004663406771549237,2026-08-28,0.06622037615599916,0,0.12116121423663191,3まくり,14.2,0.06957940666861692,0,03R,202608282303,0,700,19,23
1-2-3,3-4-1,0.004321259562830853,2026-08-28,0.11797038606528229,0,0.06302158396191111,3まくり,27.3,0.06447446923935642,0,03R,202608282303,0,700,18,23
1-2-3,3-2-4,0.004290865009240352,2026-08-28,0.15790383234004493,0,0.046752425058700364,3まくり,36.8,0.06402097352080001,0,03R,202608282303,0,700,18,23
1-2-3,3-5-2,0.004264512539696702,2026-08-28,0.22473981084201622,0,0.03264685468994636,3まくり,52.7,0.0636277868903121,0,03R,202608282303,0,700,18,23
1-2-3,3-4-5,0.0037987549030088575,2026-08-28,0.19601575299525706,0,0.03334281477054599,3まくり,51.6,0.056678545359457724,0,03R,202608282303,0,600,16,23
1-3-5,3-4-2,0.003497071895853683,2026-08-29,1.6240401884344502,0,0.021993581621236123,3まくり,464.4,0.08075243433090554,0,12R,202608290512,0,300,23,05
1-3-5,3-4-6,0.0032181548305276896,2026-08-29,0.8029296302166585,0,0.04093715152265352,3まくり,249.5,0.07431183697624122,0,12R,202608290512,0,300,21,05
