ensemble,members,weights,min_n,R,heads,head_rate,cut,monthly_floor,months,month_detail,pass_40
TRIPLE:ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,0.40+0.10+0.50,200,200,61,0.305,0.1908865222310824,0.2318840579710145,3,2026-04:69R/23.19%;2026-05:72R/34.72%;2026-06:59R/33.90%,False
PAIR:ENV_ENTRY+ALL_SAFE_HGB,ENV_ENTRY+ALL_SAFE_HGB,0.45+0.55,200,200,61,0.305,0.1833832810231761,0.22857142857142856,3,2026-04:70R/22.86%;2026-05:73R/35.62%;2026-06:57R/33.33%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.30+0.10+0.60,200,200,61,0.305,0.1669040398793138,0.22727272727272727,3,2026-04:66R/22.73%;2026-05:73R/34.25%;2026-06:61R/34.43%,False
TRIPLE:ENV_ENTRY+PLAYER_COURSE+ALL_SAFE_LINEAR,ENV_ENTRY+PLAYER_COURSE+ALL_SAFE_LINEAR,0.70+0.10+0.20,200,207,63,0.30434782608695654,0.23034143086484649,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:86R/33.72%;2026-06:56R/30.36%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.20+0.50+0.30,200,207,63,0.30434782608695654,0.23091132475631526,0.2537313432835821,3,2026-04:67R/25.37%;2026-05:78R/35.90%;2026-06:62R/29.03%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.60+0.10+0.30,200,204,62,0.30392156862745096,0.2072365436549281,0.2698412698412698,3,2026-04:63R/26.98%;2026-05:82R/34.15%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.20+0.40+0.40,200,204,62,0.30392156862745096,0.23698093579456667,0.25757575757575757,3,2026-04:66R/25.76%;2026-05:76R/36.84%;2026-06:62R/27.42%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.30+0.30+0.40,200,204,62,0.30392156862745096,0.2385842993089216,0.25,3,2026-04:68R/25.00%;2026-05:75R/37.33%;2026-06:61R/27.87%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.60+0.30+0.10,200,204,62,0.30392156862745096,0.20581095620920972,0.25,3,2026-04:68R/25.00%;2026-05:77R/36.36%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,0.50+0.30+0.20,200,204,62,0.30392156862745096,0.2364045832024369,0.24242424242424243,3,2026-04:66R/24.24%;2026-05:84R/35.71%;2026-06:54R/29.63%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.30+0.40+0.30,200,201,61,0.3034825870646766,0.23868443498845085,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:75R/36.00%;2026-06:61R/27.87%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_LINEAR,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_LINEAR,0.60+0.10+0.30,200,201,61,0.3034825870646766,0.21951143493242475,0.24193548387096775,3,2026-04:62R/24.19%;2026-05:81R/35.80%;2026-06:58R/29.31%,False
