date,month,race_code,venue,race,head_hit,actual_combo,test_month,opp_mass,p_head,tickets,exact3
2026-04-18,2026-04,202604182105,21,5,1,1-2-6,2026-04,0.4185089195134461,0.8165369957322802,1-3-6|1-3-2|1-2-3,0
2026-04-18,2026-04,202604182301,23,1,1,1-4-2,2026-04,0.39761170928504097,0.8332050842268985,1-2-3|1-2-4|1-3-2,0
2026-04-18,2026-04,202604182408,24,8,1,1-3-2,2026-04,0.5140021771859675,0.8079413892893875,1-3-2|1-2-3|1-3-5,1
2026-04-19,2026-04,202604191508,15,8,1,1-3-2,2026-04,0.4607220994507447,0.8198438764221904,1-2-3|1-2-4|1-3-2,1
2026-04-19,2026-04,202604192101,21,1,0,2-1-5,2026-04,0.3872153238959325,0.8140740155846163,1-2-3|1-2-5|1-3-2,0
2026-04-19,2026-04,202604192105,21,5,1,1-2-3,2026-04,0.4686036607277895,0.8210589208319719,1-2-3|1-2-4|1-3-2,1
2026-04-19,2026-04,202604192411,24,11,1,1-2-6,2026-04,0.39375943031887684,0.820599191797313,1-2-3|1-3-2|1-2-6,1
2026-04-20,2026-04,202604200906,09,6,1,1-4-3,2026-04,0.47892928475891416,0.8277275085618668,1-3-4|1-3-2|1-4-3,1
2026-04-20,2026-04,202604201306,13,6,1,1-4-3,2026-04,0.3786453505431306,0.8137277459114074,1-4-5|1-4-2|1-2-4,0
2026-04-20,2026-04,202604202411,24,11,1,1-3-5,2026-04,0.5300262691557797,0.8145264760639768,1-3-4|1-3-2|1-2-3,0
2026-04-21,2026-04,202604210708,07,8,1,1-2-3,2026-04,0.5011610318920994,0.8074137926725368,1-3-2|1-3-4|1-2-3,1
2026-04-21,2026-04,202604212409,24,9,1,1-3-5,2026-04,0.3922140790937722,0.8503568468637676,1-2-5|1-5-3|1-5-2,0
2026-04-22,2026-04,202604222211,22,11,1,1-2-5,2026-04,0.3886097065030175,0.8210068898087785,1-2-4|1-2-5|1-5-4,1
2026-04-23,2026-04,202604231804,18,4,1,1-4-2,2026-04,0.47056194259522954,0.8448017246804194,1-2-4|1-2-3|1-4-2,1
2026-04-23,2026-04,202604232011,20,11,1,1-5-3,2026-04,0.4021101269199046,0.8338803378369457,1-2-3|1-3-2|1-2-4,0
2026-04-24,2026-04,202604240106,01,6,1,1-2-3,2026-04,0.4492587149189783,0.8088731663808904,1-2-3|1-3-2|1-3-4,1
2026-04-24,2026-04,202604240707,07,7,0,3-1-4,2026-04,0.42942134099186213,0.8208164442204275,1-3-4|1-4-3|1-3-2,0
2026-04-24,2026-04,202604242210,22,10,1,1-2-5,2026-04,0.40337987604039105,0.8081317734997175,1-2-4|1-2-5|1-5-2,1
2026-04-25,2026-04,202604250911,09,11,1,1-3-2,2026-04,0.41567007004955614,0.807540336874954,1-4-3|1-3-4|1-3-2,1
2026-04-26,2026-04,202604260405,04,5,1,1-5-2,2026-04,0.3892663026063953,0.8360502731714339,1-3-5|1-3-4|1-2-3,0
2026-04-26,2026-04,202604260801,08,1,1,1-4-3,2026-04,0.41730133168162087,0.8340995614097907,1-2-4|1-2-5|1-4-2,0
2026-04-26,2026-04,202604260812,08,12,1,1-5-2,2026-04,0.3877253643927413,0.8158364522068532,1-2-5|1-2-6|1-5-2,1
2026-04-27,2026-04,202604272007,20,7,1,1-2-3,2026-04,0.4455237638990977,0.8198578093467368,1-3-2|1-3-6|1-2-3,1
2026-04-29,2026-04,202604290806,08,6,1,1-3-2,2026-04,0.40931669413920413,0.8483017742485683,1-2-4|1-2-3|1-3-2,1
2026-04-29,2026-04,202604292105,21,5,1,1-3-4,2026-04,0.4454285698350059,0.8099807382442533,1-2-3|1-2-4|1-3-2,0
2026-04-29,2026-04,202604292407,24,7,1,1-2-4,2026-04,0.4640678802786977,0.8248545182986458,1-2-3|1-3-2|1-2-4,1
2026-04-30,2026-04,202604301505,15,5,1,1-3-5,2026-04,0.4528554101976288,0.8154258214493839,1-3-2|1-3-5|1-2-3,1
2026-04-30,2026-04,202604301801,18,1,1,1-2-3,2026-04,0.4243450078407037,0.8257448413650245,1-2-3|1-3-2|1-3-5,1
2026-04-30,2026-04,202604302408,24,8,1,1-2-4,2026-04,0.4139506085689585,0.8280267625840075,1-2-3|1-3-2|1-3-4,0
2026-05-01,2026-05,202605010106,01,6,0,2-5-1,2026-05,0.4175363562408098,0.8579215475585404,1-2-3|1-2-4|1-3-2,0
2026-05-01,2026-05,202605012301,23,1,1,1-3-4,2026-05,0.4627622313439219,0.8557769182844694,1-2-3|1-3-2|1-2-6,0
2026-05-02,2026-05,202605020106,01,6,1,1-5-2,2026-05,0.46158112788905087,0.8441056246706695,1-2-4|1-2-3|1-3-2,0
2026-05-02,2026-05,202605020111,01,11,1,1-3-6,2026-05,0.4801570809799461,0.821421345403363,1-2-3|1-3-2|1-2-4,0
2026-05-02,2026-05,202605020905,09,5,1,1-3-2,2026-05,0.3845338855558806,0.811706304276643,1-3-2|1-3-5|1-2-3,1
2026-05-02,2026-05,202605021001,10,1,1,1-3-6,2026-05,0.40010579603261265,0.8890719103984378,1-3-6|1-3-2|1-2-3,1
2026-05-02,2026-05,202605021707,17,7,0,4-6-1,2026-05,0.4107058675108373,0.8146558560167111,1-3-2|1-2-3|1-2-4,0
2026-05-02,2026-05,202605021806,18,6,0,5-1-6,2026-05,0.4196914004281315,0.819580315411277,1-2-3|1-3-2|1-2-4,0
2026-05-02,2026-05,202605021906,19,6,1,1-6-2,2026-05,0.5507930152710333,0.8104989273357515,1-2-3|1-3-2|1-2-4,0
2026-05-02,2026-05,202605022301,23,1,1,1-5-2,2026-05,0.5104612772271052,0.847002893789174,1-2-3|1-3-2|1-2-5,0
2026-05-03,2026-05,202605030207,02,7,0,3-2-1,2026-05,0.4269917646531888,0.8209193808980939,1-2-3|1-3-2|1-3-4,0
2026-05-03,2026-05,202605030801,08,1,1,1-3-2,2026-05,0.41642088499984214,0.8289779579379054,1-2-3|1-2-4|1-3-2,1
2026-05-03,2026-05,202605031001,10,1,1,1-2-6,2026-05,0.38013945007250066,0.8467848321255177,1-2-3|1-3-2|1-3-4,0
2026-05-03,2026-05,202605031701,17,1,1,1-2-3,2026-05,0.4415502865384214,0.8630489740478574,1-3-4|1-3-2|1-2-3,1
2026-05-03,2026-05,202605031705,17,5,1,1-2-3,2026-05,0.4590327977824704,0.8618593684905703,1-2-3|1-2-4|1-3-2,1
2026-05-03,2026-05,202605032210,22,10,1,1-3-4,2026-05,0.45529121583462756,0.8290842381546192,1-3-2|1-3-4|1-2-3,1
2026-05-04,2026-05,202605041306,13,6,1,1-3-4,2026-05,0.4722366038351523,0.8168708530124402,1-3-4|1-4-3|1-3-2,1
2026-05-04,2026-05,202605041712,17,12,1,1-5-4,2026-05,0.5048427312455868,0.8167789496628587,1-2-3|1-2-5|1-3-2,0
2026-05-04,2026-05,202605041903,19,3,1,1-3-2,2026-05,0.4853959903322868,0.8596167475707567,1-3-2|1-2-3|1-3-5,1
2026-05-04,2026-05,202605041905,19,5,1,1-3-2,2026-05,0.3774888354701353,0.8374586809513881,1-2-5|1-2-4|1-5-2,0
2026-05-04,2026-05,202605041907,19,7,1,1-2-4,2026-05,0.4497545116348038,0.8121457172306198,1-3-4|1-3-2|1-2-3,0
2026-05-04,2026-05,202605041909,19,9,1,1-3-4,2026-05,0.40422130883176166,0.8423141567961311,1-2-4|1-2-3|1-3-2,0
2026-05-04,2026-05,202605042302,23,2,1,1-2-3,2026-05,0.5021909475965083,0.8521555146136869,1-2-3|1-2-5|1-3-2,1
2026-05-04,2026-05,202605042305,23,5,1,1-2-4,2026-05,0.3910163592461291,0.8277687238380292,1-4-2|1-2-4|1-4-5,1
2026-05-05,2026-05,202605050711,07,11,1,1-2-6,2026-05,0.43832866988827635,0.8188305049517353,1-2-3|1-3-2|1-2-4,0
2026-05-05,2026-05,202605050801,08,1,1,1-5-6,2026-05,0.41890812228132884,0.8228290147128015,1-3-5|1-3-2|1-2-3,0
2026-05-05,2026-05,202605051003,10,3,1,1-3-2,2026-05,0.5531823175845284,0.8128519854010146,1-3-2|1-2-3|1-3-4,1
2026-05-05,2026-05,202605051012,10,12,1,1-2-3,2026-05,0.4512740119616728,0.8288860263621818,1-2-4|1-2-6|1-4-2,0
2026-05-05,2026-05,202605052007,20,7,1,1-2-4,2026-05,0.43369360672555635,0.8167860334402273,1-2-3|1-2-6|1-3-2,0
2026-05-05,2026-05,202605052302,23,2,1,1-2-3,2026-05,0.43603526718505964,0.8464693454297961,1-2-3|1-3-2|1-2-4,1
2026-05-05,2026-05,202605052310,23,10,1,1-2-3,2026-05,0.5191277622780095,0.8126848941549143,1-2-3|1-3-2|1-3-4,1
2026-05-06,2026-05,202605060105,01,5,1,1-3-4,2026-05,0.423420847415232,0.8427085311559853,1-2-3|1-3-2|1-3-6,0
2026-05-06,2026-05,202605060106,01,6,1,1-6-4,2026-05,0.3866367303567921,0.8229646656856399,1-3-4|1-2-3|1-3-2,0
2026-05-06,2026-05,202605060604,06,4,0,2-3-6,2026-05,0.3995785294895832,0.8453046854029244,1-2-3|1-2-4|1-3-2,0
2026-05-06,2026-05,202605060801,08,1,1,1-3-4,2026-05,0.4259983121959684,0.863750946586566,1-3-2|1-2-3|1-3-4,1
2026-05-06,2026-05,202605060905,09,5,1,1-2-5,2026-05,0.42253409401496433,0.826822448398774,1-2-3|1-2-4|1-3-2,0
2026-05-06,2026-05,202605061012,10,12,1,1-2-3,2026-05,0.4091409378882756,0.8283738736259206,1-2-3|1-3-2|1-2-4,1
2026-05-06,2026-05,202605061205,12,5,1,1-2-6,2026-05,0.4210011546833243,0.836147351457495,1-2-6|1-2-4|1-6-2,1
2026-05-06,2026-05,202605061312,13,12,1,1-2-3,2026-05,0.42305917520333736,0.8161449309200658,1-2-3|1-3-2|1-3-4,1
2026-05-06,2026-05,202605061610,16,10,0,5-1-2,2026-05,0.38859206227692966,0.8219877247683446,1-2-4|1-2-3|1-4-2,0
2026-05-06,2026-05,202605062007,20,7,1,1-3-6,2026-05,0.4599205944376095,0.8422059819092201,1-3-2|1-2-3|1-3-4,0
2026-05-06,2026-05,202605062301,23,1,1,1-3-5,2026-05,0.4135269816496421,0.8494782205437168,1-2-3|1-2-4|1-3-2,0
2026-05-06,2026-05,202605062303,23,3,1,1-2-3,2026-05,0.48205221061497205,0.8125766565031187,1-2-4|1-2-3|1-3-2,1
2026-05-06,2026-05,202605062311,23,11,1,1-2-6,2026-05,0.5221812127759817,0.8320804596642941,1-2-3|1-2-4|1-3-2,0
2026-05-07,2026-05,202605070404,04,4,1,1-5-4,2026-05,0.46619942697767575,0.8088778916877517,1-3-5|1-2-5|1-2-3,0
2026-05-07,2026-05,202605070511,05,11,1,1-6-4,2026-05,0.44920342776588873,0.8120983455520429,1-2-3|1-3-2|1-2-6,0
2026-05-07,2026-05,202605070801,08,1,1,1-2-6,2026-05,0.3927147546374937,0.8368911812237482,1-2-3|1-3-2|1-2-4,0
2026-05-07,2026-05,202605071001,10,1,1,1-2-5,2026-05,0.4580760972717273,0.8186833379913561,1-2-3|1-2-5|1-3-2,1
2026-05-07,2026-05,202605071306,13,6,1,1-2-4,2026-05,0.42795119690093064,0.8137737371627098,1-2-4|1-2-3|1-4-2,1
2026-05-07,2026-05,202605071308,13,8,1,1-2-3,2026-05,0.41061922163086073,0.8290371424250118,1-2-3|1-2-5|1-3-2,1
2026-05-07,2026-05,202605072409,24,9,1,1-3-6,2026-05,0.41754016484978906,0.8091986103710798,1-2-3|1-3-2|1-3-6,1
2026-05-08,2026-05,202605080604,06,4,1,1-4-2,2026-05,0.4118159465244823,0.8538582261424094,1-2-3|1-3-2|1-2-4,0
2026-05-08,2026-05,202605082109,21,9,1,1-5-6,2026-05,0.4629227246680712,0.8354610473405508,1-2-5|1-5-3|1-5-2,0
2026-05-08,2026-05,202605082412,24,12,1,1-4-3,2026-05,0.42436491914196517,0.8327220502440054,1-3-4|1-4-3|1-3-2,1
2026-05-09,2026-05,202605091801,18,1,1,1-4-6,2026-05,0.42374477742195577,0.8470707701604977,1-2-3|1-3-2|1-3-4,0
2026-05-09,2026-05,202605091809,18,9,1,1-3-4,2026-05,0.420034021770307,0.8195500178576821,1-3-4|1-3-2|1-2-3,1
2026-05-09,2026-05,202605092005,20,5,1,1-3-5,2026-05,0.4462177991604778,0.8297233848411372,1-2-4|1-4-2|1-2-3,0
2026-05-09,2026-05,202605092201,22,1,1,1-2-4,2026-05,0.4493295827990891,0.843484470565359,1-2-3|1-2-4|1-3-2,1
2026-05-10,2026-05,202605101401,14,1,1,1-3-5,2026-05,0.4250814172139034,0.8326243307194299,1-3-2|1-2-3|1-3-6,0
2026-05-10,2026-05,202605101507,15,7,1,1-3-5,2026-05,0.38712336882984066,0.8098119889672258,1-4-5|1-5-4|1-4-2,0
