actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return,score,stake
3-2-6,A,3-2-5,0.009677810989050248,0.032252546004288604,2026-08-24,1.2406953687962416,3,0.3000634736793615,0,0.0018922591886496986,3まくり,128.2,7410,test,202608241803,0,78.857,100
3-2-6,A,3-2-6,0.016438285408679226,0.05478269383178796,2026-08-24,1.9906763629910542,3,0.3000634736793615,1,0.008248762389600785,3まくり,121.1,7410,test,202608241803,7410,78.857,100
3-2-6,A,3-4-1,0.019758833601609595,0.0658488464434804,2026-08-24,3.262183427625744,3,0.3000634736793615,0,0.013785395658901549,3まくり,165.1,7410,test,202608241803,0,78.857,100
3-2-6,A,3-4-2,0.013492260601913816,0.04496468842566032,2026-08-24,5.448174831052799,3,0.3000634736793615,0,0.011043135131710027,3まくり,403.8,7410,test,202608241803,0,78.857,100
3-2-6,A,3-4-5,0.012899841444695572,0.04299037562459183,2026-08-24,4.018300610022671,3,0.3000634736793615,0,0.009720774911506186,3まくり,311.5,7410,test,202608241803,0,78.857,100
3-2-6,A,3-4-6,0.02191107840755886,0.07302147821887964,2026-08-24,3.3633505355602846,3,0.3000634736793615,0,0.015497380561051047,3まくり,153.5,7410,test,202608241803,0,78.857,100
3-2-6,A,3-5-1,0.01608122630820021,0.053592748597532096,2026-08-24,1.3797692172435778,3,0.3000634736793615,0,0.004478410580702569,3まくり,85.8,7410,test,202608241803,0,78.857,100
3-2-6,A,3-5-2,0.010981017428625664,0.03659564856054302,2026-08-24,1.962307814495406,3,0.3000634736793615,0,0.0054153506724558586,3まくり,178.7,7410,test,202608241803,0,78.857,100
3-2-6,A,3-5-4,0.015448735619051971,0.051484892278358445,2026-08-24,3.119099721486593,3,0.3000634736793615,0,0.01054803246135686,3まくり,201.9,7410,test,202608241803,0,78.857,100
3-2-6,A,3-5-6,0.01783288516079053,0.05943037632046544,2026-08-24,1.4712130257652187,3,0.3000634736793615,0,0.005781754917364647,3まくり,82.5,7410,test,202608241803,0,78.857,100
3-2-6,A,3-6-2,0.009454720564871271,0.03150906856118813,2026-08-24,1.7462868883317237,3,0.3000634736793615,0,0.004062530693150375,3まくり,184.7,7410,test,202608241803,0,78.857,100
3-2-6,A,3-6-4,0.013301452193122558,0.0443287949380206,2026-08-24,1.985906812433198,3,0.3000634736793615,0,0.006648056725780161,3まくり,149.3,7410,test,202608241803,0,78.857,100
4-1-5,A,5-1-2,0.0460761029009324,0.460761029009324,2026-08-24,3.681480621784499,5,0.1,0,0.033985812696888454,5頭展開,79.9,1590,test,202608241806,0,67.842,300
4-1-5,A,5-1-6,0.03884461224469107,0.3884461224469106,2026-08-24,2.649202555087931,5,0.1,0,0.024541704688808497,5頭展開,68.2,1590,test,202608241806,0,67.842,200
3-1-2,A,3-2-4,0.010909981740001828,0.04527497930921694,2026-08-24,1.7434150820522922,3,0.24097154557463946,0,0.004681455176651714,3まくり,159.8,3590,test,202608241810,0,68.69200000000001,100
3-1-2,A,3-4-1,0.016198381571124534,0.0672211382157035,2026-08-24,2.965923665672902,3,0.24097154557463946,0,0.010795846598972555,3まくり,183.1,3590,test,202608241810,0,68.69200000000001,100
3-1-2,A,3-4-2,0.010658206185799404,0.0442301441042884,2026-08-24,2.2041170392233167,3,0.24097154557463946,0,0.005850908839763443,3まくり,206.8,3590,test,202608241810,0,68.69200000000001,100
3-1-2,A,3-4-5,0.011889298392400039,0.049339013716527796,2026-08-24,1.559875949082885,3,0.24097154557463946,0,0.004300122496796352,3まくり,131.2,3590,test,202608241810,0,68.69200000000001,100
3-1-2,A,3-4-6,0.01682641386631445,0.06982738906450085,2026-08-24,2.3472847343508656,3,0.24097154557463946,0,0.009727687612641629,3まくり,139.5,3590,test,202608241810,0,68.69200000000001,100
3-1-2,A,3-5-4,0.014778469497564221,0.06132869116277748,2026-08-24,1.5103595826510634,3,0.24097154557463946,0,0.005043078879951219,3まくり,102.2,3590,test,202608241810,0,68.69200000000001,100
3-1-2,A,3-6-4,0.009784173777541325,0.040603025366373544,2026-08-24,1.7034246546699445,3,0.24097154557463946,0,0.004063689512824637,3まくり,174.1,3590,test,202608241810,0,68.69200000000001,100
